state,jurisdiction_type,county_name,municipality,precinct_name,precinct_id,name,address
MT,county,Beaverhead,DILLON,PRECINCT 01,PREC_01,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725.0"
MT,county,Beaverhead,DILLON,PRECINCT 02,PREC_02,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725.0"
MT,county,Beaverhead,DILLON,PRECINCT 03,PREC_03,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725.0"
MT,county,Beaverhead,LIMA,PRECINCT 04,PREC_04,LIMA FIRE HALL,"5 WEST SECTION CORNER ST, LIMA, MT 59739.0"
MT,county,Beaverhead,LIMA,PRECINCT 05,PREC_05,LIMA COMM FIRE HALL,"5 W SEC CORNER ST, LIMA, MT 59739.0"
MT,county,Beaverhead,DILLON,PRECINCT 06,PREC_06,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725.0"
MT,county,Beaverhead,DILLON,PRECINCT 07,PREC_07,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725.0"
MT,county,Beaverhead,GRANT,PRECINCT 08,PREC_08,GRANT SCHOOL,"12420 HIGHWAY 324, GRANT, MT 59725.0"
MT,county,Beaverhead,DILLON,PRECINCT 09,PREC_09,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725.0"
MT,county,Beaverhead,DILLON,PRECINCT 12,PREC_12,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725.0"
MT,county,Beaverhead,DILLON,PRECINCT 14,PREC_14,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725.0"
MT,county,Beaverhead,GLEN,PRECINCT 17,PREC_17,REICHLE SCHOOL 1,"6715 SCHOOLHOUSE RD, GLEN, MT 59732.0"
MT,county,Beaverhead,POLARIS,PRECINCT 19,PREC_19,POLARIS SCHOOL,"4210 PIONEER MOUNTAINS BYWAY, POLARIS, MT 59746.0"
MT,county,Beaverhead,JACKSON,PRECINCT 20,PREC_20,JACKSON SCHOOL,"415 JARDINE, JACKSON, MT 59736.0"
MT,county,Beaverhead,WISDOM,PRECINCT 21,PREC_21,WISDOM COMMUNITY HALL,"411 COUNTY ROAD, WISDOM, MT 59761.0"
MT,county,Beaverhead,WISE RIVER,PRECINCT 23,PREC_23,WISE RIVER FIRE HALL,"64845 HIGHWAY, WISE RIVER, MT 59762.0"
MT,county,Big Horn,HARDIN,PRECINCT #1,1,BHC FAIRGROUNDS,"118 SAWYER LOOP, HARDIN, MT 59034.0"
MT,county,Big Horn,FORT SMITH,PRECINCT #2,2,NAT'L PARK SERV BLDG - FORT SMITH,"5 AVE B, FORT SMITH, MT 59035.0"
MT,county,Big Horn,HARDIN,PRECINCT #3,3,BHC FAIRGROUNDS,"118 SAWYER LOOP, HARDIN, MT 59034.0"
MT,county,Big Horn,HARDIN,PRECINCT #4,4,BHC FAIRGROUNDS,"118 SAWYER LOOP, HARDIN, MT 59034.0"
MT,county,Big Horn,CROW AGENCY,PRECINCT #5,5,CROW SCHOOL -  RENO,"8470 S CHILD STREET, CROW AGENCY, MT 59022.0"
MT,county,Big Horn,BIG HORN,PRECINCT #6,6,SARPY COMMUNITY BUILDING,"22997 E SARPY ROAD, BIG HORN, MT 59010.0"
MT,county,Big Horn,CROW AGENCY,PRECINCT #7,7,CROW SCHL -  CROW AGNCY,"8470 S. CHILD STREET, CROW AGENCY, MT 59022.0"
MT,county,Big Horn,SAINT XAVIER,PRECINCT #8,8,PRETTY EAGLE SCHL -  ST X,"18348 S MISSION ROAD, SAINT XAVIER, MT 59075.0"
MT,county,Big Horn,LODGE GRASS,PRECINCT #9 aka LODGE GRASS,9,LODGE GRASS ELEMENTARY SCHOOL,"11448 E. LODGE GRASS SCHOOL ROAD, LODGE GRASS, MT 59050.0"
MT,county,Big Horn,DECKER,PRECINCT #10,10,SPRING CREEK SCHOOL,"38966 E. TONGUE LANE, DECKER, MT 59025.0"
MT,county,Big Horn,WYOLA,PRECINCT #14,14,WYOLA SCHOOL - WYOLA,"41220 S. MONDEL AVE., WYOLA, MT 59089.0"
MT,county,Big Horn,PRYOR,PRECINCT #15,15,PRYOR ELEM SCH - PRYOR,"45089 W. SCHOOL YARD STREET, PRYOR, MT 59066.0"
MT,county,Big Horn,HARDIN,PRECINCT #17,17,BHC FAIRGROUNDS,"118 SAWYER LOOP, HARDIN, MT 59034.0"
MT,county,Big Horn,HARDIN,PRECINCT #18,18,BHC FAIRGROUNDS,"118 SAWYER LOOP, HARDIN, MT 59034.0"
MT,county,Big Horn,HARDIN,PRECINCT #19,19,BHC FAIRGROUNDS,"118 SAWYER LOOP, HARDIN, MT 59034.0"
MT,county,Big Horn,LODGE GRASS,PRECINCT #21 aka GOOD LUCK PCT,21,LODGE GRASS ELEMENTARY SCHOOL,"11448 E. LODGE GRASS SCHOOL ROAD, LODGE GRASS, MT 59050.0"
MT,county,Big Horn,LODGE GRASS,PRECINCT #25 aka LODGE GRASS,25,LODGE GRASS ELEMENTARY SCHOOL,"11448 E. LODGE GRASS SCHOOL ROAD, LODGE GRASS, MT 59050.0"
MT,county,Big Horn,BUSBY,PRECINCT #26,26,N.C. TRIBAL SCHOOL,"13152 S. B STREET, BUSBY, MT 59016.0"
