state,jurisdiction_type,county_name,municipality,precinct_name,precinct_id,name,address
MT,county,Beaverhead,Dillon,,1,Lutheran Church,"715 East Bannack, Dillon, MT "
MT,county,Beaverhead,Dillon,,2,Lutheran Church,"715 East Bannack, Dillon, MT "
MT,county,Beaverhead,Dillon,,3,Lutheran Church,"715 East Bannack, Dillon, MT "
MT,county,Beaverhead,Lima,,4,Lima Fire Hall,"5 West Section Corner Street, Lima, MT "
MT,county,Beaverhead,Lima,,5,Lima Comm Fire Hall,"5 W Section Cornter St, Lima, MT "
MT,county,Beaverhead,Dillon,,6,Lutheran Church,"715 East Bannack, Dillon, MT "
MT,county,Beaverhead,Dillon,,7,Lutheran Church,"715 East Bannack, Dillon, MT "
MT,county,Beaverhead,Dillon,,8,Grant School,"12420 Highway 324, Dillon, MT "
MT,county,Beaverhead,Dillon,,9,Lutheran Church,"715 East Bannack, Dillon, MT "
MT,county,Beaverhead,Dillon,,12,Lutheran Church,"715 East Bannack, Dillon, MT "
MT,county,Beaverhead,Dillon,,14,Lutheran Church,"715 East Bannack, Dillon, MT "
MT,county,Beaverhead,Glen,,17,Reichle School 1,"6715 Schoolhouse Road, Glen, MT "
MT,county,Beaverhead,Polaris,,19,Polaris School,"4210 Pioneer Mountains Byway, Polaris, MT "
MT,county,Beaverhead,Jackson,,20,Jackson School,"415 Jardine Avenue , Jackson, MT "
MT,county,Beaverhead,Wisdom,,21,Wisdom Community Hall,"411 County Road, Wisdom, MT "
MT,county,Beaverhead,Wise River,,23,Wise River Fire Hall,"64845 Highway, Wise River, MT "
MT,county,Big Horn,Hardin,,1,Peritsa- SR Center,"317 N Custer, Hardin, MT "
MT,county,Big Horn,Fort Smith,,2,Nat'l Park Serv Bldg - Fort,"5 Avenue B, Fort Smith, MT "
MT,county,Big Horn,Hardin,,3,Foster -3 SR Center,"317 N Custer, Hardin, MT "
MT,county,Big Horn,Hardin,,4,Whitman - SR Center,"317 N Custer, Hardin, MT "
MT,county,Big Horn,Crow Agency,,5,Crow School - Reno,"8470 South Child Street, Crow Agency, MT "
MT,county,Big Horn,Big Horn,,6,Spring Crk Schl - Sarpy,"22997 East Sarpy Road, Big Horn, MT "
MT,county,Big Horn,Crow Agency,,7,Crow Schl - Crow Agncy,"8470 South Child Street, Crow Agency, MT "
MT,county,Big Horn,Saint Xavier,,8,Pretty Eagle Schl - ST X,"18348 South Mission Road, Saint Xavier, MT "
MT,county,Big Horn,Lodge Grass,,9,LG Senior Center,"Harding Ave & Wolf Lays Down, Lodge Grass, MT "
MT,county,Big Horn,Decker,,10,Decker School - Decker,"38966 East Tongue Lane, Decker, MT "
MT,county,Big Horn,Wyola,,14,Wyola School - Wyola,"41220 South Mondel Avenue, Wyola, MT "
MT,county,Big Horn,Pryor,,15,Pryor Elementary School - Pryor,"45089 West School Yard Street, Pryor, MT "
MT,county,Big Horn,Hardin,,17,Auditorium - Hardin,"611 West 5th, Hardin, MT "
MT,county,Big Horn,Hardin,,18,Auditorium - Hardin,"611 West 5th, Hardin, MT "
MT,county,Big Horn,Hardin,,19,Auditorium - Hardin,"611 West 5th, Hardin, MT "
MT,county,Big Horn,Lodge Grass,,21,LG High School,"11448 East Lodge Grass School Road, Lodge Grass, MT "
MT,county,Big Horn,Lodge Grass,,25,LG High School,"11448 East Lodge Grass School Road, Lodge Grass, MT "
MT,county,Big Horn,Busby,,26,Busby School - Busby,"13152 S. B Street, Busby, MT "
MT,county,Big Horn,Hardin,,3 E,East Foster - 3E SR Center,"317 N Custer, Hardin, MT "
MT,county,Big Horn,Hardin,,4 E,East Whitman - 4E SR Center,"317 N Custer, Hardin, MT "
MT,county,Blaine,Turner,,1,Turner School #1,"190 1st Street East, Turner, MT "
MT,county,Blaine,Harlem,,3,Sacred Heart Catholic Church #3,"202 Chippewa Ave, Fort Belknap Agency, Harlem, MT "
MT,county,Blaine,Harlem,,8,Harlem High School #8,"610 1st Avenue Southeast, Harlem, MT "
MT,county,Blaine,Harlem,,9,Sacred Heart Catholic Church #3,"202 Chippewa Ave, Fort Belknap Agency, Harlem, MT "
MT,county,Blaine,Chinook,,10,Chinook High School #10,"528 Ohio Street, Chinook, MT "
MT,county,Blaine,Chinook,,11,Chinook High School #11,"528 Ohio Street, Chinook, MT "
MT,county,Blaine,Chinook,,13,Chinook High School #13,"528 Ohio Street, Chinook, MT "
MT,county,Blaine,Hays,,15,John Capture Center #15,"129 John Capture Road, Hays, MT "
MT,county,Broadwater,Winston,,1,Winston Fire Hall,"6467 Hwy 287, Winston, MT "
MT,county,Broadwater,Townsend,,7,Library Community Room,"201 North Spruce, Townsend, MT "
