state,election_date,jurisdiction_type,county_name,precinct_name,name,address
MS,2012-11-06,county,Adams,Bellemont Precinct,ELKS LODGE,"241 LOWER WOODVILLE RD., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,By-Pass Fire Precinct,BY-PASS FIRE STATION,"467 JOHN R JUNKIN DR., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Courthouse Precinct,COURTHOUSE,"115 S. WALL ST., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Beau Pre Precinct,CHURCH OF CHRIST,"2 BEAU PRE RD., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Duncan Park Precinct,DUNCAN PARK CANTEEN,"57 DUNCAN PARK RD., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Kingston Precinct,KINGSTON FIRE STATION,"575 KINGSTON RD., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Liberty Park Precinct,MS NAT GUARD ARMORY,"329 LIBERTY RD., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Concord Precinct,CHRISTIAN HOPE BAPTIST CHURCH,"301 LASALLE ST, NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Maryland Hgts. Precinct,MARYLAND HEIGHTS REC BLDG,"111 DUMAS DR., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Nps Multi Purpose Bldg.,DAVID R STECKLER MULTI PUR. BLDG,"311 LIBERTY RD., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Palestine Precinct,LIBERTY RD UOLUNTEER FIRE DEPT,"1196 LIBERTY RD., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Carpenter Precinct,ROSE HILL BAPTIST CHURCH,"607 1/2 MADISON ST., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Morgantown Precinct,MORGANTOWN SCHOOL,"101 COTTAGE HOME DR., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Northside Precinct,FRAZIER SCHOOL,"1445 GEORGE F WEST BLVD., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Pine Ridge Precinct,DISTRICT 4 BARN,"176 FOSTER MOUND RD, NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Thompson Precinct,THOMPSON SCHOOL,"1038 N. UNION ST., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Airport Precinct,AIRPORT FIREHOUSE,"434 AIRPORT RD., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Foster Mound Precinct,DISTRICT 5 FIRE STATION,"228 FOSTER MOUND RD., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Oakland Precinct,LOVELY LANE METHODIST CHURCH,"65 MORGANTOWN RD., NATCHEZ, MS 39120"
MS,2012-11-06,county,Adams,Washington Precinct,NEW HOPE BAPTIST CHURCH,"417 MORGANTOWN RD., NATCHEZ, MS 39120"
MS,2012-11-06,county,Alcorn,2nd District Central Precinct,W. O. W. BUILDING,"72 CR 253, GLEN, MS 38846"
MS,2012-11-06,county,Alcorn,Bethel,PHIL CRUM'S SHOP,"HWY 2 WEST, CORINTH, MS 38834"
MS,2012-11-06,county,Alcorn,Biggersville,BIGGERSVILLE FIRE STATION,"531 CR 513, RIENZI, MS 38865"
MS,2012-11-06,county,Alcorn,College Hill,AMERICAN LEGION BUILDING,"511 S TATE ST, CORINTH, MS 38834"
MS,2012-11-06,county,Alcorn,East Corinth,FIRST PRESBYTERIAN CHURCH FELLOWSHIP HALL,"8TH STREET, CORINTH, MS 38834"
MS,2012-11-06,county,Alcorn,East Third Street,SKATELAND,"2031 E 3RD ST, CORINTH, MS 38834"
MS,2012-11-06,county,Alcorn,Five Points 1st Dist,FARMINGTON CITY HALL,"4135 CR 200, CORINTH, MS 38834"
MS,2012-11-06,county,Alcorn,Glen,GLEN CITY HALL,"HWY 72 EAST, GLEN, MS 38846"
MS,2012-11-06,county,Alcorn,Jacinto,JACINTO SENIOR CITIZEN CENTER,"4 CR 375, RIENZI, MS 38865"
MS,2012-11-06,county,Alcorn,Kossuth,L. C. FOLLIN BLUE BUILDING,"7 CR 604, KOSSUTH, MS 38834"
MS,2012-11-06,county,Alcorn,North Corinth,SPORTSPLEX,"SPORTSPLEX 1911 WEBSTER ST, CORINTH, MS 38834"
MS,2012-11-06,county,Alcorn,Rienzi,RIENZI FIRE STATION,"71 S FRONT ST, RIENZI, MS 38865"
MS,2012-11-06,county,Alcorn,South Corinth,JOHN ST COMMUNITY CENTER,"1102 S JOHN ST, CORINTH, MS 38834"
MS,2012-11-06,county,Alcorn,Union Center,OLD UNION CENTER SCHOOL BLDG,"3 CR 643, WALNUT, MS 38683"
MS,2012-11-06,county,Alcorn,Wenasoga,V. F. W.,"1 PURDY SCHOOL RD, CORINTH, MS 38834"
MS,2012-11-06,county,Alcorn,West Corinth,BISHOP CENTER,"1300 WASHINGTON ST, CORINTH, MS 38834"
MS,2012-11-06,county,Amite,Amite River,AMITE RIVER/LIB. ELEMENTARY,"3457B S GREENSBURG RD, LIBERTY, MS 39645"
MS,2012-11-06,county,Amite,Ariel,ARIEL VOLUNTEER FIRE DEPT. BLDG.,"4250 KAHNVILLE RD, GLOSTER, MS 39638"
MS,2012-11-06,county,Amite,Crosby,CROSBY/FORMER TOWN HALL,"106 PINE ST, CROSBY, MS 39631"
MS,2012-11-06,county,Amite,East Centreville,E.CENTREVILLE/HWY. 48 W,"1299 MS HWY 48, CENTREVILLE, MS 39631"
MS,2012-11-06,county,Amite,East Fork,EAST FORK/HWY. 24/PEORIA RD.,"4330 PEORIA RD, LIBERTY, MS 39645"
MS,2012-11-06,county,Amite,East Gloster,E. GLOSTER/GLOSTER F.D.,"251 S FIRST ST, GLOSTER, MS 39638"
MS,2012-11-06,county,Amite,East Liberty,EAST LIBERTY/HARRISON BLDG.,"910 OLD MCCOMB-LIBERTY RD, LIBERTY, MS 39645"
MS,2012-11-06,county,Amite,Gloster,GLOSTER TRANSFER/COMPACTOR,"1763A GEORGIA PACIFIC RD #2, GLOSTER, MS 39638"
MS,2012-11-06,county,Amite,Homochitto,HOMOCHITTO/MT. VERNON CHURCH,"2038 POOLE LN, GLOSTER, MS 39638"
MS,2012-11-06,county,Amite,Liberty,LIBERTY/HWY. 567,"4354 MS HWY 567, LIBERTY, MS 39645"
MS,2012-11-06,county,Amite,New Zion,NEW ZION/SMITHDALE F.D.,"5466 FENN RD, SMITHDALE, MS 39664"
MS,2012-11-06,county,Amite,Oneil,O'NEIL FIRE DEPARTMENT,"5697 OXFORD MEADVILLE RD, GLOSTER, MS 39638"
MS,2012-11-06,county,Amite,Riceville,RICEVILLE/HWY. 568/PALMER RD.,"2505 PALMER RD, MAGNOLIA, MS 39652"
MS,2012-11-06,county,Amite,Smithdale,SMITHDALE/HWY. 570 - FENN RD.,"6485 MS HWY 570, SMITHDALE, MS 39664"
MS,2012-11-06,county,Amite,South Liberty,S. LIBERTY/COURTHOUSE,"243 W MAIN ST, LIBERTY, MS 39645"
MS,2012-11-06,county,Amite,Street,STREET VOLUNTEER FIRE DEPT.,"2181B MS HWY 569 S, LIBERTY, MS 39645"
MS,2012-11-06,county,Amite,Tangipahoa,TANGIPAHOA RD/HWY. 570,"7651 MS HIGHWAY 570, SUMMIT, MS 39666"
MS,2012-11-06,county,Amite,Tickfaw,TICKFAW/PEORIA ROAD,"3499 PEORIA RD, LIBERTY, MS 39645"
MS,2012-11-06,county,Amite,Walls,WALLS/GILLSBURG VOL. F. D.,"6077 MS HWY 568, OSYKA, MS 39657"
MS,2012-11-06,county,Amite,Zion Hill,ZION HILL/HWY. 567/COLE RD.,"6075 MS HWY 567, LIBERTY, MS 39645"
MS,2012-11-06,county,Attala,Aponaug,METHODIST PROTESTANT CHURCH,"162 APONAUG ROAD, KOSCIUSKO, MS 3909"
MS,2012-11-06,county,Attala,Berea,COMMUNITY HOUSE,"ATTALA ROAD 3122, MCCOOL, MS 39108"
MS,2012-11-06,county,Attala,Carmack,SCHOOL BUILDING,"HWY 35 NORTH, VAIDEN, MS 39176"
MS,2012-11-06,county,Attala,East,KOSCIUSKO HIGH SCHOOL,"VETERANS MEMORIAL DRIVE, KOSCIUSKO, MS 39090"
MS,2012-11-06,county,Attala,Ethel,ETHEL FIRE STATION,"MAIN STREET, ETHEL, MS 39067"
MS,2012-11-06,county,Attala,Hesterville,MASONIC LODGE,"ATTALA ROAD 3231, KOSCIUSKO, MS 39090"
MS,2012-11-06,county,Attala,Liberty Chapel,MASONIC LODGE,"ATTALA ROAD 2120, MCCOOL, MS 39108"
MS,2012-11-06,county,Attala,Mcadams,MCADAMS SCHOOL,"6315 ATTALA ROAD 6315, SALLIS, MS 39160"
MS,2012-11-06,county,Attala,Mccool,MCCOOL FIRE STATION,"HWY 407, MCCOOL, MS 39108"
MS,2012-11-06,county,Attala,Newport,MCDANIEL'S STORE,"HWY 14 WEST, GOODMAN, MS 39108"
MS,2012-11-06,county,Attala,North Central,RIDING ARENA,"HWY 43 NORTH, KOSCIUSKO, MS 3909"
MS,2012-11-06,county,Attala,North East,COLISEUM,"HWY 12 EAST, KOSCIUSKO, MS 3909"
MS,2012-11-06,county,Attala,North West,COURTHOUSE,"118 WEST WASHINGTON STREET, KOSCIUSKO, MS 39090"
MS,2012-11-06,county,Attala,Possumneck,COMMUNITY HOUSE,"ATTALA ROAD 3231, KOSCIUSKO, MS 39090"
MS,2012-11-06,county,Attala,Providence,PROVIDENCE FIRE STATION,"ATTALA ROAD 5053, ETHEL, MS 39067"
MS,2012-11-06,county,Attala,Sallis,SALLIS FIRE STATION,"FRONT STREET, SALLIS, MS 39160"
MS,2012-11-06,county,Attala,South Central,OLD KJHS GYMN,"600 TIPTON STREET, KOSCIUSKO, MS 39090"
MS,2012-11-06,county,Attala,South West,BLDG BY PALESTINE CHURCH,"16580 HWY 14 WEST, KOSCIUSKO, MS 39090"
MS,2012-11-06,county,Attala,Thompson,HARMONY CHURCH,"ATTALA ROAD 5210, ETHEL, MS 39067"
MS,2012-11-06,county,Attala,Williamsville,COMMUNITY HOUSE,"WILLIAMSVILLE ROAD, KOSCIUSKO, MS 39090"
MS,2012-11-06,county,Benton,Ashland Precinct District 3,ASHLAND VOLUNTEER FIRE DEPT,"60 4TH STREET, ASHLAND, MS 38603"
MS,2012-11-06,county,Benton,Canaan Precinct District 1,NORTHEAST BENTON FIRE DEPT,"16220 HWY 72, ASHLAND, MS 38603"
MS,2012-11-06,county,Benton,Floyd Precinct Dist 4,ABELS STORE FIRE STATION,"60 OLD HIGHWAY 4 & 5 JUNCTION, ASHLAND, MS 38603"
MS,2012-11-06,county,Benton,Hickory Flat Prec Dist 5,PRECINCT 2HF5,"225 SPRUCE STREET, HICKORY FLAT, MS 38603"
MS,2012-11-06,county,Benton,Lamar Precinct District 2,NORTH BENTON FIRE STATION,"3591 HWY 7, LAMAR, MS 38642"
MS,2012-11-06,county,Bolivar,Benoit Precinct,BENOIT PRECINCT,"BENOIT LIBRARY 109 W. PRESTON ST., BENOIT, MS 38725"
MS,2012-11-06,county,Bolivar,Beulah,BEULAH,"BEULAH TOWN HALL, BEULAH, MS 38726"
MS,2012-11-06,county,Bolivar,Boyle,BOYLE,"BOYLE CITY HALL- 105 TIM JONES, BOYLE, MS 38730"
MS,2012-11-06,county,Bolivar,Choctaw,CHOCTAW,"STAND ALONE BUILDING- OLD HIGHWAY #61 AND STATE HIGHWAY #450, SHAW, MS 38773"
