state,election_date,jurisdiction_type,county_name,precinct_name,name,address
MS,2016-11-08,county,Adams,"Dist. 5, Airport Precinct",AIRPORT TERMINAL,"434 AIRPORT RD., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 1, By-Pass Fire Precinct",MISS. AUTO DIRECT,"250 JOHN R JUNKIN DR., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 1, Bellemont Precinct",CROSSPOINT CHURCH,"285 HIGHLAND BLVD., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 2, Beau Pre Precinct",CALVERY BAPTIST CHURCH,"522 HIGHWAY 61 SO., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 3, Concord Precinct",CHRISTIAN HOPE BAPTIST CHURCH,"301 LASALLE ST, NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 1, Courthouse Precinct",COURTHOUSE,"115 S. WALL ST., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 4, Carpenter Precinct",ROSE HILL BAPTIST CHURCH,"607 1/2 MADISON ST., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 2, Duncan Park Precinct",DUNCAN PARK CANTEEN,"57 DUNCAN PARK RD., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 5, Foster Mound Precinct",DISTRICT 5 FIRE STATION,"228 FOSTER MOUND RD., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 2, Kingston Precinct",KINGSTON FIRE STATION,"575 KINGSTON RD, NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 2, Liberty Park Precinct",MS NAT GUARD ARMORY,"329 LIBERTY RD., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 4, Morgantown Precinct",MORGANTOWN SCHOOL,"101 COTTAGE HOME DR., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 3, Maryland Hgts. Precinct",MARYLAND HEIGHTS REC BLDG,"111 DUMAS DR., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 3, Nps Multi Purpose Bldg.",DAVID R STECKLER MULTI PUR. BLDG,"311 LIBERTY RD., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 4, Northside Precinct",FRAZIER SCHOOL,"1445 GEORGE F WEST BLVD., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 5, Oakland Precinct",LOVELY LANE METHODIST CHURCH,"65 MORGANTOWN RD., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 3, Palestine Precinct",LIBERTY RD VOLUNTEER FIRE DEPT,"1196 LIBERTY RD., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 4, Pine Ridge Precinct",DISTRICT 4 BARN,"176 FOSTER MOUND RD., NATCHEZ MS 39120"
MS,2016-11-08,county,Adams,"Dist. 5, Washington Precinct",NEW HOPE BAPTIST CHURCH,"417 MORGANTOWN RD., NATCHEZ MS 39120"
MS,2016-11-08,county,Alcorn,Bethel,PHIL CRUM'S SHOP,"HWY 2 WEST, CORINTH MS 38834"
MS,2016-11-08,county,Alcorn,Biggersville,BIGGERSVILLE FIRE STATION,"531 CR 513, RIENZI MS 38865"
MS,2016-11-08,county,Alcorn,2nd District Central Precinct,W. O. W. BUILDING,"72 CR 253, GLEN MS 38846"
MS,2016-11-08,county,Alcorn,College Hill,AMERICAN LEGION BUILDING,"511 S TATE ST, CORINTH MS 38834"
MS,2016-11-08,county,Alcorn,East Corinth,FIRST PRESBYTERIAN CHURCH FELLOWSHIP HALL,"8TH STREET, CORINTH MS 38834"
MS,2016-11-08,county,Alcorn,Five Points 1st Dist,FARMINGTON CITY HALL,"4135 CR 200, CORINTH MS 38834"
MS,2016-11-08,county,Alcorn,Glen,GLEN CITY HALL,"HWY 72 EAST, GLEN MS 38846"
MS,2016-11-08,county,Alcorn,Jacinto,JACINTO SENIOR CITIZEN CENTER,"4 CR 375, RIENZI MS 38865"
MS,2016-11-08,county,Alcorn,Kossuth,L. C. FOLLIN BLUE BUILDING,"7 CR 604, KOSSUTH MS 38834"
MS,2016-11-08,county,Alcorn,North Corinth,NORTH CORINTH BAPTIST CHURCH FELLOWSHIP HALL,"3311 NORTH POLK STREET, CORINTH MS 38834"
MS,2016-11-08,county,Alcorn,Pinecrest,PINECREST BAPTIST CHURCH FELLOWSHIP HALL,"313 PINECREST ROAD, CORINTH MS 38834"
MS,2016-11-08,county,Alcorn,Rienzi,RIENZI FIRE STATION,"71 S FRONT ST, RIENZI MS 38865"
MS,2016-11-08,county,Alcorn,South Corinth,JOHN ST COMMUNITY CENTER,"1102 S JOHN ST, CORINTH MS 38834"
MS,2016-11-08,county,Alcorn,Union Center,OLD UNION CENTER SCHOOL BLDG,"3 CR 643, WALNUT MS 38683"
MS,2016-11-08,county,Alcorn,West Corinth,BISHOP CENTER,"1300 WASHINGTON ST, CORINTH MS 38834"
MS,2016-11-08,county,Alcorn,Wenasoga,V. F. W.,"1 PURDY SCHOOL RD, CORINTH MS 38834"
MS,2016-11-08,county,Amite,Liberty,LIBERTY/HWY. 567,"4354 MS HWY 567, LIBERTY MS 39645"
MS,2016-11-08,county,Amite,New Zion,NEW ZION/SMITHDALE F.D.,"5466 FENN RD, SMITHDALE MS 39664"
MS,2016-11-08,county,Amite,Zion Hill,ZION HILL/HWY. 567/COLE RD.,"6075 MS HWY 567, LIBERTY MS 39645"
MS,2016-11-08,county,Amite,Vance Park,VANCE PARK,"4124 MS HWY 24 WEST, LIBERTY MS 39645"
MS,2016-11-08,county,Amite,Amite River,AMITE RIVER/LIB. ELEMENTARY,"3457B S GREENSBURG RD, LIBERTY MS 39645"
MS,2016-11-08,county,Amite,Ariel,ARIEL VOLUNTEER FIRE DEPT. BLDG.,"4250 KAHNVILLE RD, GLOSTER MS 39638"
MS,2016-11-08,county,Amite,Berwick,BERWICK/JERUSALEM BAPT. CHURCH,"3590-A JERUSALEM RD, LIBERTY MS 39645"
