state,county_name,municipality,name,address,polling_place_type
SD,Clay,Vermillion,National Guard Armory,"603 Princeton St, Vermillion",polling_place
SD,Clay,Beresford,SESD Experimental Farm,"29974 University Rd, Beresford",polling_place
SD,Clay,Vermillion,Vermillion 4-H Center,"515 High St, Vermillion",polling_place
SD,Clay,Wakonda,Wakonda Senior Center,"119 Ohio St, Wakonda",polling_place
SD,Codington,Watertown,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Days Inn of Watertown,"2900 9 Ave SE, Watertown",polling_place
SD,Codington,Florence,Florence Community Center,"Main Street, Florence",polling_place
SD,Codington,Henry,Henry Town Hall,"Main Street, Henry",polling_place
SD,Codington,Kranzburg,Holy Rosary School Auditorium,"Minnesota Ave, Kranzburg",polling_place
SD,Codington,Watertown,Lincoln School,"1100 13 St NE, Watertown",polling_place
SD,Codington,South Shore,South Shore Community Center,"Main Street, South Shore",polling_place
SD,Codington,Wallace,Wallace Community Center,"Main Street, Wallace",polling_place
SD,Codington,Waverly,Waverly Community Center,"217 Central Ave, Waverly",polling_place
SD,Corson,Bullhead,Bullhead Community Center,"Bullhead Community Center, Bullhead",polling_place
SD,Corson,McIntosh,Corson County Courthouse,"108 First Street East, McIntosh",polling_place
SD,Corson,Timber Lake,Gary Pederson Residence,"BIA Road #4, Timber Lake",polling_place
SD,Corson,Keldron,Grand River Fire Hall,"21152 114th St, Keldron",polling_place
SD,Corson,Kenel,Kenel Community Hall,"Kenel Community Hall, Kenel",polling_place
SD,Corson,Little Eagle,Little Eagle District Office,"Little Eagle District Office, Little Eagle",polling_place
SD,Corson,McLaughlin,McLaughlin City Auditorium,"Main Street, McLaughlin",polling_place
SD,Corson,Morristown,Morristown Fire Hall,"100 2nd St E, Morristown",polling_place
SD,Corson,Trail City,Trail City Community Hall,"Hwy 20, Trail City",polling_place
SD,Corson,Wakpala,Wakpala Community Center,"Wakpala Community Center, Wakpala",polling_place
SD,Custer,Buffalo Gap,Buffalo Gap Community Center,"209 Main St, Buffalo Gap",polling_place
SD,Custer,Custer,Custer County Courthouse Annex,"447 Crook St, Custer",polling_place
SD,Custer,Custer,Custer County Highway Dept Bldg,"25365 US Hwy 385, Custer",polling_place
SD,Custer,Rural,Elk Mountain School,"10222 Valley Rd, Rural",polling_place
SD,Custer,Fairburn,Fairburn Community & Historical Center,"710 2nd St, Fairburn",polling_place
SD,Custer,Hermosa,Hermosa United Church of Christ,"102 2nd St N, Hermosa",polling_place
SD,Custer,Pringle,Pringle Fire Auxillary Hall,"436 Railway, Pringle",polling_place
SD,Davison,Mitchell,Corn Palace,"601 N Main St, Mitchell",polling_place
SD,Davison,Mitchell,Davison County Fairgrounds,"3200 W Havens, Mitchell",polling_place
SD,Davison,Ethan,Ethan Town Hall,"201 West Main, Ethan",polling_place
SD,Davison,Mitchell,MCTEA Building,"821 N. Capital, Mitchell",polling_place
SD,Davison,Mt. Vernon,Mt. Vernon Senior Citizens Center,,polling_place
SD,Day,Bristol,Bristol Community Center,"86 S Main St, Bristol",polling_place
SD,Day,Webster,Day County Courthouse Rm#101,"711 W. 1st St, Webster",polling_place
SD,Day,Webster,Day County Courthouse Rm#104,"711 W. 1st St, Webster",polling_place
SD,Day,Webster,Day County Courthouse Rm#205,"711 W. 1st St, Webster",polling_place
SD,Day,Pierpont,Pierpont Community Center,"101 W Main St, Pierpont",polling_place
SD,Day,Roslyn,Roslyn City Hall,"600 Main St, Roslyn",polling_place
SD,Day,Grenville,St. Joseph's Hall,"Main St, Grenville",polling_place
SD,Day,Waubay,Waubay Legion,"20 E. 2nd Ave, Waubay",polling_place
SD,Deuel,Astoria,Astoria Legion Hall,"341 Main Street, Astoria",polling_place
SD,Deuel,Brandt,Brandt Community Center,"102 Main St, Brandt",polling_place
SD,Deuel,Clear Lake,Clear Lake Community Center,"218 3rd Ave. S., Clear Lake",polling_place
SD,Deuel,Clear Lake,Dakota Ridge Lodge,"47743 172nd St, Clear Lake",polling_place
SD,Deuel,Gary,Gary Fire Hall,"114 1st Ave., Gary",polling_place
SD,Deuel,Goodwin,Goodwin Fire Hall,"125 N Bowdoin St., Goodwin",polling_place
SD,Deuel,Toronto,Toronto Community Rm. (FireHall),"460 Main Ave, Toronto",polling_place
SD,Dewey,Eagle Butte,CRST Senior Nutrition Site,"East Knott's Landing Rd, Eagle Butte",polling_place
SD,Dewey,Timber Lake,Dewey Co. Courthouse,"710 C St, Timber Lake",polling_place
SD,Dewey,Eagle Butte,Eagle Butte Volunteer Fire Hall,"Willow St, Eagle Butte",polling_place
SD,Dewey,Isabel,Isabel Senior Center,"412 N  Main, Isabel",polling_place
SD,Dewey,Eagle Butte,Lakota Wesleyan Chapel,"N Hwy 212, Eagle Butte",polling_place
SD,Dewey,Eagle Butte,Lakota Wesleyan Chapel,"N Hwy 212, Eagle Butte",polling_place
SD,Dewey,Eagle Butte,Landmark Hall,"south end of Main St east side of street, Eagle Butte",polling_place
SD,Dewey,Promise,St. Catherine Hall/Promise,"S 1806 and N of Promise townsite, Promise",polling_place
SD,Dewey,Timber Lake,Timber Lake Community Center,"700 Main Street, Timber Lake",polling_place
SD,Dewey,Trail City,Trail City Community Hall,"N Hwy 20, Trail City",polling_place
SD,Dewey,LaPlant,UCC Church Hall/LaPlant,"Virgin Creek Road, LaPlant",polling_place
SD,Dewey,White Horse,White Horse Community Center,"West Main Avenue, White Horse",polling_place
SD,Douglas,Armour,4-H Center- Armour,"39182 280th St., Armour",polling_place
SD,Douglas,Armour,Armour Fire Hall,"1103 Braddock Ave., Armour",polling_place
SD,Douglas,Corsica,Community Building- Corsica,"335 East Main St., Corsica",polling_place
SD,Douglas,Delmont,Community Center-Delmont,"105 West Main St., Delmont",polling_place
SD,Douglas,Harrison,Harrison Community Church,"390 Lecocq St., Harrison",polling_place
SD,Edmunds,Ipswich,4-H Building Ipswich,"515 7th St, Ipswich",polling_place
SD,Edmunds,Bowdle,Bowdle Multi-Purpose Center,"8001 W 5th St, Bowdle",polling_place
SD,Edmunds,Hosmer,Hosmer Fire Hall,"315 S Chapman Ave, Hosmer",polling_place
SD,Edmunds,Ipswich,Ipswich 4-H Building,"515 7th St, Ipswich",polling_place
SD,Edmunds,Roscoe,Roscoe Fire Hall,"208 N Mitchell St, Roscoe",polling_place
SD,Edmunds,Mina,The M Station,"800 Nesbitt Drive, Mina",polling_place
SD,Fall River,Hot Springs,Cascade Fire Hall,"27974 Cascade Rd, Hot Springs",polling_place
SD,Fall River,Hot Springs,Mueller Center,"801 S 6th, Hot Springs",polling_place
SD,Fall River,Oelrichs,Oelrichs Community Center,"108 E 6th St, Oelrichs",polling_place
SD,Fall River,Oral,Oral School,"27600 W Oral Rd, Oral",polling_place
SD,Fall River,Edgemont,St. James Parish Center,"306 3rd Ave, Edgemont",polling_place
SD,Faulk,Cresbard,Cresbard Community Ctr,"204 Main St, Cresbard",polling_place
SD,Faulk,Faulkton,Faulkton Community Center,,polling_place
SD,Faulk,Wecota,Freedom Farmers Union Local 974,"Wecota Ave, Wecota",polling_place
SD,Faulk,Orient,Orient Community Ctr.,"Main St, Orient",polling_place
SD,Faulk,Rockham,Rockham Community Ctr,"116 S Broadway, Rockham",polling_place
SD,Faulk,Seneca,Seneca Community Center,"Pine St, Seneca",polling_place
SD,Grant,Big Stone City,Big Stone City Community Room,"400 Washington St, Big Stone City",polling_place
SD,Grant,LaBolt,LaBolt Mini Mall,"140 Main St, LaBolt",polling_place
SD,Grant,Marvin,Marvin Hall,"204 S Church St, Marvin",polling_place
SD,Grant,Milbank,Milbank Airport,"14871 482nd Ave, Milbank",polling_place
SD,Grant,Milbank,Milbank City Office,"1001 E 4th Ave, Milbank",polling_place
SD,Grant,Milbank,Otter Tail Power Co Meeting Room,"404 S 2nd St, Milbank",polling_place
SD,Grant,Revillo,Revillo Community Center,"308 N 2nd Ave, Revillo",polling_place
SD,Grant,Strandburg,Rufer's General Store,"115 Main St., Strandburg",polling_place
SD,Grant,Stockholm,Stockholm Community Center,"400 E Johnson Ave, Stockholm",polling_place
SD,Grant,Twin Brooks,Twin Brooks Community Room,"502 Lasell St, Twin Brooks",polling_place
SD,Grant,Milbank,Whetstone Valley Electric Meeting Room,"1101 E 4th Ave, Milbank",polling_place
SD,Gregory,Bonesteel,Bonesteel Comunity Room,"400 Mellette St., Bonesteel",polling_place
SD,Gregory,Burke,Burke Civic Center,"822 Main St, Burke",polling_place
SD,Gregory,Gregory,Gregory Memorial Auditorium,"222 Main St, Gregory",polling_place
SD,Haakon,Philip,Bad River Senior Citizens Center,"115 S Center Ave, Philip",polling_place
SD,Haakon,Philip,Courthouse Community Room,"140 South Howard Ave, Philip",polling_place
SD,Haakon,Midland,Deep Creek Church,"19990 Deep Creek Rd, Midland",polling_place
SD,Haakon,Midland,Midland Fire Hall,"509 Main St, Midland",polling_place
SD,Haakon,Milesville,Milesville Hall,"22101 King School Rd, Milesville",polling_place
SD,Hamlin,Bryant,Bryant City Auditorium,"115 E Main St, Bryant",polling_place
SD,Hamlin,Castlewood,Castlewood Fire Hall,"204 E Main St, Castlewood",polling_place
