state,county_name,municipality,precinct_name,name,address,polling_place_type
SD,Butte,Belle Fourche,Precinct-17,Belle Fourche Community Hall,"508 6th Avenue, Belle Fourche",polling_place
SD,Butte,Nisland,Precinct-18,American Legion Hall,"505 2nd Street, Nisland",polling_place
SD,Butte,Newell,Precinct-20,Newell Community Hall,"108 3rd Street, Newell",polling_place
SD,Butte,Belle Fourche,Precinct-21,Belle Fourche Community Hall,"508 6th Avenue, Belle Fourche",polling_place
SD,Butte,Belle Fourche,Precinct-22,Belle Fourche Community Hall,"508 6th Avenue, Belle Fourche",polling_place
SD,Butte,Belle Fourche,Precinct-23,Belle Fourche Community Hall,"508 6th Avenue, Belle Fourche",polling_place
SD,Butte,Belle Fourche,Precinct-24,Belle Fourche Community Hall,"508 6th Avenue, Belle Fourche",polling_place
SD,Butte,Belle Fourche,Precinct-25,Belle Fourche Community Hall,"508 6th Avenue, Belle Fourche",polling_place
SD,Butte,Belle Fourche,Precinct-26,Belle Fourche Community Hall,"508 6th Avenue, Belle Fourche",polling_place
SD,Butte,Belle Fourche,Precinct-27,Belle Fourche Community Hall,"508 6th Avenue, Belle Fourche",polling_place
SD,Campbell,Herreid,Precinct-1,Herreid Senior Citizens Center,"202 Main St N, Herreid",polling_place
SD,Campbell,Pollock,Precinct-2,Pollock Visitors Center,"119 Main St, Pollock",polling_place
SD,Campbell,Herreid,Precinct-3,Herreid Senior Citizens Center,"202 Main St N, Herreid",polling_place
SD,Campbell,Mound City,Precinct-4,Mound City Community Center,"349 Campbell St NW, Mound City",polling_place
SD,Campbell,Mound City,Precinct-5,Campbell County Courthouse/CourtRoom,"111 2nd St NE, Mound City",polling_place
SD,Charles Mix,Wagner,Precinct-01,Wagner Armory,"610 E SD Hwy 46, Wagner",polling_place
SD,Charles Mix,Dante,Precinct-02,Dante Church,"103 Church Dr, Dante",polling_place
SD,Charles Mix,Wagner,Precinct-03,Wagner Armory,"610 E SD Hwy 46, Wagner",polling_place
SD,Charles Mix,Marty,Precinct-04,Ihanktonwan Community College,"200 S Main, Marty",polling_place
SD,Charles Mix,Lake Andes,Precinct-05,Lake Andes 4-H Center,"100 School St, Lake Andes",polling_place
SD,Charles Mix,Lake Andes,Precinct-06,Lake Andes 4-H Center,"100 School St, Lake Andes",polling_place
SD,Charles Mix,Pickstown,Precinct-07,Pickstown Rainbow Room,"310 White Swan Dr, Pickstown",polling_place
SD,Charles Mix,Geddes,Precinct-08,Multi Purpose Center,"409 Michigan Ave, Geddes",polling_place
SD,Charles Mix,Platte,Precinct-09,Platte Community Bldg,"310 S Main St, Platte",polling_place
SD,Charles Mix,Academy,Precinct-10,Academy Fire Hall,"SD Hwy 44, Academy",polling_place
SD,Charles Mix,Platte,Precinct-11,Platte Community Bldg,"310 S Main St, Platte",polling_place
SD,Charles Mix,Geddes,Precinct-12,Multi Purpose Center,"409 Michigan Ave, Geddes",polling_place
SD,Charles Mix,Ravinia,Precinct-13,Ravinia Fire Hall,"Main St, Ravinia",polling_place
SD,Clark,Bradley,Precinct-01,Bradley Community Center,"Main Street, Bradley",polling_place
SD,Clark,Clark,Precinct-02,Clark County Courthouse,"200 N. Commercial, Clark",polling_place
SD,Clark,Raymond,Precinct-03,Raymond Fire Hall,"201 Flower Street, Raymond",polling_place
SD,Clark,Garden City,Precinct-04,Prairie Ridge Lodge,"110 1st St NE, Garden City",polling_place
SD,Clark,Clark,Precinct-05,Clark County Courthouse,"200 N. Commercial, Clark",polling_place
SD,Clark,Clark,Precinct-06,Clark County Courthouse,"200 N. Commercial, Clark",polling_place
SD,Clark,Willow Lake,Precinct-07,Willow Lake Grace Lutheran Church,"610 3rd Street, Willow Lake",polling_place
SD,Clark,Willow Lake,Precinct-08,Willow Lake Community Center,"213 Garfield Ave, Willow Lake",polling_place
SD,Clark,Vienna,Precinct-09,Vienna Town Hall,"228 Main Street, Vienna",polling_place
SD,Clark,Carpenter,Precinct-10,Carpenter Community Center,"524 415th Ave, Carpenter",polling_place
SD,Clark,Clark,Precinct-12,Clark Senior Citizens - Ullyot Bldg,"100 N. Commercial, Clark",polling_place
SD,Clark,Clark,Precinct-13,Clark Senior Citizens - Ullyot Bldg,"100 N. Commercial, Clark",polling_place
SD,Clay,Beresford,Precinct-01,SESD Experimental Farm,"29974 University Rd, Beresford",polling_place
SD,Clay,Wakonda,Precinct-02,Wakonda Senior Center,"119 Ohio St, Wakonda",polling_place
SD,Clay,Vermillion,Precinct-03,Vermillion 4-H Center,"515 High St, Vermillion",polling_place
SD,Clay,Vermillion,Precinct-C1,National Guard Armory,"603 Princeton St, Vermillion",polling_place
SD,Clay,Vermillion,Precinct-C2,National Guard Armory,"603 Princeton St, Vermillion",polling_place
SD,Clay,Vermillion,Precinct-E1,National Guard Armory,"603 Princeton St, Vermillion",polling_place
SD,Clay,Vermillion,Precinct-E2,National Guard Armory,"603 Princeton St, Vermillion",polling_place
SD,Clay,Vermillion,Precinct-S1,National Guard Armory,"603 Princeton St, Vermillion",polling_place
SD,Clay,Vermillion,Precinct-S2,National Guard Armory,"603 Princeton St, Vermillion",polling_place
SD,Clay,Vermillion,Precinct-W1,National Guard Armory,"603 Princeton St, Vermillion",polling_place
SD,Clay,Vermillion,Precinct-W2,National Guard Armory,"603 Princeton St, Vermillion",polling_place
SD,Codington,Florence,DEXTER,Florence Community Center,"Main Street, Florence",polling_place
SD,Codington,Wallace,"EDEN, PHIPPS, WALLACE",Wallace Community Center,"Main Street, Wallace",polling_place
SD,Codington,Watertown,ELMIRA,Lincoln School,"1100 13 St NE, Watertown",polling_place
SD,Codington,Florence,"FULLER, FLORENCE",Florence Community Center,"Main Street, Florence",polling_place
SD,Codington,Watertown,GERMANTOWN,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Henry,"GRACELAND, HENRY, HENRY",Henry Town Hall,"Main Street, Henry",polling_place
SD,Codington,Watertown,KAMPESKA,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Kranzburg,"KRANZBURG, KRANZBURG",Holy Rosary School Auditorium,"Minnesota Ave, Kranzburg",polling_place
SD,Codington,Watertown,LAKE,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,South Shore,"LEOLA, SOUTH SHORE",South Shore Community Center,"Main Street, South Shore",polling_place
SD,Codington,Watertown,PELICAN,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-A1,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-A2,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-A3,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-B1,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-B2,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-B3,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-B4,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-C1,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-C2,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-C3,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-C4,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-D1,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-D2,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-D3,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-D4,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-E1,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-E2,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-E3,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-E4,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Precinct-E5,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,RAUVILLE,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,RICHLAND,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,SHERIDAN,Days Inn of Watertown,"2900 9 Ave SE, Watertown",polling_place
SD,Codington,Waverly,WAVERLY,Waverly Community Center,"217 Central Ave, Waverly",polling_place
SD,Corson,Bullhead,Bullhead Precinct,Bullhead Community Center,"Bullhead Community Center, Bullhead",polling_place
SD,Corson,Keldron,Grand Valley Precinct,Grand River Fire Hall,"21152 114th St, Keldron",polling_place
SD,Corson,Kenel,Kenel Precinct,Kenel Community Hall,"Kenel Community Hall, Kenel",polling_place
SD,Corson,McLaughlin,Lincoln Precinct,McLaughlin City Auditorium,"Main Street, McLaughlin",polling_place
SD,Corson,Little Eagle,Little Eagle Precinct,Little Eagle District Office,"Little Eagle District Office, Little Eagle",polling_place
SD,Corson,McIntosh,McIntosh Precinct,Corson County Courthouse,"108 First Street East, McIntosh",polling_place
SD,Corson,McLaughlin,McLaughlin Precinct,McLaughlin City Auditorium,"Main Street, McLaughlin",polling_place
SD,Corson,Morristown,Morristown Precinct,Morristown Fire Hall,"100 2nd St E, Morristown",polling_place
SD,Corson,McLaughlin,Oak Creek Precinct,McLaughlin City Auditorium,"Main Street, McLaughlin",polling_place
SD,Corson,Trail City,Ridgeland Precinct,Trail City Community Hall,"Hwy 20, Trail City",polling_place
