election_date,state,jurisdiction_type,county_name,polling_place_id,precinct_id,name,address
2018-11-06,GA,county,BANKS,006018,0004,NEW BANKS CROSSING FIRE DEPT,"613 INDUSTRIAL PARK BLVD, COMMERCE, GA 30529"
2018-11-06,GA,county,BANKS,006008,0006,NEW SALEM METHODIST CHURCH FELLOWSHIP HALL,"2170 HWY 59, COMMERCE, GA 30530"
2018-11-06,GA,county,BARROW,007023,11,APALACHEE HIGH SCHOOL,"940 HAYMON MORRIS RD, WINDER, GA 30680"
2018-11-06,GA,county,BARROW,007028,02,BETHLEHEM CHURCH - 211 CAMPUS,"1054 OLD THOMPSON MILL RD, HOSCHTON, GA 30548"
2018-11-06,GA,county,BARROW,007024,01,BETHLEHEM COMMUNITY CENTER,"750 MANGER AVE, BETHLEHEM, GA 30620"
2018-11-06,GA,county,BARROW,007025,03,BRAMLETT ELEMENTARY SCHOOL,"622 FREEMAN BROCK RD, AUBURN, GA 30011"
2018-11-06,GA,county,BARROW,007020,14,CEDAR CREEK BAPTIST CHURCH,"403 CEDAR CREEK RD, WINDER, GA 30680"
2018-11-06,GA,county,BARROW,007021,15,COUNTY LINE ELEMENTARY SCHOOL,"334 ROCKWELL CHURCH RD NW, WINDER, GA 30680"
2018-11-06,GA,county,BARROW,007026,05,FIRE STATION 1 (STATHAM),"1625 BETHLEHEM RD, STATHAM, GA 30666"
2018-11-06,GA,county,BARROW,007029,08,FIRST BAPTIST CHURCH WINDER,"625 JEFFERSON HWY, WINDER, GA 30680"
2018-11-06,GA,county,BARROW,007030,10,LEISURE SERVICES CENTER,"175 SECOND ST, WINDER, GA 30680"
2018-11-06,GA,county,BARROW,007002,12,MIDWAY UNITED METHODIST CHURCH,"215 KILCREASE RD, AUBURN, GA 30011"
2018-11-06,GA,county,BARROW,007031,07,STATHAM ELEMENTARY SCHOOL,"1970 BROAD ST, STATHAM, GA 30666"
2018-11-06,GA,county,BARROW,007022,16,THE CHURCH AT WINDER,"546 TREADWELL RD, BETHLEHEM, GA 30620"
2018-11-06,GA,county,BARROW,007015,09,THE LIONS CLUB,"354 E BROAD ST, WINDER, GA 30680"
2018-11-06,GA,county,BARROW,007032,04,WESTSIDE MIDDLE SCHOOL,"240 MATTHEWS SCHOOL RD, WINDER, GA 30680"
2018-11-06,GA,county,BARROW,007017,13,WINDER COMMUNITY CENTER,"113 E ATHENS ST, WINDER, GA 30680"
2018-11-06,GA,county,BARROW,007033,06,WINDER-BARROW HIGH SCHOOL,"272 N 5TH AVE, WINDER, GA 30680"
2018-11-06,GA,county,BARTOW,008003,02,ALLATOONA RESOURCE CENTER,"6503 GLADE RD, ACWORTH, GA 30102"
2018-11-06,GA,county,BARTOW,008030,11,ATCO BAPTIST CHURCH,"20 PARMENTER ST, CARTERSVILLE, GA 30120"
2018-11-06,GA,county,BARTOW,008005,05,BEAVERS DRIVE SENIOR CENTER,"33 BEAVERS DRIVE, CARTERSVILLE, GA 30120"
2018-11-06,GA,county,BARTOW,008006,04,CARTERSVILLE CIVIC CENTER,"435 WEST MAIN STREET, CARTERSVILLE, GA 30120"
2018-11-06,GA,county,BARTOW,008008,06,CENTER COMMUNITY CENTER,"684 CENTER RD, CARTERSVILLE, GA 30121"
2018-11-06,GA,county,BARTOW,008016,03,CHAMBER OF COMMERCE,"122 WEST MAIN STREET, CARTERSVILLE, GA 30120"
2018-11-06,GA,county,BARTOW,008029,18,CREEKSIDE FELLOWSHIP CHURCH,"585 OLD ALABAMA RD, CARTERSVILLE, GA 30120"
2018-11-06,GA,county,BARTOW,008009,07,EMERSON CITY HALL,"700 HWY 293, EMERSON, GA 30137"
2018-11-06,GA,county,BARTOW,008010,08,EUHARLEE CITY HALL,"30 BURGE`S MILL RD, EUHARLEE, GA 30145"
2018-11-06,GA,county,BARTOW,008011,09,FOLSOM FIRE DEPT,"2124 STATE ROUTE 140, ADAIRSVILLE, GA 30103"
2018-11-06,GA,county,BARTOW,008012,10,KINGSTON CITY HALL,"30 WEST MAIN STREET, KINGSTON, GA 30145"
2018-11-06,GA,county,BARTOW,008025,01,MANNING MILL PARK FACILITY,"163B MANNING MILL RD, ADAIRSVILLE, GA 30103"
2018-11-06,GA,county,BARTOW,008026,12,PINE LOG FIRE STATION 8,"189 OLIVE VINE CHURCH RD, RYDAL, GA 30171"
2018-11-06,GA,county,BARTOW,008019,14,TAYLORSVILLE CITY HALL,"11 EUHARLEE STREET, TAYLORSVILLE, GA 30178"
2018-11-06,GA,county,BARTOW,008028,15,WHITE UNITED METHODIST CHURCH,"3411 HIGHWAY 411 NE, WHITE, GA 30184"
2018-11-06,GA,county,BARTOW,008023,16,ZENA DRIVE SENIOR CENTER,"102 ZENA DRIVE, CARTERSVILLE, GA 30120"
2018-11-06,GA,county,BEN HILL,009001,2,ARBOR CHURCH ANNEX,"1137 N MERRIMAC DRIVE EXT, FITZGERALD, GA 31750"
2018-11-06,GA,county,BEN HILL,009004,1,MONITOR AUDITORIUM,"502 S MONITOR DRIVE, FITZGERALD, GA 31750"
2018-11-06,GA,county,BERRIEN,010012,1157,AG CENTER,"516-A COUNTY FARM ROAD, NASHVILLE, GA 31639"
2018-11-06,GA,county,BERRIEN,010003,518,CITY HALL ALAPAHA,"112 N.W. RAILROAD ST, ALAPAHA, GA 31622"
2018-11-06,GA,county,BERRIEN,010005,1642,CITY HALL ENIGMA,"569 MAIN ST, ENIGMA, GA 31749"
2018-11-06,GA,county,BERRIEN,010004,1144,CITY HALL RAY CITY,"8151 MAIN ST, RAY CITY, GA 31645"
2018-11-06,GA,county,BERRIEN,010016,11062,FIRE DEPARTMENT,"11062 GA - HWY 125, LENOX, GA 31637"
2018-11-06,GA,county,BIBB,011108,GF2,BEULAH BAPTIST CHURCH,"1536 MLK BLVD, MACON, GA 31201"
2018-11-06,GA,county,BIBB,011101,GF3,BEULAHLAND BIBLE CHURCH,"1010 NEWBERG AVE, MACON, GA 31206"
2018-11-06,GA,county,BIBB,011014,GF4,BRUCE ELEMENTARY SCHOOL,"3660 HOUSTON AVE, MACON, GA 31206"
2018-11-06,GA,county,BIBB,011102,HA1,COVENANT LIFE CATHEDRAL,"4543 BLOOMFIELD RD, MACON, GA 31206"
2018-11-06,GA,county,BIBB,011099,EM5,DELORES A. BROOKS RECREATION CENTER,"3326 OCMULGEE EAST BLVD, MACON, GA 31217"
2018-11-06,GA,county,BIBB,011100,GF1,DR. ROBERT J. WILLIAMS COMPLEX AT BALLARD HUDSON,"1780 ANTHONY RD, MACON, GA 31206"
2018-11-06,GA,county,BIBB,011104,VV2,FIRST CHRISTIAN CHURCH,"2306 VINEVILLE AVE, MACON, GA 31204"
