state,election_date,jurisdiction,county_name,precinct_name,name,address,polling_location_type
AR,2012-11-06,county,,South Cadron Inside,Quitman City Hall,5 Second Street Quitman AR 721305,polling_location
AR,2012-11-06,county,,South Cadron Outside,Quitman City Hall,5 Second Street Quitman AR 721305,polling_location
AR,2012-11-06,county,,California,Woodrow Baptist Church,2840 Prim Road Prim AR 72130,polling_location
AR,2012-11-06,county,,5,First Christian Church,4001 Club Manor Dr. Maumelle AR 72113,polling_location
AR,2012-11-06,county,,9,First Christian Church,4001 Club Manor Dr. Maumelle AR 72113,polling_location
AR,2012-11-06,county,,Saline Inside,Higden Town Hall,29 Oak Street Higden AR 72067,polling_location
AR,2012-11-06,county,,Saline Outside,Higden Town Hall,29 Oak Street Higden AR 72067,polling_location
AR,2012-11-06,county,,4A,Peace Lutheran Church,800 S. Donahey Ave Conway AR 72034,polling_location
AR,2012-11-06,county,,11,St Mary'S Catholic Church Parish Hall,1998 Hwy 412 Siloam Springs AR 727605,polling_location
AR,2012-11-06,county,,Marion N - Box 1,Rose Hill Cumberland Presbyterian,2133 Highway 83 North Monticello AR 71655,polling_location
AR,2012-11-06,county,,31,Bella Vista Church Of Christ,8889 W. Mcnelly Road Bentonville AR 72712,polling_location
AR,2012-11-06,county,,40,Sylvan Hills Community Church,8019 Hwy 107 Sherwood AR 0,polling_location
AR,2012-11-06,county,,Wedington,Wedington Comm. Bldg.,  AR 0,polling_location
AR,2012-11-06,county,,29,Jacksonville Community Center,5 Municipal Dr. Jacksonville AR 0,polling_location
AR,2012-11-06,county,,30,Jacksonville Community Center,5 Municipal Dr. Jacksonville AR 0,polling_location
AR,2012-11-06,county,,33,Jacksonville Community Center,5 Municipal Dr. Jacksonville AR 0,polling_location
AR,2012-11-06,county,,135,Pilgrim Rest Baptist Church,3801 Springer Blvd. Little Rock AR 0,polling_location
AR,2012-11-06,county,,Valley,Hope Lutheran Church,14000 Eden Isle Pike Heber Springs AR 72543,polling_location
AR,2012-11-06,county,,Garner City,Garner City Hall,107 S Main Garner AR 0,polling_location
AR,2012-11-06,county,,Garner Township,Garner City Hall,107 S Main Garner AR 0,polling_location
AR,2012-11-06,county,,Marion South,Shady Grove Baptist Church,103 West Highway 172 Monticello AR 71655,polling_location
