state,election_date,jurisdiction,county_name,precinct_name,name,address,polling_location_type
AR,2018-11-06,county,,030-1,Franklin Community Building,37 N MAIN STF Franklin AR 72536,polling_location
AR,2018-11-06,county,,013-2,Overcup Fire Department Mtg Rm.- Washington East,2738 Hwy 9 Morrilton AR 72110,polling_location
AR,2018-11-06,county,,013.4,Overcup Fire Department Mtg Rm.- Washington East,2738 Hwy 9 Morrilton AR 72110,polling_location
AR,2018-11-06,county,,1-J.1,V C 007 First Baptist Church,1400 Grand Fort Smith AR 72901,polling_location
AR,2018-11-06,county,,1-K.1,V C 007 First Baptist Church,1400 Grand Fort Smith AR 72901,polling_location
AR,2018-11-06,county,,9-1I.1,V C 022 Sacred Heart of Mary Church,1301 Frank St Barling AR 72923,polling_location
AR,2018-11-06,county,,9-1K.1,V C 022 Sacred Heart of Mary Church,1301 Frank St Barling AR 72923,polling_location
AR,2018-11-06,county,,9-L.1,V C 022 Sacred Heart of Mary Church,1301 Frank St Barling AR 72923,polling_location
AR,2018-11-06,county,,9-J.1,V C 022 Sacred Heart of Mary Church,1301 Frank St Barling AR 72923,polling_location
AR,2018-11-06,county,,9-J.2,V C 022 Sacred Heart of Mary Church,1301 Frank St Barling AR 72923,polling_location
AR,2018-11-06,county,,9-1K.2,V C 022 Sacred Heart of Mary Church,1301 Frank St Barling AR 72923,polling_location
AR,2018-11-06,county,,9-1I.2,V C 022 Sacred Heart of Mary Church,1301 Frank St Barling AR 72923,polling_location
AR,2018-11-06,county,,03-1,Rector Community Center,740 East 9th Street Rector AR 72461,polling_location
AR,2018-11-06,county,,03-2,Rector Community Center,740 East 9th Street Rector AR 72461,polling_location
AR,2018-11-06,county,,04-1,Rector Community Center,740 East 9th Street Rector AR 72461,polling_location
AR,2018-11-06,county,,04-2,Rector Community Center,740 East 9th Street Rector AR 72461,polling_location
