state,jurisdiction_type,county_name,municipality,precinct_id,name,address
ME,county,Piscataquis,ABBOT ,1-1,Abbot Town Hall ,133 Main Road 
ME,county,York,ACTON,1-1,Acton Town Hall ,35 H Road 
ME,county,Washington,ADDISON,1-1,Addison Town Hall ,334 Water Street 
ME,county,Oxford,ALBANY TWP ,1-1,Albany Twp. Town House,1581 Hunts Corner Road
ME,county,Kennebec,ALBION,1-1,Besse Building ,22 Main Street 
ME,county,Washington,ALEXANDER,1-1,Alexander Municipal Building ,50 Cooper Road 
ME,county,York,ALFRED,1-1,Conant Chapel ,8 Kennebunk Road 
ME,county,York,ALFRED,1-2,Conant Chapel ,8 Kennebunk Road 
ME,county,Aroostook,ALLAGASH,1-1,Allagash Community Center,1063 Allagash Road
ME,county,Lincoln,ALNA,1-1,Alna Fire Station,1579 Alna Road 
ME,county,Penobscot,ALTON,1-1,Alton Municipal Building ,3352 Bennoch Road 
ME,county,Hancock,AMHERST,1-1,Amherst Town Hall ,572 Airline Road 
ME,county,Aroostook,AMITY,1-1,Amity Town Office ,1143 US Route 1 
ME,county,Oxford,ANDOVER,1-1,Andover Town Hall ,24 Elm Street 
ME,county,Somerset,ANSON,1-1,Anson Town Hall ,5 Kennebec Street
ME,county,Knox,APPLETON,1-1,Appleton Town Hall ,2915 Sennebec Road 
ME,county,Sagadahoc,ARROWSIC,1-1,Arrowsic Town Hall ,340 Arrowsic Road 
ME,county,York,ARUNDEL,1-1,Arundel Fire Station ,468 Limerick Road 
ME,county,Aroostook,ASHLAND,1-1,Ashland Municipal Building,17 Bridgham Street 
ME,county,Somerset,ATHENS,1-1,Somerset Academy Building,26 Academy Street
ME,county,Piscataquis,ATKINSON ,1-1,Atkinson Town Hall ,102 No. Stagecoach Road 
ME,county,Androscoggin,AUBURN,1-1,Washburn School ,35 Lake Auburn Avenue 
ME,county,Androscoggin,AUBURN,2-1,Auburn Middle School ,38 Falcon Drive 
ME,county,Androscoggin,AUBURN,3-1,Fairview School ,397 Minot Avenue 
ME,county,Androscoggin,AUBURN,4-1,Auburn Hall ,60 Court Street 
ME,county,Androscoggin,AUBURN,5-1,Sherwood Heights School ,32 Sherwood Drive 
ME,county,Kennebec,AUGUSTA,1-1,Augusta Armory,179 Western Avenue
ME,county,Kennebec,AUGUSTA,2-1,Augusta City Center,16 Cony Street
ME,county,Kennebec,AUGUSTA,3-1,Augusta Civic Center,76 Community Drive
ME,county,Kennebec,AUGUSTA,4-1,Cony High School,60 Pierce Drive 
ME,county,Hancock,AURORA,1-1,Aurora Town Hall ,Old Route 9
ME,county,Franklin,AVON,1-1,Avon Municipal Building ,1116 Rangeley Road 
ME,county,Washington,BAILEYVILLE,1-1,F. Doug Jones Memorial Municipal Building ,63 Broadway Street 
ME,county,Cumberland,BALDWIN,1-1,Municipal Building,534 Pequawket Trail 
ME,county,Aroostook,BANCROFT ,1-1,Weston Town Office ,5 Church Lane 
ME,county,Penobscot,BANGOR,1-1,Cross Insurance Center Arena,515 Main Street
ME,county,Hancock,BAR HARBOR,1-1,Municipal Building Auditorium ,93 Cottage Street 
ME,county,Washington,BARING PLT,1-1,Baring Baptist Church ,47 Front Street 
ME,county,Sagadahoc,BATH,1-1,Bath Middle School ,6 Old Brunswick Road 
ME,county,Sagadahoc,BATH,2-1,Bath Middle School ,6 Old Brunswick Road 
ME,county,Sagadahoc,BATH,3-1,Bath Middle School ,6 Old Brunswick Road 
ME,county,Sagadahoc,BATH,4-1,Bath Middle School ,6 Old Brunswick Road 
ME,county,Sagadahoc,BATH,5-1,Bath Middle School ,6 Old Brunswick Road 
ME,county,Sagadahoc,BATH,6-1,Bath Middle School ,6 Old Brunswick Road 
ME,county,Sagadahoc,BATH,7-1,Bath Middle School ,6 Old Brunswick Road 
ME,county,Washington,BEALS ,1-1,Beals Town Office ,11 Big Pond Road 
ME,county,Piscataquis,BEAVER COVE,1-1,Beaver Cove Town Office,795 Lily Bay Road
ME,county,Washington,BEDDINGTON,1-1,Beddington Community Building ,1978 State Highway 193 
ME,county,Waldo,BELFAST,1-1,Belfast Boathouse ,34 Commercial Street 
ME,county,Waldo,BELFAST,2-1,Belfast Boathouse ,34 Commercial Street 
ME,county,Waldo,BELFAST,3-1,Belfast Boathouse ,34 Commercial Street 
ME,county,Waldo,BELFAST,4-1,Belfast Boathouse ,34 Commercial Street 
ME,county,Waldo,BELFAST,5-1,United Methodist Church ,23 Mill Lane 
ME,county,Kennebec,BELGRADE,1-1,Town Office,990 Augusta Road
ME,county,Waldo,BELMONT,1-1,Belmont Community Building ,613 Back Belmont Road 
ME,county,Kennebec,BENTON,1-1,Benton Town Office ,1279 Clinton Avenue 
ME,county,York,BERWICK,1-1,Berwick Town Hall ,11 Sullivan Square 
ME,county,Oxford,BETHEL,1-1,Crescent Park School Gymnasium,19 Crescent Lane 
ME,county,York,BIDDEFORD,1-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue
ME,county,York,BIDDEFORD,2-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue
ME,county,York,BIDDEFORD,3-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue
ME,county,York,BIDDEFORD,4-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue
ME,county,York,BIDDEFORD,5-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue
ME,county,York,BIDDEFORD,6-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue
ME,county,York,BIDDEFORD,7-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue
ME,county,Somerset,BINGHAM,1-1,Quimby Middle School Gymnasium ,263 Main Street 
ME,county,Aroostook,BLAINE,1-1,Blaine Town Office ,52 Military Road 
ME,county,Hancock,BLUE HILL,1-1,Blue Hill Town Hall ,18 Union Street 
ME,county,Lincoln,BOOTHBAY ,1-1,Boothbay Town Office ,1011 Wiscasset Road 
ME,county,Lincoln,BOOTHBAY HARBOR,1-1,Boothbay Harbor Municipal Building,11 Howard Street 
ME,county,Sagadahoc,BOWDOIN ,1-1,Bowdoin Central School ,1460 Main Street 
ME,county,Sagadahoc,BOWDOINHAM,1-1,Bowdoinham Town Hall ,13 School Street 
ME,county,Piscataquis,BOWERBANK ,1-1,Bowerbank Fire Station,650 Bowerbank Road
ME,county,Penobscot,BRADFORD,1-1,Bradford Town Office ,345 East Road
ME,county,Penobscot,BRADLEY,1-1,Bradley Municipal Building ,165B Main Street 
ME,county,Lincoln,BREMEN,1-1,Bremen Town Center ,208 Waldoboro Road 
ME,county,Penobscot,BREWER,1-1,Brewer Auditorium ,318 Wilson Street 
ME,county,Aroostook,BRIDGEWATER,1-1,Bridgewater Town Office ,11 Bootfoot Road 
ME,county,Cumberland,BRIDGTON,1-1,Bridgton Town Hall ,26 North High Street 
ME,county,Somerset,BRIGHTON PLT ,1-1,Brighton Town Office,Stagecoach Road
ME,county,Lincoln,BRISTOL,1-1,Bristol Town Hall,1268 Bristol Road
ME,county,Hancock,BROOKLIN,1-1,Brooklin Town Office ,23 Bay Road 
ME,county,Waldo,BROOKS,1-1,Brooks Fire House,19 Purple Heart Highway
ME,county,Hancock,BROOKSVILLE,1-1,Brooksville Municipal Building,1 Townhouse Road
ME,county,Oxford,BROWNFIELD ,1-1,Brownfield Municipal Building ,82 Main Street 
ME,county,Piscataquis,BROWNVILLE,1-1,Brownville Elementary School ,774 Main Road 
ME,county,Cumberland,BRUNSWICK,1-1,Brunswick Junior High School,65 Columbia Avenue 
ME,county,Cumberland,BRUNSWICK,1-2,Brunswick Junior High School,65 Columbia Avenue 
ME,county,Cumberland,BRUNSWICK,2-1,Brunswick Junior High School,65 Columbia Avenue 
ME,county,Cumberland,BRUNSWICK,2-2,Brunswick Junior High School,65 Columbia Avenue 
ME,county,Cumberland,BRUNSWICK,3-1,Brunswick Junior High School,65 Columbia Avenue 
ME,county,Cumberland,BRUNSWICK,3-2,Brunswick Junior High School,65 Columbia Avenue 
ME,county,Cumberland,BRUNSWICK,4-1,Brunswick Junior High School,65 Columbia Avenue 
ME,county,Cumberland,BRUNSWICK,4-2,Brunswick Junior High School,65 Columbia Avenue 
ME,county,Cumberland,BRUNSWICK,5-1,Brunswick Junior High School,65 Columbia Avenue 
ME,county,Cumberland,BRUNSWICK,5-2,Brunswick Junior High School,65 Columbia Avenue 
ME,county,Cumberland,BRUNSWICK,6-1,Brunswick Junior High School,65 Columbia Avenue 
ME,county,Cumberland,BRUNSWICK,6-2,Brunswick Junior High School,65 Columbia Avenue 
ME,county,Cumberland,BRUNSWICK,7-1,Brunswick Junior High School,65 Columbia Avenue 
ME,county,Cumberland,BRUNSWICK,7-2,Brunswick Junior High School,65 Columbia Avenue 
