state,election_date,jurisdiction_type,jurisdiction,precinct_name,precinct_id,name,address,polling_place_type
CT,2012-11-06,town,Andover,Andover Town Hall,1-0,Andover Town Hall,"17 School Road, Andover, CT 06232",polling_place
CT,2012-11-06,town,Ansonia,Ansonia Middle School,4-0,Ansonia Middle School,"Howard Avenue, Ansonia, CT 06401",polling_place
CT,2012-11-06,town,Ansonia,First Congregational Church 01,2-1,First Congregational Church 01,"44 South Cliff Street, Ansonia, CT 06401",polling_place
CT,2012-11-06,town,Ansonia,Fountain Hose,5-0,Fountain Hose,"191 Howard Avenue, Ansonia, CT 06401",polling_place
CT,2012-11-06,town,Ansonia,Holy Rosary Church 01,3-1,Holy Rosary Church 01,"3 Father Salemi Drive, Ansonia, CT 06401",polling_place
CT,2012-11-06,town,Ansonia,Mead School,7-0,Mead School,"75 Ford Street, Ansonia, CT 06401",polling_place
CT,2012-11-06,town,Ansonia,Prendergast School,6-0,Prendergast School,"59 Finney Street, Ansonia, CT 06401",polling_place
CT,2012-11-06,town,Ansonia,Saint Anthonys Church,1-0,Saint Anthonys Church,"199 North Main Street, Ansonia, CT 06401",polling_place
CT,2012-11-06,town,Ashford,Knowlton Town Hall,1-0,Knowlton Town Hall,"25 Pompey Hollow Road, Ashford, CT 06278",polling_place
CT,2012-11-06,town,Avon,Avon High School - Gymnasium,1-0,Avon High School - Gymnasium,"510 West Avon Road, Avon, CT 06001",polling_place
CT,2012-11-06,town,Avon,Firehouse Company #1,2-0,Firehouse Company #1,"25 Darling Drive, Avon, CT 06001",polling_place
CT,2012-11-06,town,Avon,Roaring Brook School,4-0,Roaring Brook School,"30 Old Wheeler Lane, Avon, CT 06001",polling_place
CT,2012-11-06,town,Barkhamsted,Barkhamsted Elementary School,1-0,Barkhamsted Elementary School,"65 Ripley Hill Road, Barkhamsted, Ct, CT 06063",polling_place
CT,2012-11-06,town,Beacon Falls,Laurel Ledge School Gym,1-0,Laurel Ledge School Gym,"30 Highland Avenue, Beacon Falls, CT 06403",polling_place
CT,2012-11-06,town,Berlin,American Legion,2-0,American Legion,"154 Porters Pass, Kensington, CT 06037",polling_place
CT,2012-11-06,town,Berlin,Griswold School,5-0,Griswold School,"133 Heather Lane, Kensington, CT 06037",polling_place
CT,2012-11-06,town,Berlin,Hubbard School,3-0,Hubbard School,"135 Grove Street, East Berlin, CT 06023",polling_place
CT,2012-11-06,town,Berlin,Senior Center,4-0,Senior Center,"31 Colonial Drive, Kensington, CT 06037",polling_place
CT,2012-11-06,town,Berlin,Willard School,1-0,Willard School,"1088 Norton Road, Berlin, CT 06037",polling_place
CT,2012-11-06,town,Bethany,Town Hall,1-0,Town Hall,"40 Peck Road, Bethany, CT 06524",polling_place
CT,2012-11-06,town,Bethel,Bethel Municipal Center 1,1-0,Bethel Municipal Center 1,"1 School Street, Bethel, CT 06801",polling_place
CT,2012-11-06,town,Bethel,Bethel Municipal Center 4,4-0,Bethel Municipal Center 4,"1 School Street, Bethel, CT 06801",polling_place
CT,2012-11-06,town,Bethel,Frank A. Berry School - 3,3-0,Frank A. Berry School - 3,"200 Whittlesey Drive, Bethel, CT 06801",polling_place
CT,2012-11-06,town,Bethel,Frank A. Berry School - 5,5-0,Frank A. Berry School - 5,"200 Whittlesey Drive, Bethel, CT 06801",polling_place
CT,2012-11-06,town,Bethel,Stony Hill Fire House -2,2-0,Stony Hill Fire House -2,"59 Stony Hill Road, Bethel, CT 06801",polling_place
CT,2012-11-06,town,Bethlehem,Bethlehem Town Office Building,1-0,Bethlehem Town Office Building,"36 Main Street South, Bethlehem, CT 06751",polling_place
CT,2012-11-06,town,Bloomfield,Bloomfield High School,2-0,Bloomfield High School,"5 Huckleberry Lane, Bloomfield, CT 06002",polling_place
CT,2012-11-06,town,Bloomfield,Carmen Arace Middle School,3-0,Carmen Arace Middle School,"390 Park Avenue, Bloomfield, CT 06002",polling_place
CT,2012-11-06,town,Bloomfield,J.P. Vincent School,1-0,J.P. Vincent School,"11 Turkey Hill Road, Bloomfield, CT 06002",polling_place
CT,2012-11-06,town,Bloomfield,Laurel Elementary School,5-0,Laurel Elementary School,"1 Filley Street, Bloomfield, CT 06002",polling_place
CT,2012-11-06,town,Bloomfield,Laurel School,6-0,Laurel School,"1 Filley Street, Bloomfield, CT 06002",polling_place
CT,2012-11-06,town,Bloomfield,Metacomet Elementary School,4-0,Metacomet Elementary School,"185 School Street, Bloomfield, CT 06002",polling_place
CT,2012-11-06,town,Bolton,Town Hall,1-0,Town Hall,"222 Bolton Center Road, Bolton, CT 06043",polling_place
CT,2012-11-06,town,Bozrah,Fields Memorial School,1-0,Fields Memorial School,"8 Bozrah Street Ext, Bozrah, CT 06334",polling_place
CT,2012-11-06,town,Branford,Branford Hills School,4-0,Branford Hills School,"80 Burban Drive, Branford, CT 06405",polling_place
CT,2012-11-06,town,Branford,Community House,1-0,Community House,"46 Church Street, Branford, CT 06405",polling_place
