FIPS,Election Date,Site Type,Polling Location Name,Polling Location Address,Precinct Name
42,2014-11-04,polling_location,52/10 PARK PLAZA CONDOMINIUMS,3900 FORD RD PHILADELPHIA PA ,PHILA WD 52 DIV 10
42,2014-11-04,polling_location,55/05 ROOSEVELT RECREATION CENTER,HELLERMAN & WALKER STS PHILADELPHIA PA ,PHILA WD 55 DIV 05
42,2014-11-04,polling_location,SALLADASBURG METHODIST CHURCH,310 MAIN ST SALLADASBURG PA 17740,SALLADASBURG BORO
42,2014-11-04,polling_location,BLAWNOX MANOR RECREATION RM,701 CENTER AVE BLAWNOX PA ,BLAWNOX 00 01
42,2014-11-04,polling_location,SHENANGO TOWNSHIP BUILDING,3439 HUBBARD-MIDDLESEX RD WEST MIDDLESEX PA 16159,SHENANGO WEST
42,2014-11-04,polling_location,INDEPENDENCE SQUARE,799 LEXINGTON DR ALIQUIPPA PA 15001,HOPEWELL TWP 7
42,2014-11-04,polling_location,BENJAMIN FRANKLIN SCHOOL GYM,5400 FLORIDA AVE BETHEL PARK PA 15102,BETHEL PARK 01 02
42,2014-11-04,polling_location,OHIOVILLE VOL FIRE DEPT,108 SALEM CHURCH RD MIDLAND PA 15059,OHIOVILLE BORO 1
42,2014-11-04,polling_location,MCANULTY SCHOOL,5151 MCANULTY RD BALDWIN BR PA 15236,BALDWIN BR 00 08
42,2014-11-04,polling_location,52/28 BRITH SHOLOM HOUSE,3939 CONSHOHOCKEN AVE PHILADELPHIA PA 19131,PHILA WD 52 DIV 28
42,2014-11-04,polling_location,LANCASTER COUNTRY DAY SCH 1,725 HAMILTON RD LANCASTER PA 17603,MANHEIM TWP 7-1 41st LEG
42,2014-11-04,polling_location,LANCASTER COUNTRY DAY SCH 1,725 HAMILTON RD LANCASTER PA 17603,MANHEIM TWP 7-2  96th LEG
42,2014-11-04,polling_location,CENTER OF BELLEVUE,2 N SPRAGUE ST PITTSBURGH PA 15202,BELLEVUE 02 02
42,2014-11-04,polling_location,"EXTON STATION, CLUBHOUSE",200 S PULLMAN DR WEST CHESTER PA 19380,W WHITELAND 2
42,2014-11-04,polling_location,NORTH CHARLEROI VOL FIRE DEPT- LOCK #4,ISABELLA & ORANGE AVENUSE NORTH CHARLEROI PA 15022,NORTH CHARLEROI-2ND
42,2014-11-04,polling_location,BRADDOCK HILLS SR CENTER,2794 COLUMBIA AVE BRADDOCK HL PA ,BRADDOCK HL 00 02
42,2014-11-04,polling_location,66/25 OUR LADY OF CALVARY SCHOOL,11024 KNIGHTS RD PHILADELPHIA PA ,PHILA WD 66 DIV 25
42,2014-11-04,polling_location,CROSS WAY BIBLE FELLOWSHIP CHURCH,2 S CEDAR LN UPPER DARBY PA 19082,UPPER DARBY TOWNSHIP 4TH DIST 9TH PREC
42,2014-11-04,polling_location,GOODWILL MANOR GYM,601 MCMILLEN ST BRIDGEVILLE PA ,BRIDGEVILLE 00 03
42,2014-11-04,polling_location,ASSOCIATED BUILDERS/CONTRACTORS,895 N EAGLE VALLEY RD MILESBURG PA 16853,38-Boggs Twp. East
42,2014-11-04,polling_location,NORTH SALEM UNITED METHODIST CHURCH,352 QUINTER RD HADLEY PA 16130,SALEM TWP
42,2014-11-04,polling_location,52/02 RIVER PARK HOUSE APTS,3600 CONSHOHOCKEN AVE PHILADELPHIA PA ,PHILA WD 52 DIV 02
42,2014-11-04,polling_location,MUSSER SCHOOL,CEDAR AVE SHARON PA 16146,SHARON 4-2
42,2014-11-04,polling_location,UKRAINIAN AMERICAN CITIZENS CLUB,302 MANSFIELD BLVD CARNEGIE PA 15106,CARNEGIE 02 02
42,2014-11-04,polling_location,BLOSSOM HILL MENNONITE CHURCH,333 DELP RD LANCASTER PA 17601,MANHEIM TWP 17
42,2014-11-04,polling_location,23/02 SANKOFA ACADEMY CHARTER SCHOOL,4290 PENN ST PHILADELPHIA PA 191,PHILA WD 23 DIV 02
42,2014-11-04,polling_location,MUNICIPAL BLDG UPPER LEVEL,10 COMMUNITY PARK DR BALDWIN TP PA ,BALDWIN TP 00 02
42,2014-11-04,polling_location,49/20 COMMUNITY COLL OF PHILA NW,1300 W GODFREY AVE PHILADELPHIA PA ,PHILA WD 49 DIV 20
42,2014-11-04,polling_location,SOUTH HILS ASSEMBLY LRG LOBBY,2725 BETHEL CHURCH RD BETHEL PARK PA ,BETHEL PARK 05 03
42,2014-11-04,polling_location,N. FRANKLIN VOL FIRE DEPT SOCIAL BLDG - SYLVAN DR,565 SYLVAN DR WASHINGTON PA 15301,NORTH FRANKLIN-3RD
42,2014-11-04,polling_location,N. FRANKLIN VOL FIRE DEPT SOCIAL BLDG - SYLVAN DR,565 SYLVAN DR WASHINGTON PA 15301,NORTH FRANKLIN-1ST
42,2014-11-04,polling_location,BOOKER T. WASHINGTON COMMUNITY CENTER,1720 HOLLAND ST ERIE PA 16503,ERIE SECOND WARD 8TH DISTRICT
42,2014-11-04,polling_location,FIRST BETHEL UNITED METHODIST CHURCH FOUNDERS HALL,5901 LIBRARY RD BETHEL PARK PA 15102,BETHEL PARK 06 03
42,2014-11-04,polling_location,WEST BUFFALO TOWNSHIP BUILDING,577 JOHNSTOWN RD MIFFLINBURG PA 17844,WEST BUFFALO
42,2014-11-04,polling_location,51/16 HARRINGTON SCHOOL,53RD ST & BALTIMORE AVE PHILADELPHIA PA ,PHILA WD 51 DIV 16
42,2014-11-04,polling_location,PARK FOREST VILLAGE UMC,1833 PARK FOREST AVE STATE COLLEGE PA 16803,66-Patton Twp. South-1
42,2014-11-04,polling_location,ST. FRANCIS XAVIER PARISH CENTER,8880 W MAIN RD MCKEAN PA 16426,MCKEAN TOWNSHIP EAST DISTRICT
42,2014-11-04,polling_location,BETHEL PARK COMMUNITY CENTER,5151 PARK AVE BETHEL PARK PA 15102,BETHEL PARK 01 01
42,2014-11-04,polling_location,49/04 COOK MIDDLE SCHOOL,OLD YORK RD & LOUDEN ST PHILADELPHIA PA ,PHILA WD 49 DIV 04
42,2014-11-04,polling_location,LIVERPOOL TOWNSHIP MUNICIPAL BUILDING (14),1121 RIDGE RD LIVERPOOL PA ,LIVERPOOL TWP
42,2014-11-04,polling_location,PRIVATE RESIDENCE GARAGE,3209 WILLET AVE BRENTWOOD PA ,BRENTWOOD 00 04
42,2014-11-04,polling_location,SANKERTOWN MUNICIPAL BUILDING,305 PENNSYLVANIA AVE CRESSON PA ,SANKERTOWN(B)
42,2014-11-04,polling_location,ST JOHNS PARISH HALL,793 JACKSON AVE SUSQUEHANNA PA 18847,"SUSQUEHANNA BOROUGH, 2ND WARD"
42,2014-11-04,polling_location,LELAND PARK COM HOUSE,374 KNOEDLER RD BALDWIN BR PA ,BALDWIN BR 00 11
42,2014-11-04,polling_location,S.N.P.J. CLUB,1 LATIMER AVE STRABANE PA 15363,NORTH STRABANE-3RD
42,2014-11-04,polling_location,PORTAGE TOWN HALL,986 COSTELLO RD AUSTIN PA 16720,PORTAGE TOWNSHIP
42,2014-11-04,polling_location,50/03  F S EDMONDS SCHOOL,SEDGEWICK & THOURON STS PHILADELPHIA PA ,PHILA WD 50 DIV 03
42,2014-11-04,polling_location,51/19 LONGSTRETH SCHOOL,58TH & WILLOWS STS PHILADELPHIA PA ,PHILA WD 51 DIV 19
42,2014-11-04,polling_location,CHRIST ALLIANCE CHURCH,1881 BRODHEAD RD ALIQUIPPA PA 15001,HOPEWELL TWP 9
42,2014-11-04,polling_location,"MERIDAN HALL, LODGE 411",RTE 551 ENON VALLEY PA 16120,LITTLE BEAVER TOWNSHIP 1P
42,2014-11-04,polling_location,GREENSTONE UNITED METHODIST CHURCH GYM,939 CALIFORNIA AVE AVALON PA ,AVALON 03 03
42,2014-11-04,polling_location,ST THOMAS CHURCH IN THE FIELD,4106 SAINT THOMAS DR RICHLAND PA ,RICHLAND 00 04
42,2014-11-04,polling_location,BROUGHAL MIDDLE SCHOOL,114 W MORTON ST BETHLEHEM PA 18015,BETHLEHEM 1ST WARD - SOUTHERN
42,2014-11-04,polling_location,BROUGHAL MIDDLE SCHOOL,114 W MORTON ST BETHLEHEM PA 18015,BETHLEHEM 2ND WARD
42,2014-11-04,polling_location,BELLEVUE BORO FIRE HALL,537 BAYNE AVE BELLEVUE PA 15202,BELLEVUE 03 01
42,2014-11-04,polling_location,52/25 CHURCH OFFICE,5478 ARLINGTON ST PHILADELPHIA PA ,PHILA WD 52 DIV 25
42,2014-11-04,polling_location,MOORE ELEMENTARY SCHOOL GYM,3809 DALEWOOD ST PITTSBURGH PA 15227,BRENTWOOD 00 01
42,2014-11-04,polling_location,BETHEL PARK COM CTR 1ST FL,5151 PARK AVE BETHEL PARK PA ,BETHEL PARK 04 03
42,2014-11-04,polling_location,HARMAR TWP MUNI BLDG 1ST FLOOR,701 FREEPORT RD HARMAR PA ,HARMAR 00 01
42,2014-11-04,polling_location,WM PENN SCHOOL LIBRARY,110 WOODLET LN BETHEL PARK PA ,BETHEL PARK 09 02
42,2014-11-04,polling_location,MCNICHOLS PLAZA ELEMENTARY SCHOOL,1111 S IRVING AVE SCRANTON PA 18505,SCRANTON W-20 P-1
42,2014-11-04,polling_location,AMBRIDGE HIGH SCHOOL FIELD HOUSE.,909 DUSS AVE AMBRIDGE PA 15003,AMBRIDGE BORO 5
42,2014-11-04,polling_location,EPIPHANY CHURCH,1012 CALIFORNIA AVE AVALON PA 15202,AVALON 02 02
42,2014-11-04,polling_location,FAITH BAPTIST CHURCH,143 LIBERTY ST BLANCHARD PA 16826,60-Liberty Twp.
42,2014-11-04,polling_location,EVERGREEN CHRISTIAN CHURCH,23 SZEMPLE LN NEW ALBANY PA 18833,ALBANY TWP
42,2014-11-04,polling_location,CONCORD LUTH CH ED BLD LWR LVL,3109 BROWNSVILLE RD BRENTWOOD PA ,BRENTWOOD 00 02
42,2014-11-04,polling_location,MT. ZION LUTHERAN CHURCH BLDG,10038 STONE CREEK RIDGE RD HUNTINGDON PA 16652,HENDERSON TOWNSHIP
42,2014-11-04,polling_location,MYRTLE SCHOOL GYM,3724 MYRTLE AVE CASL SHANNON PA ,CASL SHANNON 00 01
42,2014-11-04,polling_location,49/22 BARRETT RECREATION CENTER,8TH & DUNCANNON STS PHILADELPHIA PA ,PHILA WD 49 DIV 22
42,2014-11-04,polling_location,52/13 SETTLEMENT MUSIC SCHOOL,4910 WYNNEFIELD AVE PHILADELPHIA PA ,PHILA WD 52 DIV 13
42,2014-11-04,polling_location,TOWN HALL AT MILLPORT,93 ELEVEN MILE RD SHINGLEHOUSE PA 16748,SOUTH SHARON VOTING DISTRICT
42,2014-11-04,polling_location,NORTHMINSTER CHURCH,45 N FREEMONT AVE BELLEVUE PA 15202,BELLEVUE 01 02
42,2014-11-04,polling_location,PETERS CREEK UNITED PRESBYTERIAN CHURCH,250 BROOKWOOD RD VENETIA PA 15367,PETERS-B-1
42,2014-11-04,polling_location,HESHBON UNITED METHODIST CHURCH,2898 HESHBON RD WILLIAMSPORT PA 17701,LOYALSOCK TWP  3RD
42,2014-11-04,polling_location,BRENTWOOD LIBRARY LWR LVL,3501 BROWSVILLE RD BRENTWOOD PA ,BRENTWOOD 00 10
42,2014-11-04,polling_location,SECOND BAPTIST CHURCH,1140 SPEARMAN AVE FARRELL PA 16121,FARRELL 1-1
42,2014-11-04,polling_location,ST SYLVESTER SCHOOL,32 W WILLOCK RD BRENTWOOD PA ,BRENTWOOD 00 07
42,2014-11-04,polling_location,STEPPING STONES,848 SCIENCE PARK RD STATE COLLEGE PA 16801,48-Ferg. Twp. North-2         WARD-2
42,2014-11-04,polling_location,LOCUST GROVE CHURCH,1421 CLAPBOARD RUN RD JOHNSTOWN PA 15904,CONEMAUGH(T)CENTER
42,2014-11-04,polling_location,TRINITY UNITED CHURCH FELLOWSHIP HALL,300 E YORK ST BIGLERVILLE PA 17307,BIGLERVILLE
42,2014-11-04,polling_location,GEORGE WASHINGTON SCHOOL GYM,515 CLIFTON RD BETHEL PARK PA 15102,BETHEL PARK 03 01
42,2014-11-04,polling_location,CLYMER/BOROUGH BUILDING,115 6TH ST CLYMER PA 15728,CLYMER
42,2014-11-04,polling_location,BEN AVON BORO FIRE STATION 1ST FL,7219 CHURCH AVE BEN AVON PA ,BEN AVON 00 02
42,2014-11-04,polling_location,50/14 REFORMATION LUTH CHURCH,1215 E VERNON RD PHILADELPHIA PA 19150,PHILA WD 50 DIV 14
42,2014-11-04,polling_location,1300 - HEATH - HEATH TWP MUN BLDG,2801 PINE RUN RD SIGEL PA 15860,HEATH TWP - 1300
42,2014-11-04,polling_location,52/27 BEEBER MIDDLE SCHOOL,59TH & MALVERN STS PHILADELPHIA PA ,PHILA WD 52 DIV 27
42,2014-11-04,polling_location,52/08 PARK TOWER APTS,4001 CONSHOHOCKEN AVE PHILADELPHIA PA ,PHILA WD 52 DIV 08
42,2014-11-04,polling_location,SEWARD BOROUGH BUILDING,233 INDIANA ST SEWARD PA 15954,SEWARD
42,2014-11-04,polling_location,MCANULTY SCHOOL,5151 MCANULTY RD BALDWIN BR PA 15236,BALDWIN BR 00 17
42,2014-11-04,polling_location,LYONS BORO HALL,KEMP ST LYON STATION PA 19536,LYONS BORO
42,2014-11-04,polling_location,BRADDOCK BORO BLDG COUNCIL CHAMBERS,415 6TH ST BRADDOCK PA ,BRADDOCK 02 00
42,2014-11-04,polling_location,HOPE LUTH. CHURCH S.S. CLASS ROOM,601 N FRONT ST READING PA 19601,READING - 15TH WARD 1ST PRECINCT
42,2014-11-04,polling_location,SANDY LAKE TOWNSHIP BUILDING,3086 SANDY LAKE-GROVE CITY RD SANDY LAKE PA 16145,SANDY LAKE TWP
42,2014-11-04,polling_location,GEORGE WASHINGTON SCHOOL GYM,515 CLIFTON RD BETHEL PARK PA 15102,BETHEL PARK 09 01
42,2014-11-04,polling_location,CARNEGIE ELEMENTARY SCHOOL,301 FRANKLIN AVE CARNEGIE PA 15106,CARNEGIE 02 03
42,2014-11-04,polling_location,51/18 HARRINGTON SCHOOL,53RD ST & BALTIMORE AVE PHILADELPHIA PA ,PHILA WD 51 DIV 18
42,2014-11-04,polling_location,BALDWIN BORO BLDG,3344 CHURCHVIEW AVE EXT AVE BALDWIN BR PA ,BALDWIN BR 00 03
42,2014-11-04,polling_location,50/01 EMANUEL RECREATION CENTER,PICKERING & GOWEN AVE PHILADELPHIA PA ,PHILA WD 50 DIV 01
42,2014-11-04,polling_location,ELROY ELEMENTARY SCHOOL  ROOM 109,3129 ELROY AVE BRENTWOOD PA ,BRENTWOOD 00 05
42,2014-11-04,polling_location,RACCOON PRESBYTERIAN CHURCH- CANDOR,CANDOR MIDWAY RD BULGER PA 15019,ROBINSON-2ND
42,2014-11-04,polling_location,PENN TOWNSHIP VOLUNTEER FIRE COMPANY,1750 PINE RD NEWVILLE PA 17241,PENN
