DeSoto,Cherry Valley,CHERRY VALLEY PARK,7505 CHERRY VALLEY,SOUTHAVEN,38671
DeSoto,Civic Center,CIVIC CENTER,4560 VENTURE DR.,SOUTHAVEN,38671
DeSoto,Cumberland,FIRST CUMBERLAND PRESBYTERIAN CHURCH,8061 GERMANTOWN RD,OLIVE BRANCH,38654
DeSoto,Desoto Central,DESOTO CENTRAL HIGH SCHOOL,2911 CENTRAL PKWY,SOUTHAVEN,38671
DeSoto,Elmore,SOUTHAVEN FIRE STATION #3,6050 ELMORE RD,SOUTHAVEN,38671
DeSoto,Eudora,EUDORA BAPTIST CHURCH,9670 HIGHWAY 304 W,HERNANDO,38632
DeSoto,Fairhaven,OB SEVEN DAY ADVENDIST CHURCH,10469 COLLEGE RD,OLIVE BRANCH,38654
DeSoto,Greenbrook North,GRACEWOOD BAPTIST CHURCH,8551 GETWELL RD N,SOUTHAVEN,38672
DeSoto,Greenbrook South,SOUTHAVEN INTERMEDIATE SCHOOL,175 RASCO ROAD,SOUTHAVEN,38671
DeSoto,Hacks Cross Road,ST. LUKE CHURCH OF GOD IN CHRIST,7491 HACKS CROSS RD,OLIVE BRANCH,38654
DeSoto,Hernando Central,NATIONAL GUARD ARMORY,3436 MCCRACKEN RD,HERNANDO,38632
DeSoto,Hernando East,LONGVIEW POINT BAPTIST CHURCH,1100 MCINGVALE RD,HERNANDO,38362
DeSoto,Hernando West,HERNANDO GALE CENTER,2601 ELM ST,HERNANDO,38632
DeSoto,Horn Lake Central,HORN LAKE MIDDLE SCHOOL GYM,6125 HURT RD,HORN LAKE,38637
DeSoto,Horn Lake East,M.R. DYE PUBLIC LIBRARY,2885 GOODMAN RD,HORN LAKE,38637
DeSoto,Horn Lake Intermediate,HORN LAKE INTERMEDIATE SCHOOL,6585 HORN LAKE RD,HORN LAKE,38637
DeSoto,Horn Lake North,GOODMAN RD BAPTIST CHURCH,4368 GOODMAN RD W,HORN LAKE,38637
DeSoto,Horn Lake West,HORN LAKE CITY HALL,3101 GOODMAN RD W,HORN LAKE,38637
DeSoto,Ingrams Mill,ACI FIRE STATION #2,4735 RED BANKS RD S,BYHALIA,38611
DeSoto,Lake Cormorant,LAKE CORMORANT MIDDLE SCHOOL,3203 WILSON MILL ROAD,LAKE CORMORANT,38641
DeSoto,Lewisburg,LEWISBURG HIGH SCHOOL,1703 CRAFT RD,OLIVE BRANCH,38654
DeSoto,Lewisburg East,NEW PROSPECT BAPTIST CHURCH,310 HWY 305,OLIVE BRANCH,38654
DeSoto,Love,LOVE COMMUNITY BAPTIST CHURCH,7496 HIGHWAY 51 S,HERNANDO,38632
DeSoto,Miller,MINERAL WELLS UNITED METHODIST CHURCH,5400 CENTERHILL RD,OLIVE BRANCH,38654
DeSoto,Mineral Wells,O B FIRE STATION # 2,7745 CRAFT RD,OLIVE BRANCH,38654
DeSoto,Nesbit East,NESBIT WATER ASSOC.,901 PLEASANT HILL RD,NESBIT,38651
DeSoto,Nesbit West,HERNANDO FIRE STATION #2,957 HIGHWAY 51 N,NESBIT,38651
DeSoto,Olive Branch North,INTERMEDIATE SCHOOL,8631 PIGEON ROOST,OLIVE BRANCH,38654
DeSoto,Olive Branch South,MIDDLE SCHOOL GYM,6530 BLOCKER ST,OLIVE BRANCH,38654
DeSoto,Olive Branch West,OB SENIOR CITIZEN'S BUILDING,8800 COLLEGE ST.,OLIVE BRANCH,38654
DeSoto,Pleasant Hill North,PLEASANT HILL BAPTIST CHURCH,4046 PLEASANT HILL RD,OLIVE BRANCH,38654
DeSoto,Southaven North,SOUTHAVEN CITY HALL,8710 NORTHWEST DR.,SOUTHAVEN,38671
DeSoto,Southaven South,SOUTHAVEN MIDDLE SCHOOL,899 RASCO RD W,SOUTHAVEN,38671
DeSoto,Southaven West,JUSTICE CRT/TAX COLL BLDG,8525 HIGHWAY 51 N,SOUTHAVEN,38671
DeSoto,Summershill,SUMMERSHILL FIRE STATION,7600 PLEASANT HILL RD,OLIVE BRANCH,38654
DeSoto,Walls,WALLS LIBRARY,7181 DELTA BLUFF PKWY,WALLS,38680
Forrest,Bar Mac,BAR MAC,BAR-MAC RECREATION CENTER 610 HERRINGTON RD,PETAL,39465
Forrest,Brooklyn,BROOKLYN,SOUTH FORREST COMMUNITY CENTER 2169 CARNES RD,HATTIESBURG,39401
Forrest,Burger Center,BURGER CENTER,N. R. BURGER CENTER 305 E 6TH ST,HATTIESBURG,39401
