Lamar,Pine Grove,630 PURVIS OLOH RD,,PURVIS,
Lamar,Purvis,112 SHELBY SPEIGHTS DR,,PURVIS,
Lamar,Richburg,324 SANDY RUN ROAD,,HATTIESBURG,
Lamar,Rocky Branch,2646 ROCKY BRANCH RD,,SUMRALL,
Lamar,South Purvis,HWY 11 S & MLK DR,,PURVIS,
Lamar,Sumrall,95 CENTER AVE-SUMRALL,,,
Lamar,Wesley Manor,WESLEY MANOR RET CT-246 WESTOVER,,,
Lamar,Yawn,254 YAWN SCHOOL RD,,LUMBERTON,
Lauderdale,101 - One,TRINITY PRESBYTERIAN CHURCH,4223 POPLAR SPRINGS DR,MERIDIAN,39305
Lauderdale,105 - Five,TRINITY LUTHERAN CHURCH,4805 HIGHWAY 39 NORTH,MERIDIAN,39301
Lauderdale,126 - Andrews Chapel,MASONIC LODGE,9198 HILLVIEW DR,MERIDIAN,39305
Lauderdale,127 - Bailey,BAILEY PRESBYTERIAN CHURCH,8665 HWY 493,BAILEY,39320
Lauderdale,146 - New Lauderdale,NE COMMUNITY CLUB,628 BRIARWOOD RD,MERIDIAN,39305
Lauderdale,153 - Prospect,PROSPECT PRESBYTERIAN CHURCH,7876 POPLAR SPRINGS DR,MERIDIAN,39305
Lauderdale,175 - West Dalewood,LAUDERDALE FIRE STATION,9275 LAUDERDALE TOOMSUBA RD,LAUDERDALE,39335
Lauderdale,202 - Two,POPLAR SPG DR UN METH CH,3937 POPLAR SPRINGS DR,MERIDIAN,39305
Lauderdale,204 - Four,CENTRAL FIRE STATION #1,2500 14TH STREET,MERIDIAN,39301
Lauderdale,206 - Six,VELMA YOUNG COMMUNITY CENTER,2400 16TH AVE,MERIDIAN,39301
Lauderdale,214 - Fourteen,COURT HOUSE,500 CONSTITUTION AVE,MERIDIAN,39301
Lauderdale,235 - Daleville,SAM DALE FIRE STATION,11037 HWY 39,DALEVILLE,39326
Lauderdale,237 - East Lauderdale,LAUDERDALE COMMUNITY CENTER,3744 COMMUNITY HOUSE,LAUDERDALE,39335
Lauderdale,238 - Marion,LAUDERDALE BAPTIST ASSOC. BUILDING,5521 CLINTON ST,MARION,39342
Lauderdale,240 - Kewanee,SPRINGHILL BAPTIST CHURCH,5395 WRIGHT SPUR RD,TOOMSUBA,39364
Lauderdale,254 - Russell,RUSSELL COMMUNITY CENTER,1722 MARION RUSSELL RD,MERIDIAN,39301
Lauderdale,262 - Toomsuba,TOOMSUBA FIRE STATION,51 WILL GARRETT RD,TOOMSUBA,39364
Lauderdale,282 - Center Ridge,CENTER RIDGE FIRE STATION,5146 YORK RD,LAUDERDALE,39335
Lauderdale,303 - Three,EL BETHEL MISSIONARY BAPT CHURCH,2300 STATE BOULEVARD,MERIDIAN,39305
Lauderdale,313 - Thirteen,NORTHCREST BAPTIST CHURCH,3412 NORTH HILLS STREET,MERIDIAN,39305
Lauderdale,329 - Center Hill,FELLOWSHIP BAPTIST CHURCH,9325 FELLOWHSHIP RD,MERIDIAN,39305
Lauderdale,331 - Collinsville,COLLINSVILLE VOLUNTEER FIRE DEPT,11710 NANCY DR,COLLINSVILLE,39325
Lauderdale,343 - Martin,PINE GROVE BAPTIST CHURCH,11874 PINE GROVE RD,COLLINSVILLE,39325
Lauderdale,361 - Suqualena,MACEDONIA BAPTIST CHURCH,11206 HWY 494,MERIDIAN,39305
Lauderdale,366 - West Lauderdale,PINE FOREST BAPTIST CHURCH,10031 WEST LAUDERDALE,COLLINSVILLE,39325
Lauderdale,407 - Seven,FRANK COCHRAN CENTER,1725 CAROUSEL DR,MERIDIAN,39307
Lauderdale,408 - Eight,MSU-MERIDIAN,1000 HWY 19 N,MERIDIAN,39307
Lauderdale,409 - Nine,CAROUSEL PLACE-COMMUNITY CTR,4610 VALLY ST,MERIDIAN,39307
Lauderdale,410 - Ten,MCCSA (OLD MT BARTON SCH),2900 ST PAUL ST,MERIDIAN,39301
Lauderdale,411 - Eleven,HAMASA TEMPLE SHRINE-BALLROOM,P O BOX 365,MERIDIAN,39302
Lauderdale,412 - Twelve,COUNCIL OF ORGANIZATIONS,814 45TH AVENUE,MERIDIAN,39307
