Lowndes,Brandon,BRANDON CENTRAL SCH OFF/CAFET,2630 MCARTHUR DR,COLUMBUS,39705
Lowndes,Caledonia,CALEDONIA COMMUNITY CENTER,754 MAIN STREET,CALEDONIA,39740
Lowndes,Coleman,COL HOUSING AUTH. BLDG,2201 8TH AV S,COLUMBUS,39701
Lowndes,Columbus High School,CHS SUSPENSION RM,215 HEMLOCK,COLUMBUS,39702
Lowndes,Crawford,CRAWFORD PARK & REC. BLDG,783 MARTIN LUTHER KING JR DR,CRAWFORD,39736
Lowndes,First Assembly,FIRST ASSEMBLY/ACTIVITIES BUILDING,2201 MILITARY RD,COLUMBUS,39701
Lowndes,Hunt,HUNT SCHOOL CAFETORIUM,920 20TH ST N,COLUMBUS,39701
Lowndes,Immanuel School,IMMANUEL CTR CHRISTIAN EDU,5405 MILITARY RD,STEENS,39766
Lowndes,National Guard Armory,NATIONAL GUARD ARMORY,111 FABRITEK DRIVE,COLUMBUS,39702
Lowndes,New Hope,NEW HOPE COMMUNITY CENTER,281 STADIUM RD,COLUMBUS,39702
Lowndes,Plum Grove,PLUM GROVE PARK & REC. BLDG.,54 MINNIE VAUGHN RD,COLUMBUS,39701
Lowndes,Propst Park Community Hut,PROPST PARK COMMUNITY HUT,2535 MAIN ST,COLUMBUS,39701
Lowndes,Rural Hill,RURAL HILL COMMUNITY CENTER,61 MILLER DR,COLUMBUS,39702
Lowndes,Sale,SALE SCHOOL CAFETORIUM,520 WARPATH RD,COLUMBUS,39702
Lowndes,Steens,STEENS COMMUNITY CENTER,118 STEENS VERNON RD,STEENS,39766
Lowndes,Townsend Park,TOWNSEND PARK RECREATION BLDG,826 15TH ST SO,COLUMBUS,39701
Lowndes,Trinity,TRINITY RETIREMENT HOME,300 AIRLINE RD,COLUMBUS,39702
Lowndes,Union Academy,UNION ACADEMY CAFETORIUM,1425 10TH AV N,COLUMBUS,39701
Lowndes,University,CARRIER LODGE,802 1ST ST S,COLUMBUS,39701
Lowndes,West Lowndes,WEST LOWNDES HIGH COMPUTER RM,664 S FRONTAGE RD,COLUMBUS,39701
Madison,Bear Creek,BEAR CREEK PCT-B,FELLOWSHIP BAPTIST CHURCH 2270 HIGHWAY 51,CANTON,39046
Madison,Bible Church,CANTON BIBLE CHURCH,CANTON BIBLE CHURCH 815 MARTIN LUTHER KING DR,CANTON,39046
Madison,Camden,CAMDEN COMMUNITY CENTER,CAMDEN COMMUNITY CENTER	122 PARKSIDE AVENUE,CAMDEN,39045
Madison,Cameron,BETHEL M.B. CHURCH,BETHEL M.B. CHURCH 951 OLD HIGHWAY 51,CANTON,39046
Madison,Canton Fire Station #4,CANTON FIRE STATION #4,CANTON FIRE STATION #4 188 WATFORD PARKWAY DRIVE,CANTON,39046
Madison,Canton Precinct 1,CATHOLIC PARISH CENTER,238 E CENTER ST,CANTON,39046
Madison,Canton Precinct 2,SOUTH LIBERTY BAPTIST CHURCH,SOUTH LIBERTY BAPTIST CHURCH 165 E DINKIN ST,CANTON,39046
Madison,Canton Precinct 3,NATIONAL GUARD ARMORY,,,
Madison,Canton Precinct 4,CANTON COMMUNITY CENTER,CANTON COMMUNITY CENTER 337 N UNION ST,CANTON,39046
Madison,Canton Precinct 5,ANDERSON LODGE,389 RICKS DR,CANTON,39046
Madison,Canton Precinct 7,ST. PAUL METHODIST CHURCH,,,
Madison,Cedar Grove Baptist,CEDAR GROVE BAPTIST,998 HIGHWAY 43 SOUTH,CANTON,39046
Madison,Colonial Heights,COLONIAL HEIGHTS BAPITS CHURCH,444 NORTHPARK DR,RIDGELAND,39157
Madison,Couparle,COUPARLE UNITED METHODIST CHURCH,COUPARLE UNITED METHODIST CHURCH 1901 ROCKY HILL RD,CAMDEN,39045
Madison,FBC Madison Campus,FIRST BAPTIST CHURCH OF JACKSON,P O BOX 973,CANTON,39046
Madison,Farmhaven,FARMHAVEN FIRE DEPT,3806 HWY 16 E,CANTON,39046
Madison,Fearns Chapel Freewill Baptist C,uFrEcAhRNS CHAPEL FREEWILL BAPTIST CHURCH,FEARNS CHAPEL FREEWILL BAPTIST CHURCH 615 POCAHONTAS ROAD,FLORA,39071
Madison,First Presbyterian Madison,FIRST PRESBYTERIAN CHURCH OF MADISON,FIRST PRESBYTERIAN CHURCH	7717 OLD CANTON RD,MADISON,39110
Madison,Gluckstadt,GLUCKSTADT PCT-A,ST JOSEPH CATHOLIC CHURCH 127 CHURCH RD,MADISON,39110
