county_name,precinct_name,name,address,polling_place_type,state,polling_place_id,notes,precinct_id
Apache,VERNON 82,VERNON PUBLIC LIRARY (COMMUNITY CENTER),"90 CR 3142 VERNON, AZ",polling_place,AZ,,,
Apache,WHEATFIELDS 84,TSAILE/WHEATFIELDS CHAPTER HOUSE,"RTE 12 & 64-8 MILES SOUTH ON RTE 12 TSAILE, AZ 86556",polling_place,AZ,,,
Apache,WIDE RUINS 86,WIDE RUINS SCHOOL MODULAR BUILDING #1317 AND #1318,"18 MILES NORTH OF I-40 ON HWY 191 WIDE RUINS, AZ 86502",polling_place,AZ,,,
Apache,WINDOW ROCK 88,NAVAJO NATION MUSEUM,"HWY 264 AND POSTAL LOOP RD WINDOW ROCK, AZ 86515",polling_place,AZ,,,
Cochise,VOTE CENTER 1,DOUGLAS VISITOR CENTER,"345 E 16TH ST DOUGLAS, AZ 85607",vote_center,AZ,,,
Cochise,VOTE CENTER 10,MOUNTAIN VISTA BAPTIST CHURCH,"5499 S MOSON RD SIERRA VISTA, AZ 85650",vote_center,AZ,,,
Cochise,VOTE CENTER 11,PALOMINAS FIRE DIST TRNG CTR,"9222 S KINGS RANCH RD HEREFORD, AZ 85615",vote_center,AZ,,,
Cochise,VOTE CENTER 12,BOWIE UNIFIED SCHOOL DISTRICT OFFICE,"315 W 5TH ST BOWIE, AZ 85605",vote_center,AZ,,,
Cochise,VOTE CENTER 13,SUNSITES COMMUNITY CENTER,"1216 TREASURE RD PEARCE, AZ 85625",vote_center,AZ,,,
Cochise,VOTE CENTER 14,VALLEY BIBLE CHURCH,"4188 DOUBLE ADOBE RD MCNEAL, AZ 85617",vote_center,AZ,,,
Cochise,VOTE CENTER 15,ELFRIDA FIRE STATION,"10293 N CENTRAL HWY ELFRIDA, AZ 85610",vote_center,AZ,,,
Cochise,VOTE CENTER 17,ST DAVID HIGH SCHOOL,"70 E PATTON ST ST. DAVID, AZ 85630",vote_center,AZ,,,
Cochise,VOTE CENTER 18,PEACE IN THE VALLEY LUTHERN CHURCH,"551 S J-SIX ROAD BENSON, AZ 85602",vote_center,AZ,,,
Cochise,VOTE CENTER 2,COCHISE COUNTY-BOARD MEETING ROOM,"1415 MELODY LANE, BLDG G BISBEE, AZ 85603",vote_center,AZ,,,
Cochise,VOTE CENTER 3,AMERICAN LEGION HALL,"225 E ALLEN ST TOMBSTONE, AZ 85638",vote_center,AZ,,,
Cochise,VOTE CENTER 4,WILLCOX COMMUNITY CENTER,"312 W STEWART WILLCOX, AZ 85643",vote_center,AZ,,,
Cochise,VOTE CENTER 5,BENSON SCHOOL DISTRICT BOARD RM,"360 S PATAGONIA ST BENSON, AZ 85602",vote_center,AZ,,,
Cochise,VOTE CENTER 6,HUACHUCA COMMUNITY CENTER,"201 YUMA ST HUACHUCA CITY, AZ 85616",vote_center,AZ,,,
Cochise,VOTE CENTER 7,ST ANDREWS CATHOLIC CHURCH,"KINO HALL 800 TAYLOR DR, NW SIERRA VISTA, AZ 85635",vote_center,AZ,,,
Cochise,VOTE CENTER 8A,SHILOH CHRISTIAN MINISTRIES,"1519 AVENIDA DEL SOL SIERRA VISTA, AZ 85635",vote_center,AZ,,,
Cochise,VOTE CENTER 8B,SHILOH CHRISTIAN MINISTRIES,"1519 AVENIDA DEL SOL SIERRA VISTA, AZ 85635",vote_center,AZ,,,
Cochise,VOTE CENTER 9A,SV UNITED METHODIST CHURCH,"3225 S ST ANDREWS DR SIERRA VISTA, AZ 85650",vote_center,AZ,,,
Cochise,VOTE CENTER 9B,SV UNITED METHODIST CHURCH,"3225 S ST ANDREWS DR SIERRA VISTA, AZ 85650",vote_center,AZ,,,
Coconino,01 - HARVEST BIBLE CHAPEL FLAGSTAFF,HARVEST BIBLE CHAPEL FLAGSTAFF,"520 N SWITZER CANYON RD, FLAGSTAFF, AZ 86001",polling_place,AZ,,,
Coconino,02 - SHEPHERD OF THE HILLS LUTHERAN CHURCH,SHEPHERD OF THE HILLS LUTHERAN CHURCH,"1601 N SAN FRANCISCO ST, FLAGSTAFF, AZ 86001",polling_place,AZ,,,
Coconino,03 - FEDERATED COMMUNITY CHURCH,FEDERATED COMMUNITY CHURCH,"400 W ASPEN AVE, REES HALL FLAGSTAFF, AZ 86001",polling_place,AZ,,,
Coconino,04 - EPISCOPAL CHURCH OF THE EPIPHANY,EPISCOPAL CHURCH OF THE EPIPHANY,"423 N BEAVER ST, PARISH HALL FLAGSTAFF, AZ 86001",polling_place,AZ,,,
Coconino,05 - SHEPHERD OF THE HILLS LUTHERAN CHURCH,SHEPHERD OF THE HILLS LUTHERAN CHURCH,"1601 N SAN FRANCISCO ST, FLAGSTAFF, AZ 86001",polling_place,AZ,,,
Coconino,"06 - DOUBLETREE BY HILTON, FLAGSTAFF","DOUBLETREE BY HILTON, FLAGSTAFF","1175 W ROUTE 66, FLAGSTAFF, AZ 86001",polling_place,AZ,,,
Coconino,07 - NORTHLAND CHRISTIAN ASSEMBLY CHURCH,NORTHLAND CHRISTIAN ASSEMBLY CHURCH,"1715 W UNIVERSITY AVE, MAIN SANCTUARY FLAGSTAFF, AZ 86001",polling_place,AZ,,,
Coconino,08 - BREATH OF LIFE CHURCH,BREATH OF LIFE CHURCH,"3500 N FOURTH ST, FLAGSTAFF, AZ 86004",polling_place,AZ,,,
Coconino,09 - COLLEGE AMERICA,COLLEGE AMERICA,"399 S MALPAIS LN, FLAGSTAFF, AZ 86001",polling_place,AZ,,,
Coconino,10 - NAU WALKUP SKYDOME - VOTE CENTER,NAU WALKUP SKYDOME,"1705 S SAN FRANCISCO ST, FLAGSTAFF, AZ 86011",vote_center,AZ,,,
Coconino,11 - NORTHERN AZ CHURCH OF CHRIST,NORTHERN AZ CHURCH OF CHRIST,"2203 N EAST ST, BACK MEETING ROOM FLAGSTAFF, AZ 86004",polling_place,AZ,,,
Coconino,12 - MURDOCH COMMUNITY CENTER,MURDOCH COMMUNITY CENTER,"203 E BRANNEN AVE, FLAGSTAFF, AZ 86001",polling_place,AZ,,,
Coconino,14 - NAU WALKUP SKYDOME - VOTE CENTER,NAU WALKUP SKYDOME,"1705 S SAN FRANCISCO ST, FLAGSTAFF, AZ 86011",vote_center,AZ,,,
Coconino,15 - COCONINO COUNTY HEALTH & COMMUNITY SERVICES,COCONINO COUNTY HEALTH & COMMUNITY SERVICES,"2625 N KING ST, FLAGSTAFF, AZ 86004",polling_place,AZ,,,
Coconino,16 - BREATH OF LIFE CHURCH,BREATH OF LIFE CHURCH,"3500 N FOURTH ST, FLAGSTAFF, AZ 86004",polling_place,AZ,,,
Coconino,17 - FAMILY RESOURCE CENTER,FAMILY RESOURCE CENTER,"4000 N CUMMINGS ST, FLAGSTAFF, AZ 86004",polling_place,AZ,,,
Coconino,18 - FLAGSTAFF MALL - VOTE CENTER,FLAGSTAFF MALL,"4650 N US HIGHWAY 89, FLAGSTAFF, AZ 86004",vote_center,AZ,,,
Coconino,19 - CHRIST'S CHURCH OF FLAGSTAFF,CHRIST'S CHURCH OF FLAGSTAFF,"3475 E SOLIERE AVE, FLAGSTAFF, AZ 86004",polling_place,AZ,,,
Coconino,21 - CHURCH OF THE RESURRECTION,CHURCH OF THE RESURRECTION,"740 W UNIVERSITY HEIGHTS DR S, FLAGSTAFF, AZ 86005",polling_place,AZ,,,
Coconino,22 - COVENANT CHURCH,COVENANT CHURCH,"3926 S WALAPAI DR, (USED TO BE BETHEL COMMUNITY CHURCH) FLAGSTAFF, AZ 86005",polling_place,AZ,,,
Coconino,23 - COCONINO COMMUNITY COLLEGE,COCONINO COMMUNITY COLLEGE,"2800 S LONETREE RD, BOARD ROOM FLAGSTAFF, AZ 86005",polling_place,AZ,,,
Coconino,24 - COUNTRY CLUB TERRACE APARTMENT HOMES,COUNTRY CLUB TERRACE APARTMENT HOMES,"5404 E CORTLAND BLVD, CLUBHOUSE FLAGSTAFF, AZ 86004",polling_place,AZ,,,
Coconino,25 - KNOLES ELEMENTARY SCHOOL,KNOLES ELEMENTARY SCHOOL,"4005 E BUTLER AVE, ACTIVITY ROOM FLAGSTAFF, AZ 86004",polling_place,AZ,,,
Coconino,"40 - DOUBLETREE BY HILTON, FLAGSTAFF","DOUBLETREE BY HILTON, FLAGSTAFF","1175 W ROUTE 66, FLAGSTAFF, AZ 86001",polling_place,AZ,,,
Coconino,41 - BLUE RIDGE COMMUNITY CHURCH,BLUE RIDGE COMMUNITY CHURCH,"856 COCONINO LOOP, TURN AT MILEPOST 300 ON HWY 87 HAPPY JACK, AZ 86024",polling_place,AZ,,,
Coconino,42 - BODAWAY-GAP CHAPTER HOUSE,"EAST OF TRADING POST, THE GAP","BODAWAY, AZ 86020",polling_place,AZ,,,
Coconino,43 - CAMERON SENIOR CENTER,CAMERON SENIOR CENTER,"CAMERON, AZ 86020",polling_place,AZ,,,
Coconino,47 - COPPERMINE CHAPTER HOUSE,COPPERMINE CHAPTER HOUSE,"COPPERMINE, AZ 86040",polling_place,AZ,,,
Coconino,48 - COALMINE CHAPTER HOUSE,COALMINE CHAPTER HOUSE,"15.5 MILES EAST OF TUBA CITY ON HWY 264, COALMINE, AZ 86045",polling_place,AZ,,,
Coconino,50 - CALVARY BIBLE CHURCH,CALVARY BIBLE CHURCH,"6555 TOWNSEND WINONA RD, FLAGSTAFF, AZ 86004",polling_place,AZ,,,
