state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address,polling_location_type
MN,2018-11-06,county,Lake Of The Woods,5,0005 - 1-A BAUDETTE UNORG,MAIL BALLOT PRECINCT 1A COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Lake Of The Woods,10,0010 - 1-B BAUDETTE CITY,CITY COUNCIL CHAMBERS 1PB,106 MAIN ST W,polling_place
MN,2018-11-06,county,Lake Of The Woods,15,0015 - 2-A GUDRID UNORG,MAIL BALLOT PRECINCT 2A COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Lake Of The Woods,20,0020 - 2-B BAUDETTE CITY,CITY COUNCIL CHAMBERS 2PB,106 MAIN ST W,polling_place
MN,2018-11-06,county,Lake Of The Woods,30,0030 - 3-A UNORG,MAIL BALLOT PRECINCT 3A COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Lake Of The Woods,31,0031 - 3-C S MCDOUGALD UNORG,MAIL BALLOT PRECINCT 3C COUNTY AUDITOR'S OFFICE,206 8TH AVE SE,mail_only
MN,2018-11-06,county,Lake Of The Woods,35,0035 - 3-D FOREST UNORG,MAIL BALLOT PRECINCT 3D COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Lake Of The Woods,40,0040 - 4-A WHEELER UNORG,MAIL BALLOT PRECINCT 4A COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Lake Of The Woods,44,0044 - 4-B WABANICA UNORG,MAIL BALLOT PRECINCT 4B COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Lake Of The Woods,45,0045 - 5-B ZIPPEL UNORG,MAIL BALLOT PRECINCT 5B COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Lake Of The Woods,46,0046 - 4-C N MCDOUGALD UNORG,MAIL BALLOT PRECINCT 4C COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Lake Of The Woods,50,0050 - 5-A UNORG,MAIL BALLOT PRECINCT 5A COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Lake Of The Woods,55,0055 - 3-B WILLIAMS CITY,MAIL BALLOT PRECINCT 3B COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Lake Of The Woods,65,0065 - 2-C UNORG,MAIL BALLOT PRECINCT 2C COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Lake Of The Woods,70,0070 - 5-C NW ANGLE,MAIL BALLOT PRECINCT 5C COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Lake Of The Woods,75,0075 - 5-D ROOSEVELT,MAIL BALLOT PRECINCT 5D COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Lake Of The Woods,80,0080 - 3-E BAUDETTE CITY,MAIL BALLOT PRECINCT 3E COUNTY AUDITOR'S OFFICE,206 8TH AVE SE STE 260,mail_only
MN,2018-11-06,county,Otter Tail,5,AASTAD TWP,AASTAD TWP (CHURCH SEC 21),19383 COUNTY HIGHWAY 110,polling_place
MN,2018-11-06,county,Otter Tail,10,AMOR TWP,AMOR TWP (TOWN HALL SEC 16),31204 AMOR TOWNSHIP DR,polling_place
MN,2018-11-06,county,Otter Tail,15,AURDAL TWP,AURDAL TWP (STAVANGER CHURCH SEC 4),27113 STAVANGER CHURCH RD,polling_place
MN,2018-11-06,county,Otter Tail,20,BATTLE LAKE,BATTLE LAKE CITY HALL,108 MAIN ST E,polling_place
MN,2018-11-06,county,Otter Tail,25,BLOWERS TWP,BLOWERS TWP (TOWN HALL SEC 5),45731 COUNTY HIGHWAY 19,polling_place
MN,2018-11-06,county,Otter Tail,30,BLUFFTON,BLUFFTON CITY (EVENT CENTER),202 CENTER ST,polling_place
MN,2018-11-06,county,Otter Tail,35,BLUFFTON TWP,BLUFFTON TWP (TOWN HALL SEC 21),60994 COUNTY HIGHWAY 76,polling_place
MN,2018-11-06,county,Otter Tail,40,BUSE TWP,BUSE TWP (TOWN HALL SEC 26),17764 COUNTY HIGHWAY 25,polling_place
MN,2018-11-06,county,Otter Tail,45,BUTLER TWP,BUTLER TWP (HOLY CROSS HALL SEC 16),54216 COUNTY HIGHWAY 148,polling_place
MN,2018-11-06,county,Otter Tail,50,CANDOR TWP,CANDOR TWP (TOWN HALL SEC 22),30664 CANDOR HALL RD,polling_place
MN,2018-11-06,county,Otter Tail,55,CARLISLE TWP,CARLISLE TWP (COMMUNITY HALL),27910 CARLISLE RD,polling_place
MN,2018-11-06,county,Otter Tail,60,CLITHERALL,CLITHERALL CITY HALL,102 OAK ST N,polling_place
MN,2018-11-06,county,Otter Tail,65,CLITHERALL TWP,CLITHERALL TWP (BATTLE LAKE CITY HALL),108 MAIN ST E,polling_place
MN,2018-11-06,county,Otter Tail,70,COMPTON TWP,COMPTON  TWP (TOWN HALL SEC 29),29521 COUNTY HIGHWAY 73,polling_place
MN,2018-11-06,county,Otter Tail,75,CORLISS TWP,CORLISS TWP (ST JOHNS CHURCH SEC 14),49658 COUNTY HIGHWAY 53,polling_place
MN,2018-11-06,county,Otter Tail,80,DALTON,DALTON CITY (COMMUNITY HALL),114 MAIN ST W,polling_place
MN,2018-11-06,county,Otter Tail,85,DANE PRAIRIE TWP,DANE PRAIRIE TWP (TOWN HALL SEC 8),23933 COUNTY HIGHWAY 120,polling_place
MN,2018-11-06,county,Otter Tail,90,DEAD LAKE TWP,DEAD LAKE TWP (TOWN HALL SEC 21),36928 370TH ST,polling_place
MN,2018-11-06,county,Otter Tail,95,DEER CREEK,DEER CREEK CITY (COMM CTR BLDG),106 MAIN AVE E,polling_place
MN,2018-11-06,county,Otter Tail,100,DEER CREEK TWP,DEER CREEK TWP (COMM CTR BLDG),106 MAIN AVE E,polling_place
MN,2018-11-06,county,Otter Tail,105,DENT,DENT COMMUNITY CENTER,201 BIRCH ST,polling_place
MN,2018-11-06,county,Otter Tail,110,DORA TWP,DORA TWP (VERGAS EVENT CENTER),140 LINDEN ST W,polling_place
MN,2018-11-06,county,Otter Tail,115,DUNN TWP,DUNN TWP (TOWN HALL SEC 28),47979 E LAKE LIZZIE RD,polling_place
MN,2018-11-06,county,Otter Tail,120,EAGLE LAKE TWP,EAGLE LAKE TWP (TOWN HALL SEC 15),13088 STATE HIGHWAY 78,polling_place
MN,2018-11-06,county,Otter Tail,125,EASTERN TWP,EASTERN TWP (TOWN HALL SEC 28),61461 115TH ST,polling_place
MN,2018-11-06,county,Otter Tail,130,EDNA TWP,EDNA TWP (DENT COMMUNITY CENTER),201 BIRCH ST,polling_place
MN,2018-11-06,county,Otter Tail,135,EFFINGTON TWP,EFFINGTON TWP (TOWN HALL SEC 23),12144 505TH AVE,polling_place
MN,2018-11-06,county,Otter Tail,140,ELIZABETH,ELIZABETH CITY (COMMUNITY CENTER),302 BROADWAY AVE W,polling_place
MN,2018-11-06,county,Otter Tail,145,ELIZABETH TWP,ELIZABETH TWP (COMMUNITY CENTER),302 BROADWAY AVE W,polling_place
MN,2018-11-06,county,Otter Tail,150,ELMO TWP,ELMO TWP (TOWN HALL SEC 8),53877 197TH ST,polling_place
