FIPS,Election Date,Site Type,Polling Location Name,Polling Location Address,Precinct Name
340,2016-11-08,polling_location,RUNNELLS SPECIALIZED HOSPITAL OF UC  ,40 WATCHUNG WAY   BERKELEY HTS NJ 07922,BERKELEY HTS-00-08
340,2016-11-08,polling_location,SCHOOL #11  ,147 MERSELIS AVE   CLIFTON NJ 07011,CLIFTON-03-07
340,2016-11-08,polling_location,TINTON FALLS EMS BUILDING  ,1 VOLUNTEER WAY   TINTON FALLS NJ 07724,TINTON FALLS-00-02
340,2016-11-08,polling_location,GLASSTOWN RESIDENCE  224 S SECOND ST,224 S SECOND ST   MILLVILLE NJ 08332,MILLVILLE-01-02
340,2016-11-08,polling_location,TINTON FALLS FIRE HOUSE MEETING ROOM  ,695 TINTON AVE   TINTON FALLS NJ 07724,TINTON FALLS-00-01
340,2016-11-08,polling_location,NOTTINGHAM FIRE COMPANY  ,200 MERCER ST   HAMILTON NJ 08690,HAMILTON-00-42
340,2016-11-08,polling_location,ALLENWOOD SCHOOL GYM  ,3301 ALLENWOOD LAKEWOOD RD   WALL NJ 08720,WALL-00-17
340,2016-11-08,polling_location,ALLENTOWN HIGH SCHOOL MAIN LOBBY  ,27 HIGH ST   ALLENTOWN NJ 08501,ALLENTOWN-00-01
340,2016-11-08,polling_location,MUNICIPAL BUILDING  ,150 KENNEDY RD   GREEN NJ 07879,GREEN-08-02
340,2016-11-08,polling_location,SOUTH WALL FIRE COMPANY BALLROOM  ,2605 ATLANTIC AVE   WALL NJ 08736,WALL-00-16
340,2016-11-08,polling_location,NUTSWAMP SCHOOL ALL PURPOSE ROOM  ,925 NUTSWAMP RD   MIDDLETOWN NJ 07748,MIDDLETOWN-00-39
340,2016-11-08,polling_location,MONMOUTH JUNCTION FIRE HOUSE  ,573 RIDGE RD   SOUTH BRUNSWICK NJ 08852,SOUTH BRUNSWICK-00-20
340,2016-11-08,polling_location,THE BROOKSIDE  ,93 MANALAPAN AVE   FREEHOLD BOROUGH NJ 07728,FREEHOLD BOROUGH-00-07
340,2016-11-08,polling_location,THE BROOKSIDE  ,93 MANALAPAN AVE   FREEHOLD BOROUGH NJ 07728,FREEHOLD BOROUGH-00-03
340,2016-11-08,polling_location,LENNA W. CONROW SCHOOL  ,335 LONG BRANCH AVE   LONG BRANCH NJ 07740,LONG BRANCH-00-15
340,2016-11-08,polling_location,WALL COMMUNITY FIRST AID  ,1417 LAKEWOOD RD   WALL NJ 08736,WALL-00-11
340,2016-11-08,polling_location,MOUNT OLIVE SENIOR CITIZEN'S BUILDING  MAIN  MEETING ROOM,204 FLANDERS DRAKESTOWN   MOUNT OLIVE TOWNSHIP NJ 07828,MOUNT OLIVE TOWNSHIP-00-16
340,2016-11-08,polling_location,AMERIGO A. ANASTASIA SCHOOL  ,92 SEVENTH AVE   LONG BRANCH NJ 07740,LONG BRANCH-00-14
340,2016-11-08,polling_location,OLD MILL  SCHOOL GYM  ,2709 OLD MILL ROAD   WALL NJ 08750,WALL-00-10
340,2016-11-08,polling_location,MONMOUTH JUNCTION FIRE HOUSE  ,573 RIDGE RD   SOUTH BRUNSWICK NJ 08852,SOUTH BRUNSWICK-00-19
340,2016-11-08,polling_location,SENIOR BUILDING  ,1 SIMON LAKE DR   ATLANTIC HIGHLANDS NJ 07716,ATLANTIC HIGHLANDS-00-04
340,2016-11-08,polling_location,FREEHOLD BOROUGH FIRE HOUSE RECREATION RM  ,49 W MAIN ST   FREEHOLD NJ 07728,FREEHOLD BOROUGH-00-01
340,2016-11-08,polling_location,WOOLWICH TWP MUNICIPAL BUILDING  ,120 VILLAGE GREEN DR   WOOLWICH NJ 08085,WOOLWICH-00-04
340,2016-11-08,polling_location,SCHOOL #14  ,99 ST ANDREWS BLVD   CLIFTON NJ 07012,CLIFTON-01-22
340,2016-11-08,polling_location,FIREMAN'S FIELDHOUSE  ,46 AVENUE C   ATLANTIC HIGHLANDS NJ 07716,ATLANTIC HIGHLANDS-00-03
340,2016-11-08,polling_location,LENNA W. CONROW SCHOOL  ,335 LONG BRANCH AVE   LONG BRANCH NJ 07740,LONG BRANCH-00-17
340,2016-11-08,polling_location,CRANBERRY LAKE FIREHOUSE  ,225 US HIGHWAY 206   BYRAM NJ 07821,BYRAM-04-01
340,2016-11-08,polling_location,OLIVER BYRON ENGINE COMPANY  ,46 ATLANTIC AVE   LONG BRANCH NJ 07740,LONG BRANCH-00-16
340,2016-11-08,polling_location,FIRE HEADQUARTERS FIRE BAY  ,407 FOURTH AVE   SEA GIRT NJ 08750,SEA GIRT-00-02
340,2016-11-08,polling_location,KENDALL PARK FIRST AID FIRE  ,95 HENDERSON RD   SOUTH BRUNSWICK NJ 08824,SOUTH BRUNSWICK-00-18
340,2016-11-08,polling_location,OPEN BIBLE BAPTIST CHURCH  ,1073 NEW BROOKLYN RD   WILLIAMSTOWN NJ 08094,MONROE-02-13
340,2016-11-08,polling_location,LONG BRANCH SENIOR CENTER  ,85 SECOND AVE   LONG BRANCH NJ 07740,LONG BRANCH-00-11
340,2016-11-08,polling_location,FRANKLIN SCHOOL  ,1500 LINDY TER   UNION NJ 07083,UNION-00-14
340,2016-11-08,polling_location,NEPTUNE FIRE HOUSE  ,30 BRANCHPORT AVE   LONG BRANCH NJ 07740,LONG BRANCH-00-10
340,2016-11-08,polling_location,CHITTICK SCHOOL  ,5 FLAGLER ST   EAST BRUNSWICK NJ 08816,EAST BRUNSWICK-00-26
340,2016-11-08,polling_location,VFW POST NO 8867  ,373 ADAMSTON RD   BRICK NJ 08723,BRICK-00-55
340,2016-11-08,polling_location,FIREMAN'S FIELDHOUSE  ,46 AVENUE C   ATLANTIC HIGHLANDS NJ 07716,ATLANTIC HIGHLANDS-00-02
340,2016-11-08,polling_location,SAND SHORE ROAD SCHOOL  FRONT GYM,498 SAND SHORE RD   MOUNT OLIVE TOWNSHIP NJ 07828,MOUNT OLIVE TOWNSHIP-00-20
340,2016-11-08,polling_location,ANDOVER TWP MUNICIPAL BUILDING  ,134 NEWTON SPARTA RD   ANDOVER TOWNSHIP NJ 07860,ANDOVER TOWNSHIP-02-06
