state,election_date,jurisdiction_type,county_name,precinct_name,name,address
MI,2012-11-06,county,,PRECINCT 1,ST JOHN'S LUTHERAN,109 E KEMPF CT CAPAC MI 48014
MI,2012-11-06,county,,PRECINCT 9,ST PATRICKS CHU HALL,9086 HUTCHINS RD WHITE LAKE MI 48386
MI,2012-11-06,county,,PRECINCT 1,WASHINGTON SCHL,1821 MCKINLEY STREET BAY CITY MI 48708
MI,2012-11-06,county,,PRECINCT 16,EASTLAND MIDDLE ,18700 FRANK ROSEVILLE MI 48066
MI,2012-11-06,county,,PRECINCT 1,SCHOOL ADMIN BLDG,910 N WALNUT ST BAY CITY MI 48706
MI,2012-11-06,county,,PRECINCT 1,OMNI CENTER,10574 MAIN STREET RAPID RIVER MI 49878
MI,2012-11-06,county,,PRECINCT 1,WISNER TOWNSHIP HALL,7894 M-25 AKRON MI 48701
MI,2012-11-06,county,,PRECINCT 5,COMPELLED CHURCH,8970 JACKMAN RD TEMPERANCE MI 48182
MI,2012-11-06,county,,PRECINCT 1,RAY TOWNSHIP HALL,64255 WOLCOTT RD RAY MI 48096
MI,2012-11-06,county,,PRECINCT 13,MT. CARMEL CHURCH,8330 LEWIS AVENUE TEMPERANCE MI 48182
MI,2012-11-06,county,,PRECINCT 9,ROCHESTER HIGH SCHL,180 S LIVERNOIS ROCHESTER HILLS MI 48309
MI,2012-11-06,county,,PRECINCT 2,ST. JOSEPH'S CHURCH,409 S BRIDGE ST BELDING MI 48809
MI,2012-11-06,county,,PRECINCT 5,SCHOENHALS SCHOOL,27107 HALES MADISON HEIGHTS MI 48071
MI,2012-11-06,county,,PRECINCT 1,BENZONIA TWP,1020 MICHIGAN AVE BENZONIA MI 49616
MI,2012-11-06,county,,PRECINCT 1,NAHMA TOWN HALL,WELLS STREET RAPID RIVER MI 49878
MI,2012-11-06,county,,PRECINCT 1,THOMPSON TOWN HALL,PINE ST MANISTIQUE MI 49854
MI,2012-11-06,county,,PRECINCT 1,TOWNSHIP OFFICE,7171 S CENTER HWY TRAVERSE CITY MI 49684
MI,2012-11-06,county,,PRECINCT 5,FRONTLINE CHURCH,4411 PLAINFIELD AVENUE NE GRAND RAPIDS MI 49525
MI,2012-11-06,county,,PRECINCT 1,EDWARD PLOUCHA BLD,141 PARKWAY MONTROSE MI 48457
MI,2012-11-06,county,,PRECINCT 7,PIERCE SCHOOL,1829 PIERCE BIRMINGHAM MI 48009
MI,2012-11-06,county,,PRECINCT 2,MENOMINEE HIGH SCHL,2101 18TH ST (NORTH GYM DOORS) MENOMINEE MI 49858
MI,2012-11-06,county,,PRECINCT 26,INTERNATIONAL ACAD,1020 E SQUARE LAKE RD BLOOMFIELD HILLS MI 48304
