state,election_date,jurisdiction_type,county_name,municipality,precinct_id,precinct_name,name,address
IA,2014-11-04,county,Appanoose,EXLINE,CW,Caldwell,EXLINE COMMUNITY BUILDING,"MAIN ST, EXLINE, IA 52555"
IA,2014-11-04,county,Appanoose,PLANO,JO,Johns Independence,CHRISTIAN CHURCH FELLOWSHIP HALL,"2ND ST, PLANO, IA 52581"
IA,2014-11-04,county,Appanoose,CINCINNATI,PS,Pleasant Franklin,CINCINNATI CITY HALL,"W PLEASANT ST, CINCINNATI, IA 52549"
IA,2014-11-04,county,Appanoose,MORAVIA,TY,Taylor Chariton,MORAVIA CITY HALL,"116 S WILLIAM, MORAVIA, IA 52571"
IA,2014-11-04,county,Appanoose,UNIONVILLE,UD,Udell,UNIONVILLE AMERICAN LEGION,"MAIN ST, UNIONVILLE, IA 52594"
IA,2014-11-04,county,Appanoose,MORAVIA,UN,Union,TOWNSHIP HALL,"313TH AVE, MORAVIA, IA 52571"
IA,2014-11-04,county,Appanoose,CENTERVILLE,VM,Vermillion Douglas Sharon,COURTHOUSE-1ST FLOOR,"201 N 12TH, CENTERVILLE, IA 52544"
IA,2014-11-04,county,Appanoose,MYSTIC,WA,Walnut,MYSTIC CITY HALL,"MAIN ST, MYSTIC, IA 52574"
IA,2014-11-04,county,Appanoose,MOULTON,WS,Washington Wells,MOULTON CITY HALL,"MAIN ST, MOULTON, IA 52572"
IA,2014-11-04,county,Audubon,AUDUBON,01,Precinct 1,AHS ACTIVITY CENTER,"800 3RD AVE, AUDUBON, IA 50025"
IA,2014-11-04,county,Audubon,EXIRA,02,Precinct 2,EXIRA REC CENTER,"106 N JEFFERSON, EXIRA, IA 50076"
IA,2014-11-04,county,Benton,VAN HORNE,BG,Precinct Bg,VAN HORNE COMMUNITY CENTER,"508 1ST AVE, VAN HORNE, IA 52346"
IA,2014-11-04,county,Benton,SHELLSBURG,BN,Precinct Bn,SHELLSBURG LEGION HALL,"114 MAIN STREET SW, SHELLSBURG, IA 52332"
IA,2014-11-04,county,Benton,BELLE PLAINE,BP1,Precinct Bp1,BELLE PLAINE COMMUNITY CENTER RSVP RM,"1309 5TH AVE, BELLE PLAINE, IA 52208"
IA,2014-11-04,county,Benton,BELLE PLAINE,BP2,Precinct Bp2,BELLE PLAINE COMMUNITY CENTER DINING ROOM,"1309 5TH AVENUE, BELLE PLAINE, IA 52208"
IA,2014-11-04,county,Benton,BELLE PLAINE,BP3,Precinct Bp3,BELLE PLAINE FIRE STATION,"504 13TH STREET, BELLE PLAINE, IA 52208"
IA,2014-11-04,county,Benton,MT. AUBURN,BR,Precinct Br,CEDAR-MT AUBURN HALL,"203 2ND STREET, MT. AUBURN, IA 52313"
IA,2014-11-04,county,Benton,VINTON,ED,Precinct Ed,BENTON COUNTY COURTHOUSE,"111 E 4TH STREET, VINTON, IA 52349"
IA,2014-11-04,county,Benton,NEWHALL,EL,Precinct El,NEWHALL CITY HALL,"220 1ST STREET, NEWHALL, IA 52315"
IA,2014-11-04,county,Benton,NORWAY,FL,Precinct Fl,ST. MICHAEL'S PARISH CENTER,"512 EVERGREEN STREET, NORWAY, IA 52318"
IA,2014-11-04,county,Benton,ATKINS,FR,Precinct Fr,ATKINS CITY HALL/LIBRARY,"480 3RD AVE, ATKINS, IA 52206"
IA,2014-11-04,county,Benton,GARRISON,HO,Precinct Ho,GARRISON FIRE STATION,"204 N SYCAMORE STREET, GARRISON, IA 52229"
IA,2014-11-04,county,Benton,BLAIRSTOWN,IA,Precinct Ia,BLAIRSTOWN COMMUNITY CENTER,"305 LOCUST STREET NW, BLAIRSTOWN, IA 52209"
IA,2014-11-04,county,Benton,KEYSTONE,KA,Precinct Ka,KEYSTONE CITY HALL,"208 1ST STREET, KEYSTONE, IA 52249"
IA,2014-11-04,county,Benton,URBANA,PO,Precinct Po,URBANA COMMUNITY CENTER,"906 W MAIN STREET, URBANA, IA 52345"
IA,2014-11-04,county,Benton,VINTON,VT1,Precinct Vt1,VT1-VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON, IA 52349"
IA,2014-11-04,county,Benton,VINTON,VT2,Precinct Vt2,VT2-VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON, IA 52349"
IA,2014-11-04,county,Benton,VINTON,VT3,Precinct Vt3,VT3-VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON, IA 52349"
IA,2014-11-04,county,Benton,VINTON,VT4,Precinct Vt4,VT4-VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON, IA 52349"
IA,2014-11-04,county,Benton,WALFORD,WA,Precinct Wa,WALFORD COMMUNITY CENTER,"120 5TH STREET N, WALFORD, IA 52351"
IA,2014-11-04,county,Black Hawk,DUNKERTON,ALOO,Barclay/Lester/Dunkerton,ALOO DUNKERTON PUBLIC LIBRARY,"203 E TOWER ST, DUNKERTON, IA 50626"
IA,2014-11-04,county,Black Hawk,WATERLOO,B000,Bennington,B000  ST JOHN'S LUTHERAN CHURCH,"4110 E MT VERNON RD, WATERLOO, IA 50703"
IA,2014-11-04,county,Black Hawk,LA PORTE CITY,C000,Big Creek/La Porte City,C000  UNION HIGH SCHOOL,"200 ADAMS ST, LA PORTE CITY, IA 50651"
IA,2014-11-04,county,Black Hawk,ELK RUN HEIGHTS,DK00,Elk Run Heights/Raymond,DK00 ELK RUN HEIGHTS CITY HALL,"5042 LAFAYETTE RD, ELK RUN HEIGHTS, IA 50707"
IA,2014-11-04,county,Black Hawk,HUDSON,DM00,Black Hawk/Hudson/Lincoln,DM00 HUDSON COMMUNITY CENTER,"525 JEFFERSON ST, HUDSON, IA 50643"
IA,2014-11-04,county,Black Hawk,WASHBURN,EO00,Cedar/Orange,EO00  ST PAUL PRESBYTERIAN CHURCH,"410 FIRST ST, WASHBURN, IA 50706"
IA,2014-11-04,county,Black Hawk,WATERLOO,G000,Eagle,G000  ST MARY OF MOUNT CARMEL CHURCH,"1435 E EAGLE RD, WATERLOO, IA 50701"
IA,2014-11-04,county,Black Hawk,EVANSDALE,J100,Evansdale Ward 1,J100 EVANSDALE CITY HALL,"123 N EVANS RD, EVANSDALE, IA 50707"
IA,2014-11-04,county,Black Hawk,EVANSDALE,J200,Evansdale Ward 2,J200 COMMUNITY RESPONSE CENTER,"911 EVANS RD, EVANSDALE, IA 50707"
IA,2014-11-04,county,Black Hawk,EVANSDALE,J300,Evansdale Ward 3,J300 PRINCE OF PEACE CHURCH,"4031 LAFAYETTE RD, EVANSDALE, IA 50707"
IA,2014-11-04,county,Black Hawk,EVANSDALE,J400,Evansdale Ward 4,J400 COMMUNITY RESPONSE CENTER,"911 EVANS RD, EVANSDALE, IA 50707"
IA,2014-11-04,county,Black Hawk,WATERLOO,N000,Mt Vernon,N000 COUNTRY VIEW,"1410 W DUNKERTON RD, WATERLOO, IA 50703"
IA,2014-11-04,county,Black Hawk,DEWAR,PH01,Poyner P1/ East Wloo Twp,PH01 DEWAR COMMUNITY CENTER,"1731 N RAYMOND RD, DEWAR, IA 50623"
IA,2014-11-04,county,Black Hawk,GILBERTVILLE,PK02,Poyner P2/Gilbertville/Fox/Jesup,PK02 AMERICAN LEGION,"1110 6TH ST (SOUTH ENTR), GILBERTVILLE, IA 50634"
IA,2014-11-04,county,Black Hawk,LA PORTE CITY,Q000,Spring Creek,Q000 UNION HIGH SCHOOL,"200 ADAMS ST, LA PORTE CITY, IA 50651"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,R000,Union,R000 AMERICAN MARTYR RETREAT HOUSE,"2209 S UNION RD, CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,S000,Washington/Janesville,S000 ANTIQUE ACRES,"7610 WAVERLY RD, CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,WATERLOO,W101,Precinct W101,W101 ASCENSION LUTHERAN CHURCH,"2211 MAYNARD AV, WATERLOO, IA 50701"
IA,2014-11-04,county,Black Hawk,WATERLOO,W102,Precinct W102,W102 YMCA,"669 S HACKETT RD, WATERLOO, IA 50701"
IA,2014-11-04,county,Black Hawk,WATERLOO,W103,Precinct W103,W103 FIRST BAPTIST CHURCH,"1200 W 4TH ST, WATERLOO, IA 50701"
IA,2014-11-04,county,Black Hawk,WATERLOO,W104,Precinct W104,W104 IRV WARREN MEM. GOLF PRO SHOP,"1000 FLETCHER AV, WATERLOO, IA 50701"
IA,2014-11-04,county,Black Hawk,WATERLOO,W105,Precinct W105,W105 WALNUT RIDGE BAPTIST CHURCH,"1307 W RIDGEWAY AVE (DOOR A), WATERLOO, IA 50701"
IA,2014-11-04,county,Black Hawk,WATERLOO,W106,Precinct W106,W106 CEDAR VALLEY COMMUNITY CHURCH,"3520 ANSBOROUGH AVE (EAST ENTRANCE), WATERLOO, IA 50701"
IA,2014-11-04,county,Black Hawk,WATERLOO,W201,Precinct W201,W201 FRIENDSHIP VILLAGE,"600 PARK LN (CHAPEL ENTRANCE)
, WATERLOO, IA 50702"
IA,2014-11-04,county,Black Hawk,WATERLOO,W202,Precinct W202,W202 GRACE BAPTIST CHURCH,"3820 HAMMOND AV, WATERLOO, IA 50702"
IA,2014-11-04,county,Black Hawk,WATERLOO,W203,Precinct W203,W203 HAMMOND AVE BRETHREN CHURCH,"1604 HAMMOND AV, WATERLOO, IA 50702"
IA,2014-11-04,county,Black Hawk,WATERLOO,W204,Precinct W204,W204 LANDMARK COMMONS,"1400 MAXHELEN BLVD, WATERLOO, IA 50701"
IA,2014-11-04,county,Black Hawk,WATERLOO,W205,Precinct W205,"W205 HAWKEYE CENTER, HCC CAMPUS","1501 E ORANGE RD, WATERLOO, IA 50701"
IA,2014-11-04,county,Black Hawk,WATERLOO,W206,Precinct W206,W206 TRINITY EPISCOPAL PARISH,"4535 KIMBALL AV, WATERLOO, IA 50701"
IA,2014-11-04,county,Black Hawk,WATERLOO,W301,Precinct W301,W301 RIVER'S EDGE CHRISTIAN CHURCH,"1247 CEDAR BEND ST, WATERLOO, IA 50703"
IA,2014-11-04,county,Black Hawk,WATERLOO,W302,Precinct W302,"W302 BARRETT FORUM, (ALLEN COLLEGE)","1990 HEATH ST, WATERLOO, IA 50703"
IA,2014-11-04,county,Black Hawk,WATERLOO,W303,Precinct W303,W303 ST PAUL UNITED METHODIST CHURCH,"207 W LOUISE ST, WATERLOO, IA 50703"
IA,2014-11-04,county,Black Hawk,WATERLOO,W304,Precinct W304,W304 NEW HOPE MISSIONARY BAPTIST CHURCH,"710 BROADWAY ST, WATERLOO, IA 50703"
IA,2014-11-04,county,Black Hawk,WATERLOO,W305,Precinct W305,W305 OUR SAVIORS LUTHERAN CHURCH,"420 HARWOOD AV, WATERLOO, IA 50701"
IA,2014-11-04,county,Black Hawk,WATERLOO,W306,Precinct W306,W306 WATERLOO CENTER FOR THE ARTS,"225 COMMERCIAL ST, WATERLOO, IA 50701"
IA,2014-11-04,county,Black Hawk,WATERLOO,W401,Precinct W401,W401 GOOD SHEPHERD LUTHERAN CHURCH,"517 E DONALD ST, WATERLOO, IA 50703"
IA,2014-11-04,county,Black Hawk,WATERLOO,W402,Precinct W402,W402 HARVEST VINEYARD CHURCH,"715 E 4TH ST, WATERLOO, IA 50703"
IA,2014-11-04,county,Black Hawk,WATERLOO,W403,Precinct W403,W403 WATERLOO CITY HALL,"715 MULBERRY ST, WATERLOO, IA 50703"
IA,2014-11-04,county,Black Hawk,WATERLOO,W404,Precinct W404,W404 LINDEN METHODIST CHURCH,"301 BUTLER AV, WATERLOO, IA 50703"
IA,2014-11-04,county,Black Hawk,WATERLOO,W405,Precinct W405,W405 PAYNE MEMORIAL AME CHURCH,"1044 MOBILE ST, WATERLOO, IA 50703"
IA,2014-11-04,county,Black Hawk,WATERLOO,W406,Precinct W406,W406 PINECREST ROOM 220,"1407 INDEPENDENCE AVE, WATERLOO, IA 50703"
IA,2014-11-04,county,Black Hawk,WATERLOO,W501,Precinct W501,W501 TRINITY AMERICAN LUTHERAN CHURCH,"605 W 4TH ST, WATERLOO, IA 50702"
IA,2014-11-04,county,Black Hawk,WATERLOO,W502,Precinct W502,W502 ST ANSGAR LUTHERAN CHURCH,"1122 W 11TH ST, WATERLOO, IA 50702"
IA,2014-11-04,county,Black Hawk,WATERLOO,W503,Precinct W503,W503 SONS OF JACOB SYNAGOGUE,"411 E MITCHELL AV, WATERLOO, IA 50702"
IA,2014-11-04,county,Black Hawk,WATERLOO,W504,Precinct W504,W504 KIMBALL RIDGE CENTER,"2101 KIMBALL AV, WATERLOO, IA 50702"
IA,2014-11-04,county,Black Hawk,WATERLOO,W505,Precinct W505,W505 ZION LUTHERAN CHURCH,"810 KIMBALL AV, WATERLOO, IA 50701"
