state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
IA,2012-11-06,county,Benton,EL,Precinct El,NEWHALL CITY HALL,"220 1ST STREET, NEWHALL IA 52315"
IA,2012-11-06,county,Benton,VT1,Precinct Vt1,VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON IA 52349"
IA,2012-11-06,county,Benton,BG,Precinct Bg,VAN HORNE EMERGENCY STATION,"95 MAIN STREET, VAN HORNE IA 52346"
IA,2012-11-06,county,Benton,VT3,Precinct Vt3,VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON IA 52349"
IA,2012-11-06,county,Benton,ED,Precinct Ed,BENTON COUNTY COURTHOUSE,"111 E 4TH STREET, VINTON IA 52349"
IA,2012-11-06,county,Benton,IA,Precinct Ia,BLAIRSTOWN COMMUNITY CENTER,"305 LOCUST STREET NW, BLAIRSTOWN IA 52209"
IA,2012-11-06,county,Benton,FL,Precinct Fl,ST. MICHAEL'S PARISH CENTER,"512 EVERGREEN STREET, NORWAY IA 52318"
IA,2012-11-06,county,Benton,PO,Precinct Po,URBANA COMMUNITY CENTER,"906 W MAIN STREET, URBANA IA 52345"
IA,2012-11-06,county,Benton,FR,Precinct Fr,ATKINS CITY HALL/LIBRARY,"480 3RD AVE, ATKINS IA 52206"
IA,2012-11-06,county,Benton,BN,Precinct Bn,SHELLSBURG LEGION HALL,"114 MAIN STREET SW, SHELLSBURG IA 52332"
IA,2012-11-06,county,Black Hawk,Q000,Spring Creek,Q000 UNION HIGH SCHOOL,"200 ADAMS ST, LA PORTE CITY IA 50651"
IA,2012-11-06,county,Black Hawk,B000,Bennington,B000  ST JOHN'S LUTHERAN CHURCH,"4110 E MT VERNON RD, WATERLOO IA 50703"
IA,2012-11-06,county,Black Hawk,G000,Eagle,G000  ST MARY OF MOUNT CARMEL CHURCH,"1435 E EAGLE RD, WATERLOO IA 50701"
IA,2012-11-06,county,Black Hawk,X201,Precinct X201,X201 UNITED CHURCH OF CHRIST,"9204 UNIVERSITY AVE, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,S000,Washington/Janesville,S000 ANTIQUE ACRES,"7610 WAVERLY RD, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,R000,Union,R000 AMERICAN MARTYR RETREAT HOUSE,"2209 S UNION RD, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,PH01,Poyner P1/ East Wloo Twp,PH01 RAYMOND CITY HALL,"6902 LAFAYETTE RD, RAYMOND IA 50667"
IA,2012-11-06,county,Black Hawk,J300,Evansdale Ward 3,J300 PRINCE OF PEACE CHURCH,"4031 LAFAYETTE RD, EVANSDALE IA 50707"
IA,2012-11-06,county,Black Hawk,J200,Evansdale Ward 2,J200 COMMUNITY RESPONSE CENTER,"911 EVANS RD, EVANSDALE IA 50707"
IA,2012-11-06,county,Black Hawk,J100,Evansdale Ward 1,J100 EVANSDALE CITY HALL,"123 N EVANS RD, EVANSDALE IA 50707"
IA,2012-11-06,county,Black Hawk,J400,Evansdale Ward 4,J400 COMMUNITY RESPONSE CENTER,"911 EVANS RD, EVANSDALE IA 50707"
IA,2012-11-06,county,Black Hawk,N000,Mt Vernon,N000 COUNTRY VIEW,"1410 W DUNKERTON RD, WATERLOO IA 50703"
IA,2012-11-06,county,Black Hawk,W501,Precinct W501,W501 TRINITY AMERICAN LUTHERAN CHURCH,"605 W 4TH ST, WATERLOO IA 50702"
IA,2012-11-06,county,Black Hawk,W403,Precinct W403,W403 WATERLOO CITY HALL,"715 MULBERRY ST, WATERLOO IA 50703"
IA,2012-11-06,county,Black Hawk,W402,Precinct W402,W402 HARVEST VINEYARD CHURCH,"715 E 4TH ST, WATERLOO IA 50703"
IA,2012-11-06,county,Black Hawk,X403,Precinct X403,"X403 GILCHRIST HALL, UNI","UNIVERSITY AVE TO CAMPUS ST ENTRANCE
, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,W306,Precinct W306,W306 WATERLOO CENTER FOR THE ARTS,"225 COMMERCIAL ST, WATERLOO IA 50701"
IA,2012-11-06,county,Black Hawk,W202,Precinct W202,W202 GRACE BAPTIST CHURCH,"3820 HAMMOND AV, WATERLOO IA 50702"
IA,2012-11-06,county,Black Hawk,W303,Precinct W303,W303 ST PAUL UNITED METHODIST CHURCH,"207 W LOUISE ST, WATERLOO IA 50703"
