Choctaw,6532,Panhandle,PFD,PANHANDLE FIRE DEPARTMENT,"3525 WEIR PANHANDLE ROAD, MCCOOL MS 39108",309
Choctaw,6534,Reform,REF,REFORM FIRE DEPARTMENT,"142 PLAINERMILL ROAD, ACKERMAN MS 39735",382
Choctaw,6536,Sherwood,SHE,SHERWOOD COMMUNITY CENTER,"23 E. SHERWOOD OCL RD, MATHISTON MS 39752",398
Choctaw,6537,Southwest Ackerman,SWA,ACKERMAN ELEMENTARY SCHOOL,"8475 MS HIGHWAY 15, ACKERMAN MS 39735",459
Choctaw,775001834,ACKERMAN TOWN HALL,TOA,ACKERMAN TOWN HALL,"P O BOX 394, ACKERMAN MS 39735",0
Choctaw,775001830,FRENCH CAMP FIRE DEPT,TOFC,FRENCH CAMP FIRE DEPARTMENT,"6069 MS HIGHWAY 413, FRENCH CAMP MS 39745",0
Choctaw,775002219,MATHISTON,TOM,RIO GRANDE RESTAURANT,"MS HIGHWAY 15, ACKERMAN MS 39735",0
Choctaw,775001896,WEIR FIRE DEPT,TOW,WEIR FIRE DEPARTMENT,"46 N. ANN STREET, WEIR MS 39772",0
,,,,,,
Claiborne,3408,County Precinct 1-A,1-A,SOUTH CLAIBORNE COUNTY MAINT. FACILITY,"1015 CHINA GROVE CHURCH ROAD, LORMAN MS 39096",913
Claiborne,3409,County Precinct 1-B,1-B,ALCORN STATE UNIVERSITY,"1000 ASU DRIVE, LORMAN MS 39096",988
Claiborne,3410,County Precinct 1-C,1-C,ALCORN STATE UNIVERSITY,"GYMNASIUM ALCORN STATE UNIVERSITY, ALCORN STATE MS 39096",0
Claiborne,3411,County Precinct 2-A,2-A,CLAIBORNE COUNTY FIRE DEPARTMENT,"410 MARKET STREET, PORT GIBSON MS 39150",714
Claiborne,575001877,County Precinct 2-B,2-B,CLAIBORNE COUNTY FIRE DEPARTMENT,"410 MARKET STREET, PORT GIBSON MS 39150",353
Claiborne,3412,County Precinct 3-A,3-A,MULTIPURPOSE CENTER,"1703 BRIDEWELL LANE, PORT GIBSON MS 39150",1154
Claiborne,3413,County Precinct 3-B,3-B,COMMUNITY CENTER (MID WAY),"10137 OLD PORT GIBSON ROAD, PORT GIBSON MS 39150",48
Claiborne,3414,County Precinct 4-A,4-A,HERMANVILLE NUTRITION CENTER,"4115 HWY 18 #4, HERMANVILLE MS 39086",625
Claiborne,3415,County Precinct 4-B,4-B,HERMANVILLE NUTRITION CENTER,"4115 HWY 18 #4, HERMANVILLE MS 39086",706
