Winston,6029,County Agent,42,COUNTY AGENT'S OFFICE,"460 VANCE ST., LOUISVILLE MS 39339",1273
Winston,6028,Shiloh,43,SHILOH FIRE DEPARTMENT,"2089 C. HUNTLEY RD., LOUISVILLE MS 39339",513
Winston,6036,Noxapater,51,NOXAPATER FIRE DEPT,"145 WEST MAIN ST., NOXAPATER MS 39346",1087
Winston,6034,Mars Hill,52,MARS HILL FIRE DEPARTMENT,"4470 MARS HILL RD., NOXAPATER MS 39346",829
Winston,6038,New National Guard,53,NEW NATIONAL GUARD,"2310 HIGHWAY 15 SOUTH, LOUISVILLE MS 39339",434
Yalobusha,5725,Beat One North,1NO,CASEY JONES MUSEUM (OLD WATER VALLEY DEPOT),"105 RAILROAD ST., WATER VALLEY MS 38965",1298
Yalobusha,5726,Beat One South,1SO,COFFEEVILLE COURTHOUSE,"14400 MAIN ST., COFFEEVILLE MS 38922",537
Yalobusha,5732,Beat Two Water Valley,2 WV,WATER VALLEY COURTHOUSE,"201 BLACKMUR DR., WATER VALLEY MS 38965",1597
Yalobusha,5737,Three North West,3NW,NATIONAL GUARD ARMORY,"1001 COMMUNITY PARK DR., WATER VALLEY MS 38965",1165
Yalobusha,5738,Three Sylva Rena,3SR,SYLVA RENA COMMUNITY CENTER,"7716 CR 225, WATER VALLEY MS 38965",686
Yalobusha,5741,Four Coffeeville,4CF,MULTIPURPOSE BUILDING,"18025 HIGHWAY 7, COFFEEVILLE MS 38922",681
Yalobusha,5742,Four Oakland,4OK,OAKLAND FIRE STATION,"171 CHERRY ST., OAKLAND MS 38948",1216
Yalobusha,5745,Five Coffeeville,5CF,COFFEEVILLE COURTHOUSE,"14400 MAIN ST., COFFEEVILLE MS 38922",862
Yalobusha,5746,Five Scobey,5SB,SCOBEY COMMUNITY CENTER,"CR 190, SCOBEY MS 38953",279
Yalobusha,5747,Five Scuna - Vann'S Mill,5SVM,FIVE SCUNA VALLEY FIRE STATION,"176 CR 430, COFFEEVILLE MS 38922",229
Yalobusha,5748,Five Tillatoba,5TL,TILLATOBA FIRE STATION,"27263 HWY. 330, TILLATOBA MS 38961",297
Yazoo,4306,Mechanicsburg,1-1,NEW FIRE STATION HWY 433,"4146 HWY 433 WEST, BENTONIA MS 39040",714
Yazoo,4307,East Bentonia,1-2,BENTONIA TOWN HALL,"216 E RAILROAD AVE, BENTONIA MS 39040",464
Yazoo,4308,West Bentonia,1-3,116 PRITCHARD AVE.,"116 PRITCHARD AVE, BENTONIA MS 39040",820
Yazoo,4309,Center Ridge,1-4,CENTER RIDGE RD ACROSS FROM,"3205 CENTER RIDGE ROAD, YAZOO CITY MS 39194",632
Yazoo,4310,Dover,1-5,NEW BLDG. ACROSS FROM PARADISE,"2 OLD DOVER ROAD, YAZOO CITY MS 39194",495
Yazoo,4311,Robinette,1-6,LITTLE YAZOO SPORT CENTER,"1649 HWY 49 FRONTAGE ROAD, YAZOO CITY MS 39194",534
Yazoo,4312,Satartia,1-7,SATARTIA TOWN HALL,"318 PLUM STREET, SATARTIA MS 39162",98
Yazoo,4313,Valley,1-8,TINSLEY COMMUNITY CENTER NEXT,"3666 TINSLEY ROAD, YAZOO CITY MS 39194",239
Yazoo,4314,Benton,2-1,BENTON FIRE HOUSE,"216 ACADEMY DRIVE, BENTON MS 39039",938
Yazoo,4315,Ward 2,2-2,WELFARE OFFICE--GRADY AVE.,"1315 GRADY AVE, YAZOO CITY MS 39194",970
Yazoo,4316,Deasonville,2-3,DEASONVILLE COMMUNITY CENTER,"6925 VAUGHAN ROAD, VAUGHAN MS 39179",676
Yazoo,4317,Harttown,2-4,8882 WILDWOOD RD.,"8882 WILDWOOD ROAD, VAUGHAN MS 39179",389
Yazoo,4318,Zion,2-5,COUNTY ROAD BARN,"1686 COUNTY BARN ROAD, YAZOO CITY MS 39194",397
Yazoo,4319,Fugates,2-6,SCOTLAND STORE AT INTERSECTION,"SCOTLAND ROAD, BENTON MS 39039",567
Yazoo,4320,3-1 West,3-1,OLD WELFARE BLDG. CORNER MOUND,"347 NORTH MOUND STREET, YAZOO CITY MS 39194",925
Yazoo,4321,3-2 East,3-2,JR. HIGH SCHOOL,"516 EAST CANAL STREET, YAZOO CITY MS 39194",1347
Yazoo,4322,Jonestown,3-3,JONESTOWN COUNTY BARN,"905 THOMAS AVE, YAZOO CITY MS 39194",850
Yazoo,4323,3-4 South,3-4,WASHINGTON STREET FIRE STATION,"210 SOUTH WASHINGTON STREET, YAZOO CITY MS 39194",745
Yazoo,4324,Eden,4-1,EDEN FIRE STATION,"262 EDEN MAIN STREET, YAZOO CITY MS 39194",443
Yazoo,4325,East Midway,4-2,MIDWAY VOL FIRE STATION,"5891 HWY. 433 NORTH, BENTON MS 39039",413
Yazoo,4326,West Midway,4-3,MIDWAY CO ROAD BARN,"5891 HWY. 433 NORTH, BENTON MS 39039",262
Yazoo,4327,Ward 4,4-4,TEEN CENTER,"1200 JACKSON AVE, YAZOO CITY MS 39194",2243
Yazoo,4328,Free Run,4-5,FREERUN COMMUNITY CENTER,"4320 EDEN MIDWAY ROAD, YAZOO CITY MS 39194",215
Yazoo,4329,Lake City,5-1,NEW AIRPORT-CARTER RD,"1293 CARTER ROAD, YAZOO CITY MS 39194",271
Yazoo,4331,Holly Bluff,5-3,HOLLY BLUFF FIRE STATION,"995 HIGHWAY 16 WEST, HOLLY BLUFF MS 39194",315
Yazoo,4332,Ward 5,5-4,N. D. TAYLOR SCHOOL GYM,"400 LAMAR AVE, YAZOO CITY MS 39194",2901
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
