Washington,7790,Leland Rotary Club,4-3,LELAND ROTARY CLUB,"PO BOX 9013, LELAND MS 38756",1763
Washington,7791,Hollandale City Hall,5-1,HOLLANDALE CITY HALL,"200 EAST AVENUE SOUTH, HOLLANDALE MS 38748",1920
Washington,7792,Darlove,5-2,DARLOVE,"3024 AVON DARLOVE RD., HOLLANDALE MS 38748",102
Washington,7793,Washington County Convention Cente,r	5-3,WASHINGTON COUNTY CONVENTION CENTER,"1040 S RACEWAY ROAD, GREENVILLE MS 38703",1626
Washington,7794,Jake's Chapel MB Church,5-4,JAKE'S CHAPEL MB CHURCH,"208 SOUTH 9TH STREET, GREENVILLE MS 38701",2355
,,,,,,
Wayne,5920,Waynesboro City 2,12,WAYNESBORO CITY 2 A-L,"406 MISSISSIPPI DR, PRECINCT HOUSE, WAYNESBORO MS 39367",1180
Wayne,5921,Waynesboro City 3,13,WAYNESBORO CITY 3 A-L,"1008 BENTON ST, WAYNESBORO CITY AUDITORIUM, WAYNESBORO MS 39367",1040
Wayne,5922,Waynesboro City 4,14,WAYNESBORO CITY 4,"601 AZALEA DR, VOLUNTEER FIRE DEPT BLDG, WAYNESBORO MS 39367",565
Wayne,5923,Waynesboro City 5,15,WAYNESBORO CITY 5 M-Z,"3849 HWY 63, NATIONAL GUARD ARMORY, WAYNESBORO MS 39367",504
Wayne,5926,State Line,21,STATE LINE,"233 MAIN ST, VOLUNTEER FIRE DEPT, STATELINE MS 39362",850
Wayne,5929,Eucutta,24,EUCUTTA,"1504 EUCUTTA SANDERSVILLE RD, VOLUNTEER FIRE DEPT, SHUBUTA MS 39360",257
Wayne,5932,Buckatunna,31,BUCKATUNNA,"1678 HWY 45 SOUTH, VOLUNTEER FIRE DEPT. BLDG., BUCKATUNNA MS 39322",769
Wayne,5933,Winchester,32,WINCHESTER,"236 WINCHESTER CROSS RD, PRECINCT HOUSE, WAYNESBORO MS 39367",763
Wayne,5935,Beat Four,34,BEAT FOUR A-L,"5109-A HWY 84, VOLUNTEER FIRE DEPT, WAYNESBORO MS 39367",804
Wayne,5936,Corinth,35,CORINTH,"2320 CAMP EIGHT RD, PRECINCT HOUSE BLDG, WAYNESBORO MS 39367",334
Wayne,5939,Denham,42,DENHAM,"612 COUNTY LAKE DENHAM RD, VOLUNTEER FIRE DEPT, WAYNESBORO MS 39367",540
Wayne,5940,Hiwannee,43,HIWANNEE,"5834 HWY 45 NORTH, VOL. FIRE DEPT, WAYNESBORO MS 39367",379
Wayne,5942,Strengthford,45,STRENGTHFORD,"4 STRENGTHFORD COOLEY RD, VOLUNTEER FIRE DEPT, LAUREL MS 39441",213
Wayne,5944,Chicora,51,CHICORA,"1788 BUCKATUNNA CHICORA CLARA RD, PRECINCT HOUSE, BUCKATUNNA MS 39322",362
Wayne,5945,Big Rock,52,BIG ROCK,"960 BIG ROCK RD, PRECINCT HOUSE BLDG, WAYNESBORO MS 39367",210
Wayne,5946,Matherville/Coyt,53,MATHERVILLE/COYT,"83 MATHERVILLE FROST B5RIDGE RD, VOLUNTEER FIRE DEPT BLDG, SHUBUTA MS 39360",177
Wayne,5947,Mozingo,54,MOZINGO,"1663 RESERVOIR RD, VOLUNTEER FIRE DEPT. BLDG., WAYNESBORO MS 39367",440
Wayne,5950,Pleasant Grove,64,PLEASANT GROVE,"157 OLD HWY 84 LOOP RD, VOLUNTEER FIRE DEPT. BLDG., LAUREL MS 39441",570
Wayne,5951,Clara,65,CLARA A-L,"2575 HWY 63, VOLUNTEER FIRE DEPT BLDG., WAYNESBORO MS 39367",1582
Wayne,5952,Chapparal/Diamond,73,CHAPPARAL/DIAMOND,"983 HAYES NUTE RD, PRECINCT HOUSE, WAYNESBORO MS 39367",389
Wayne,5954,Yellow Creek,83,YELLOW CREEK A-L,"1660 WAYNESBORO SHUBUTA RD, VOLUNTEER FIRE DEPT BLDG, WAYNESBORO MS 39367",697
Webster,9092,Eupora No. 1,11,COMMUNITY HOUSE,"142 N DUNN ST, EUPORA MS 39744",1351
Webster,9093,Bluff Springs,12,BLUFF SPRINGS CHURCH,"684 BLUFF SPRINGS CHURCH RD, EUPORA MS 39744",192
Webster,9094,Eupora No. 2,21,DEPT. OF HUMAN SERV.,"51 GOVERNMENT ST, EUPORA MS 39744",487
Webster,9095,Walthall,22,WALTHALL FIRE DEPT.,"515 CARROLL ST, WALTHALL MS 39771",511
Webster,9096,Bellefontaine,23,MASONIC LODGE #174,"13480 MS HWY 404, BELLEFONTAINE MS 39737",355
Webster,9097,Cadaretta,24,CADARETTA WATER ASSOC. BLDG.,"3814 CADARETTA RD, GORE SPRINGS MS 38929",130
Webster,9098,Eupora No. 3,31,GOLDEN LIVING CENTER,"156 E WALNUT AVE, EUPORA MS 39744",412
Webster,9099,Grady,32,NEW EBENEZER CHURCH,"3036 GRADY RD, EUPORA MS 39744",334
Webster,9100,Tomnolen,33,TOMNOLEN BAPTIST CHURCH,"147 GREENSBORO RD, EUPORA MS 39744",472
Webster,9101,Fay,34,BOATMANS GARAGE,"1622 STEWART-LODI RD, STEWART MS 39767",144
Webster,9102,Mathiston,41,MATHISTON PUBLIC LIBRARY,"298 SCOTT AVE, MATHISTON MS 39752",656
Webster,9103,Maben,42,CHURCH OF GOD OF PROPHECY,"1390 MS HWY 15, MABEN MS 39750",606
Webster,9104,Big Black,43,BEAT 4 COUNTY BARN,"11275 CLARKSON RD, MATHISTON MS 39752",276
Webster,9105,Fame,51,FAME CHURCH,"1033 FAME CHURCH RD, EUPORA MS 39744",294
Webster,9106,Clarkson,52,CLARKSON FIRE DEPT.,"27 FIRE HOUSE RD, MATHISTON MS 39752",379
Webster,9107,Cumberland,53,CUMBERLAND BAPTIST CHURCH,"216 OLD CUMBERLAND RD, MABEN MS 39750",386
Webster,9108,Mantee,54,MANTEE CITY HALL,"1275 MAIN ST, MANTEE MS 39751",419
Wilkinson,6557,Woodville 1010,1010,VO-TECH WOODVILLE 1ST,"1106 HWY 24 EAST, WOODVILLE MS 39669",548
Wilkinson,6558,Centreville 1st 1020,1020,HWY 33 SOUTH,"1803 HIGHWAY 33 SOUTH, CENTREVILLE MS 39631",820
Wilkinson,6560,Woodville 2nd 2010,2010,REC CENTER,"1823 HWY 24 WEST, WOODVILLE MS 39669",826
Wilkinson,6561,Fort Adams 2020,2020,FORT ADAMS FIRE HOUSE,"2754 HWY 24 WEST, WOODVILLE MS 39669",607
Wilkinson,6563,Centreville 3rd 3010,3010,OLD USO BUILDING CENTREVILE POLICE STATION,"216 JOSEPH STREET, CENTREVILLE MS 39631",1171
Wilkinson,6565,Woodville 4th 4010,4010,WOODVILLE FIRE HOUSE,"744 MAIN STREET, WOODVILLE MS 39669",1130
Wilkinson,6566,Cold Springs 4020,4020,HWY 61 EAST/COLD SPRINGS,"94 COLD SPRING RD, WOODVILLE MS 39669",327
Wilkinson,6568,Woodville 5th 5010,5010,WOODVILLE LIBRARY,"MAIN STREET, WOODVILLE MS 39669",800
