election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,PA,ADAMS,ADAMS,county,01-1,ABBOTTSTOWN,,election_day,ABBOTTSTOWN BOROUGH OFFICE,"241 HIGH ST, ABBOTTSTOWN, PA 17301",01,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,02-1,ARENDTSVILLE,,election_day,ARENDTSVILLE FIRE COMPANY BLDG,"48 PEARL ST, ARENDTSVILLE, PA 17303",02,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,03-1,BENDERSVILLE,,election_day,BENDERSVILLE COMMUNITY BLDG,"144 PARK ST, BENDERSVILLE, PA 17306",03,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,04-1,BERWICK,,election_day,BERWICK TWP MUNIC BLDG,"85 MUNICIPAL RD, HANOVER, PA 17331",04,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,05-1,BIGLERVILLE,,election_day,TRINITY UNITED CHURCH FELLOWSHIP HALL,"300 E YORK ST, BIGLERVILLE, PA 17307",05,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,06-1,BONNEAUVILLE,,election_day,BONNEAUVILLE MUNIC BLDG,"46 E HANOVER ST, GETTYSBURG, PA 17325",06,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,06-2,BONNEAUVILLE,,election_day,BONNEAUVILLE MUNIC BLDG,"46 E HANOVER ST, GETTYSBURG, PA 17325",06,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,07-1,BUTLER,,election_day,OAKSIDE COMMUNITY PARK,"2880 TABLE ROCK RD, BIGLERVILLE, PA 17307",07,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,08-1,CARROLL VALLEY #1,,election_day,CARROLL VALLEY BOROUGH OFFICE,"5685 FAIRFIELD RD, FAIRFIELD, PA 17320",08,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,09-1,CONEWAGO #1,,election_day,SAVES STATION,"5865 HANOVER RD, HANOVER, PA 17331",09,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,10-1,CONEWAGO #2,,election_day,SAVES STATION,"5865 HANOVER RD, HANOVER, PA 17331",10,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,11-1,CUMBERLAND #1,,election_day,GETTYSBURG SCHOOL ADMINISTRATION BLDG,"900 BIGLERVILLE RD, GETTYSBURG, PA 17325",11,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,12-1,CUMBERLAND #2,,election_day,BARLOW FIRE HALL,"2005 TANEYTOWN RD, GETTYSBURG, PA 17325",12,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,13-1,CUMBERLAND #3,,election_day,CUMBERLAND TWP MUNIC BLDG,"1370 FAIRFIELD RD, GETTYSBURG, PA 17325",13,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,14-1,CUMBERLAND #4,,election_day,CUMBERLAND TWP MUNIC BLDG,"1370 FAIRFIELD RD, GETTYSBURG, PA 17325",14,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,15-1,EAST BERLIN,,election_day,COMMUNITY CENTER,"405 NORTH AVE, EAST BERLIN, PA 17316",15,ORR,2020-11-02,
2020-11-03,PA,ADAMS,ADAMS,county,16-1,FAIRFIELD,,election_day,VILLAGE HALL,"108 W MAIN ST, FAIRFIELD, PA 17320",16,ORR,2020-11-02,
