state,election_date,jurisdiction_type,county_name,precinct_id,name,address
DE,2018-11-06,county,Kent,06-32,LITTLE CREEK FIRE HALL ,"311 MAIN ST, LITTLE CREEK, DE 19961"
DE,2018-11-06,county,Kent,07-32,EAST DOVER ELEM SCHOOL ,"852 S LITTLE CREEK RD, DOVER, DE 19901"
DE,2018-11-06,county,Kent,08-32,LITTLE CREEK FIRE HALL ,"311 MAIN ST, LITTLE CREEK, DE 19961"
DE,2018-11-06,county,Kent,09-32,EAST DOVER ELEM SCHOOL ,"852 S LITTLE CREEK RD, DOVER, DE 19901"
DE,2018-11-06,county,Kent,10-32,W REILY BROWN ELEM SCHOOL ,"360 WEBBS LN, DOVER, DE 19901"
DE,2018-11-06,county,Kent,11-32,ALLEN FREAR ELEM SCHOOL ,"238 SORGHUM MILL RD, CAM-WYO, DE 19934"
DE,2018-11-06,county,Kent,12-32,F NIEL POSTLETHWAIT SCHOOL ,"2841 S STATE ST, CAM-WYO, DE 19934"
DE,2018-11-06,county,Kent,01-33,RURITAN CLUB VIOLA ,"29 RURITAN LN, VIOLA, DE 19979"
DE,2018-11-06,county,Kent,02-33,F NIEL POSTLETHWAIT SCHOOL ,"2841 S STATE ST, CAM-WYO, DE 19934"
DE,2018-11-06,county,Kent,03-33,MAGNOLIA FIRE HALL ,"2 N MAIN ST, MAGNOLIA, DE 19962"
DE,2018-11-06,county,Kent,04-33,LAKE FOREST EAST ELEM SCHOOL ,"124 W FRONT ST, FREDERICA, DE 19946"
DE,2018-11-06,county,Kent,05-33,LAKE FOREST EAST ELEM SCHOOL ,"124 W FRONT ST, FREDERICA, DE 19946"
DE,2018-11-06,county,Kent,06-33,LAKE FOREST HIGH SCHOOL ,"5407 KILLENS POND RD, FELTON, DE 19943"
DE,2018-11-06,county,Kent,07-33,HOUSTON FIRE HALL ,"143 BROAD ST, HOUSTON, DE 19954"
DE,2018-11-06,county,Kent,08-33,MILFORD HIGH SCHOOL ,"1019 N WALNUT ST, MILFORD, DE 19963"
DE,2018-11-06,county,Kent,09-33,MILFORD HIGH SCHOOL ,"1019 N WALNUT ST, MILFORD, DE 19963"
DE,2018-11-06,county,Kent,10-33,FREDERICA FIRE HALL ,"6 FRONT ST, FREDERICA, DE 19946"
DE,2018-11-06,county,Kent,01-34,W B SIMPSON ELEM SCHOOL ,"5 OLD NORTH RD, CAM-WYO, DE 19934"
DE,2018-11-06,county,Kent,02-34,NELLIE H STOKES ELEM SCHOOL ,"3874 UPPER KING RD, DOVER, DE 19904"
DE,2018-11-06,county,Kent,03-34,CAESAR RODNEY HIGH SCHOOL ,"239 OLD NORTH RD, CAM-WYO, DE 19934"
DE,2018-11-06,county,Kent,04-34,RURITAN CLUB VIOLA ,"29 RURITAN LN, VIOLA, DE 19979"
DE,2018-11-06,county,Kent,05-34,POLYTECH HIGH SCHOOL ,"823 WALNUT SHADE RD, WOODSIDE, DE 19980"
DE,2018-11-06,county,Kent,06-34,POLYTECH HIGH SCHOOL ,"823 WALNUT SHADE RD, WOODSIDE, DE 19980"
DE,2018-11-06,county,Kent,07-34,F NIEL POSTLETHWAIT SCHOOL ,"2841 S STATE ST, CAM-WYO, DE 19934"
DE,2018-11-06,county,Kent,08-34,ALLEN FREAR ELEM SCHOOL ,"238 SORGHUM MILL RD, CAM-WYO, DE 19934"
DE,2018-11-06,county,Kent,09-34,STAR HILL ELEM SCHOOL ,"594 VOSHELLS MILL STAR HILL RD, DOVER, DE 19901"
DE,2018-11-06,county,Kent,10-34,POLYTECH HIGH SCHOOL ,"823 WALNUT SHADE RD, WOODSIDE, DE 19980"
DE,2018-11-06,county,Kent,11-34,FRED FIFER MIDDLE SCHOOL ,"109 E CAM-WYO AVE, CAM-WYO, DE 19934"
DE,2018-11-06,county,Kent,12-29,STATE FIRE SCHOOL ,"1461 CHESTNUT GROVE RD, DOVER, DE 19904"
DE,2018-11-06,county,Kent,13-29,NELLIE H STOKES ELEM SCHOOL ,"3874 UPPER KING RD, DOVER, DE 19904"
DE,2018-11-06,county,Kent,01-30,WILLOW GROVE CHURCH OF GOD ,"90 HONEYSUCKLE RD, CAM-WYO, DE 19934"
DE,2018-11-06,county,Kent,02-30,RURITAN CLUB VIOLA ,"29 RURITAN LN, VIOLA, DE 19979"
DE,2018-11-06,county,Kent,03-30,FELTON FIRE HALL ,"9 E MAIN ST, FELTON, DE 19943"
DE,2018-11-06,county,Kent,04-30,FELTON FIRE HALL ,"9 E MAIN ST, FELTON, DE 19943"
DE,2018-11-06,county,Kent,05-30,LAKE FOREST HIGH SCHOOL ,"5407 KILLENS POND RD, FELTON, DE 19943"
DE,2018-11-06,county,Kent,06-30,LAKE FOREST HIGH SCHOOL ,"5407 KILLENS POND RD, FELTON, DE 19943"
DE,2018-11-06,county,Kent,07-30,HARRINGTON FIRE HALL ,"20 CLARK ST, HARRINGTON, DE 19952"
DE,2018-11-06,county,Kent,08-30,HARRINGTON FIRE HALL ,"20 CLARK ST, HARRINGTON, DE 19952"
DE,2018-11-06,county,Kent,09-30,HARRINGTON FIRE HALL ,"20 CLARK ST, HARRINGTON, DE 19952"
DE,2018-11-06,county,Kent,10-30,HOUSTON FIRE HALL ,"143 BROAD ST, HOUSTON, DE 19954"
DE,2018-11-06,county,Kent,11-30,FARMINGTON FIRE HALL ,"20920 S DUPONT HWY, FARMINGTON, DE 19950"
DE,2018-11-06,county,Kent,12-30,FARMINGTON FIRE HALL ,"20920 S DUPONT HWY, FARMINGTON, DE 19950"
DE,2018-11-06,county,Kent,01-31,DEL TECH CORP TRAINING CNTR ,"400 CAMPUS DR, DOVER, DE 19904"
DE,2018-11-06,county,Kent,02-31,STATE FIRE SCHOOL ,"1461 CHESTNUT GROVE RD, DOVER, DE 19904"
DE,2018-11-06,county,Kent,03-31,BPOE #1903 ELKS ,"200 S SAULSBURY RD, DOVER, DE 19904"
DE,2018-11-06,county,Kent,04-31,NORTH DOVER ELEM SCHOOL ,"855 COLLEGE RD, DOVER, DE 19904"
DE,2018-11-06,county,Kent,05-31,BPOE #1903 ELKS ,"200 S SAULSBURY RD, DOVER, DE 19904"
DE,2018-11-06,county,Kent,06-31,WILLIAM HENRY MIDDLE SCHOOL ,"65 CARVER RD, DOVER, DE 19904"
DE,2018-11-06,county,Kent,07-31,JOHN W PITTS REC CENTER ,"10 ELECTRIC AVE, DOVER, DE 19904"
DE,2018-11-06,county,Kent,08-31,BPOE #1903 ELKS ,"200 S SAULSBURY RD, DOVER, DE 19904"
DE,2018-11-06,county,Kent,09-31,FAIRVIEW ELEM SCHOOL ,"700 WALKER RD, DOVER, DE 19904"
DE,2018-11-06,county,Kent,10-31,SOUTH DOVER ELEM SCHOOL ,"955 S STATE ST, DOVER, DE 19901"
DE,2018-11-06,county,Kent,11-31,JOHN W PITTS REC CENTER ,"10 ELECTRIC AVE, DOVER, DE 19904"
DE,2018-11-06,county,Kent,01-32,EAST DOVER ELEM SCHOOL ,"852 S LITTLE CREEK RD, DOVER, DE 19901"
DE,2018-11-06,county,Kent,02-32,SOUTH DOVER ELEM SCHOOL ,"955 S STATE ST, DOVER, DE 19901"
DE,2018-11-06,county,Kent,03-32,W REILY BROWN ELEM SCHOOL ,"360 WEBBS LN, DOVER, DE 19901"
DE,2018-11-06,county,Kent,04-32,W B SIMPSON ELEM SCHOOL ,"5 OLD NORTH RD, CAM-WYO, DE 19934"
DE,2018-11-06,county,Kent,05-32,W REILY BROWN ELEM SCHOOL ,"360 WEBBS LN, DOVER, DE 19901"
DE,2018-11-06,county,Kent,05-11,KENTON SCHOOL ,"265 S MAIN ST, KENTON, DE 19955"
DE,2018-11-06,county,Kent,06-11,HARTLY FIRE HALL ,"2898 ARTHURSVILLE RD, HARTLY, DE 19953"
DE,2018-11-06,county,Kent,07-11,KENTON RURITAN CLUB ,"249 S MAIN ST, KENTON, DE 19955"
DE,2018-11-06,county,Kent,08-11,HARTLY FIRE HALL ,"2898 ARTHURSVILLE RD, HARTLY, DE 19953"
DE,2018-11-06,county,Kent,09-11,MARYDEL FIRE HALL ,"110 FIREHOUSE LN, MARYDEL, DE 19964"
DE,2018-11-06,county,Kent,10-11,FRED FIFER MIDDLE SCHOOL ,"109 E CAM-WYO AVE, CAM-WYO, DE 19934"
DE,2018-11-06,county,Kent,01-28,SMYRNA MIDDLE SCHOOL ,"700 DUCK CREEK PKWY, SMYRNA, DE 19977"
DE,2018-11-06,county,Kent,02-28,LEVIN CENTER ,"27 N MAIN ST, SMYRNA, DE 19977"
