state,jurisdiction_type,county_name,precinct_name,name,address
KY,county,,LIVING HOPE BAPTIST,LIVING HOPE BAPTIST CHURCH,6305 EAGLE WAY HOPKINSVILLE KY 42240
KY,county,,OAKLEY,CROSS ROADS FIRE DEPARTMENT,7400 HWY 490 EAST BERNSTADT KY 40729
KY,county,,CROSS ROADS,CROSS ROADS FIRE DEPARTMENT,7400 HWY 490 EAST BERNSTADT KY 40729
KY,county,,WORTHINGTON ,CHURCH OF THE NAZARENE FELLOWSHIP,920 KENTUCKY AVE WORTHINGTON KY 41183
KY,county,,CENTRAL,WARREN CENTRAL HIGH SCHOOL,559 MORGANTOWN RD BOWLING GREEN KY 42101
KY,county,,CSX RAILROAD,WARREN CENTRAL HIGH SCHOOL,559 MORGANTOWN RD BOWLING GREEN KY 42101
KY,county,,RES-CARE,WARREN CENTRAL HIGH SCHOOL,559 MORGANTOWN RD BOWLING GREEN KY 42101
KY,county,,SHELTON,WOODLAND ELEMENTARY SCHOOL,6000 S WOODLAND DR RADCLIFF KY 40160
KY,county,,WOODLAND,WOODLAND ELEMENTARY SCHOOL,6000 S WOODLAND DR RADCLIFF KY 40160
KY,county,,KYROCK ELEMENTARY SCHOOL,KYROCK ELEMENTARY SCHOOL,5720 HWY 259 N SWEEDEN KY 42285
KY,county,,GREENUP #3,GREENUP CHRISTIAN LIFE CENTER,711 MAIN ST GREENUP KY 41144
KY,county,,COURT HOUSE,KNOX CO MIDDLE SCHOOL GYM,311 N MAIN ST BARBOURVILLE KY 40906
KY,county,,SOUTH BARBOURVILLE,KNOX CO MIDDLE SCHOOL GYM,311 N MAIN ST BARBOURVILLE KY 40906
KY,county,,VANCLEVE,VANCLEVE FIRE STATION,5439 HWY 15 N VANCLEVE KY 41385
KY,county,,MT ADAMS,POAGE ELEMENTARY SCHOOL,3215 S 29TH ST ASHLAND KY 41102
KY,county,,BEECH,POAGE ELEMENTARY SCHOOL,3215 S 29TH ST ASHLAND KY 41102
KY,county,,POAGE,POAGE ELEMENTARY SCHOOL,3215 S 29TH ST ASHLAND KY 41102
KY,county,,YATES,J T ALTON MIDDLE SCHOOL,100 COUNTRY CLUB RD VINE GROVE KY 40175
KY,county,,LINCOLN TRAIL SOUTH,LINCOLN TRAIL ELEMENTARY SCHOOL,3154 BARDSTOWN RD ELIZABETHTOWN KY 42701
KY,county,,PRECINCT 112 41 DISTRICT,BATES MEMORIAL BAPTIST CHURCH,620 E LAMPTON ST LOUISVILLE KY 40203
KY,county,,PRECINCT 146 42 DISTRICT,BATES MEMORIAL BAPTIST CHURCH,620 E LAMPTON ST LOUISVILLE KY 40203
KY,county,,WEST POINT,WEST POINT ELEMENTARY SCHOOL,209 N 13TH ST WEST POINT KY 40177
KY,county,,ALLENDALE,BLDG CORNER L.SCOTT RD & HWY 61,9015 HODGENVILLE RD SUMMERSVILLE KY 42782
KY,county,,BRITTAINS CREEK,BLACK MTN ELEMENTARY SCHOOL,1555 HWY 215 EVARTS KY 40828
KY,county,,SOUTH PORTSMOUTH,SOUTH SHORE FIRE DEPARTMENT,28 SOUTH SHORE DRIVE SOUTH SHORE KY 41175
KY,county,,LIMEVILLE,ROTC BUILDING,138 MUSKETEER DR GREENUP KY 41144
KY,county,,SMITH BRANCH,ROTC BUILDING,138 MUSKETEER DR GREENUP KY 41144
KY,county,,MELVIN,SOUTHEAST VOLUNTEER FIRE DEPT,22815 KY RT 122 MELVIN KY 41650
KY,county,,GRAVEL SWITCH,COMMUNITY CENTER,640 GRAVEL SWITCH RD GRAVEL SWITCH KY 40328
KY,county,,FLATWOODS #3,FLATWOODS SENIOR CITIZENS BLDG,2513 REED ST FLATWOODS KY 41139
KY,county,,FLATWOODS #6,FLATWOODS NAZARENE CHURCH,2310 BELLEFONTE RD FLATWOODS KY 41139
