state,jurisdiction_type,county_name,precinct_name,name,address
KY,county,,PRECINCT 123 42 DISTRICT,HILLEBRAND HOUSE,1235 S 3RD ST LOUISVILLE KY 40203
KY,county,,INDIAN ACRES,FAITH BAPTIST CHURCH,116 POCAHONTAS TRAIL GEORGETOWN KY 40324
KY,county,,SOUTH CLAY,COMMUNITY CENTER,9108 ST RT 132W CLAY KY 42404
KY,county,,PRECINCT 176 33 DISTRICT,EASTERN HIGH SCH GYM,12400 OLD SHELBYVILLE RD LOUISVILLE KY 40243
KY,county,,B.G. TOWERS,BOWLING GREEN TOWERS,1149 COLLEGE ST BOWLING GREEN KY 42101
KY,county,,PRECINCT 158 33 DISTRICT,EASTERN HIGH SCH GYM,12400 OLD SHELBYVILLE RD LOUISVILLE KY 40243
KY,county,,PRECINCT 117 36 DISTRICT,EASTERN HIGH SCH GYM,12400 OLD SHELBYVILLE RD LOUISVILLE KY 40243
KY,county,,PRECINCT 139 28 DISTRICT,HIGHVIEW BAPT VALLEY CAMPUS,5415 VALLEY STATION RD LOUISVILLE KY 40272
KY,county,,PRECINCT 121 42 DISTRICT,PURITAN APARTMENTS,1244 S 4TH ST LOUISVILLE KY 40203
KY,county,,MALLARD POINT,NORTHERN ELEMENTARY SCHOOL,3600 CINCINNATI PIKE GEORGETOWN KY 40324
KY,county,,PRECINCT 124 35 DISTRICT,NEW COVENANT CH OF GOD,1272 GILMORE LN LOUISVILLE KY 40213
KY,county,,OAKDALE,FARLEY FIRE STATION,701-3 OAKS RD PADUCAH KY 42003
KY,county,,PRECINCT 125 35 DISTRICT,NEW COVENANT CH OF GOD,1272 GILMORE LN LOUISVILLE KY 40213
KY,county,,COVERED BRIDGE,NEW GOSHEN PRESBYTERIAN CHURCH,12900 W HIGHWAY 42 PROSPECT KY 40059
KY,county,,17-6-1,ROCKFIELD ELEMENTARY SCHOOL,7597 RUSSELLVILLE RD BOWLING GREEN KY 42101
KY,county,,PRECINCT 126 35 DISTRICT,NEW COVENANT CH OF GOD,1272 GILMORE LN LOUISVILLE KY 40213
KY,county,,SMITHS GROVE,SMITHS GROVE FIRE STATION,120 S MAIN ST SMITHS GROVE KY 42171
KY,county,,PRECINCT 127 36 DISTRICT,BERRYTOWN YMCA,1300 HEAFER RD LOUISVILLE KY 40223
KY,county,,PRECINCT 129 36 DISTRICT,BERRYTOWN YMCA,1300 HEAFER RD LOUISVILLE KY 40223
KY,county,,PRECINCT 140 28 DISTRICT,HIGHVIEW BAPT VALLEY CAMPUS,5415 VALLEY STATION RD LOUISVILLE KY 40272
KY,county,,PRECINCT 104 42 DISTRICT,MAUPIN ELEM SCH LOBBY,1312 CATALPA ST LOUISVILLE KY 40211
KY,county,,PRECINCT 113 36 DISTRICT,ASCENSION LUTHERAN CH,13725 SHELBYVILLE RD LOUISVILLE KY 40245
KY,county,,OAKS STATION,REIDLAND-FARLEY FIRE DEPT,701-3 OAKS RD PADUCAH KY 42003
KY,county,,PRECINCT 110 36 DISTRICT,ASCENSION LUTHERAN CH,13725 SHELBYVILLE RD LOUISVILLE KY 40245
KY,county,,STONEHENGE,HENRY F MOSS MIDDLE SCHOOL,2565 RUSSELLVILLE RD BOWLING GREEN KY 42101
KY,county,,MT VICTOR,BRIARWOOD ELEMENTARY SCHOOL,265 LOVERS LN BOWLING GREEN KY 42103
KY,county,,PRECINCT 150 43 DISTRICT,STEPHEN FOSTER TRAD ACADEMY,1401 S 41ST ST LOUISVILLE KY 40211
KY,county,,DAVENPORT,BARREN RIVER FIRE STATION,121 JENKINS RD BOWLING GREEN KY 42101
KY,county,,PRECINCT 162 41 DISTRICT,STEPHEN FOSTER TRAD ACADEMY,1401 S 41ST ST LOUISVILLE KY 40211
KY,county,,PRECINCT 112 43 DISTRICT,STEPHEN FOSTER TRAD ACADEMY,1401 S 41ST ST LOUISVILLE KY 40211
KY,county,,PRECINCT 143 28 DISTRICT,HIGHVIEW BAPT VALLEY CAMPUS,5415 VALLEY STATION RD LOUISVILLE KY 40272
KY,county,,PRECINCT 137 43 DISTRICT,STEPHEN FOSTER TRAD ACADEMY,1401 S 41ST ST LOUISVILLE KY 40211
KY,county,,PRECINCT 157 41 DISTRICT,STEPHEN FOSTER TRAD ACADEMY,1401 S 41ST ST LOUISVILLE KY 40211
KY,county,,MELBER,NEW HOPE CHURCH,7680 NEW HOPE CHURCH RD PADUCAH KY 42001
KY,county,,BIG LEATHERWOOD,LEATHERWOOD ELEMENTARY SCHOOL,7777 KY HIGHWAY 699 CORNETTSVILLE KY 41763
KY,county,,PRECINCT 137 42 DISTRICT,CRESCENT HILL PRESBY CH,142 CRESCENT AVE LOUISVILLE KY 40206
KY,county,,PRECINCT 138 42 DISTRICT,CRESCENT HILL PRESBY CH,142 CRESCENT AVE LOUISVILLE KY 40206
KY,county,,NATCHER,NATCHER ELEMENTARY SCHOOL,1434 CAVE MILL RD BOWLING GREEN KY 42104
KY,county,,PRECINCT 120 35 DISTRICT,CAMP TAYLOR ELEM SCH,1446 BELMAR DR LOUISVILLE KY 40213
KY,county,,PRECINCT 112 36 DISTRICT,FISHERVILLE BAPT CH GYM,14910 TAYLORSVILLE RD LOUISVILLE KY 40023
KY,county,,PRECINCT 143 44 DISTRICT,WILKERSON TRAD ELEM SCH GYM,5601 JOHNSONTOWN RD LOUISVILLE KY 40272
KY,county,,PRECINCT 105 36 DISTRICT,FISHERVILLE BAPT CH GYM,14910 TAYLORSVILLE RD LOUISVILLE KY 40023
KY,county,,STILLWATER-6,CAMPTON ELEMENTARY SCHOOL,120 LITTLE WOLFE DRIVE CAMPTON KY 41301
KY,county,,PRECINCT 109 36 DISTRICT,FISHERVILLE BAPT CH GYM,14910 TAYLORSVILLE RD LOUISVILLE KY 40023
KY,county,,NEW HOPE,NEW HOPE CHURCH,7680 NEW HOPE CHURCH RD PADUCAH KY 42001
KY,county,,PRECINCT 107 36 DISTRICT,FISHERVILLE BAPT CH GYM,14910 TAYLORSVILLE RD LOUISVILLE KY 40023
KY,county,,SOUTH SIMPSON,LAKE SPRING BAP FELLOWSHIP HALL,1429 LAKE SPRING RD FRANKLIN KY 42134
KY,county,,PRECINCT 141 42 DISTRICT,UNITED CRESCENT HILL,150 STATE ST LOUISVILLE KY 40206
KY,county,,GRIDER POND,NATCHER ELEMENTARY SCHOOL,1434 CAVE MILL RD BOWLING GREEN KY 42104
KY,county,,PRECINCT 142 42 DISTRICT,UNITED CRESCENT HILL,150 STATE ST LOUISVILLE KY 40206
KY,county,,"OWENTON, INC",OWEN CO JUDGE EXECUTIVE'S OFFICE,COURTHOUSE OWENTON KY 40359
KY,county,,GYM,HAZARD MEMORIAL GYM,101 MEMORIAL DR HAZARD KY 41701
KY,county,,PRECINCT 104 40 DISTRICT,ENGINE COMPANY #16,1500 S 6TH ST LOUISVILLE KY 40208
KY,county,,BURLINGTON #4,BURLINGTON FIREHOUSE,6050 FIREHOUSE DR BURLINGTON KY 41005
KY,county,,PRECINCT 148 40 DISTRICT,GUTERMUTH ELEM SCH GYM,1500 SANDERS LN LOUISVILLE KY 40216
KY,county,,PRECINCT 119 40 DISTRICT,GUTERMUTH ELEM SCH GYM,1500 SANDERS LN LOUISVILLE KY 40216
KY,county,,MAXON,NATIONAL GUARD ARMORY,8000 OLD US HIGHWAY 60 WEST PADUCAH KY 42086
KY,county,,PRECINCT 109 30 DISTRICT,THOMAS JEFFERSON MID SCH,1501 RANGELAND RD LOUISVILLE KY 40219
KY,county,,SUFFOLETTA,SOUTHERN ELEMENTARY SCHOOL,1200 FAIRFAX WAY GEORGETOWN KY 40324
KY,county,,NORTH CLAY,CLAY COMMUNITY CENTER,9108 ST. RT. 132 W CLAY KY 42404
KY,county,,PRECINCT 129 42 DISTRICT,SAINT STEPHENS BAPT CH,1508 W KENTUCKY ST LOUISVILLE KY 40210
KY,county,,WEST 11TH STREET,PARKER BENNETT CURRY ELEMENTARY,165 WEBB DR BOWLING GREEN KY 42101
KY,county,,PRECINCT 130 42 DISTRICT,SAINT STEPHENS BAPT CH,1508 W KENTUCKY ST LOUISVILLE KY 40210
KY,county,,PRECINCT 147 41 DISTRICT,SAINT STEPHENS BAPT CH,1508 W KENTUCKY ST LOUISVILLE KY 40210
KY,county,,PRECINCT 114 28 DISTRICT,WILKERSON TRAD ELEM SCH GYM,5601 JOHNSONTOWN RD LOUISVILLE KY 40272
KY,county,,PRECINCT 105 42 DISTRICT,H TEMPLE SPEARS RET COMM,1515 CYPRESS ST LOUISVILLE KY 40210
KY,county,,FLEMING,MOREHEAD CONFERENCE CENTER,111 E FIRST ST MOREHEAD KY 40351
KY,county,,PRECINCT 133 42 DISTRICT,H TEMPLE SPEARS RET COMM,1515 CYPRESS ST LOUISVILLE KY 40210
KY,county,,FLORENCE STATION,FREEMONT BAPTIST CHURCH,8425 OLD MAYFIELD RD PADUCAH KY 42003
KY,county,,PRECINCT 148 42 DISTRICT,H TEMPLE SPEARS RET COMM,1515 CYPRESS ST LOUISVILLE KY 40210
KY,county,,ROCKFIELD,ROCKFIELD ELEMENTARY SCHOOL,7597 RUSSELLVILLE RD BOWLING GREEN KY 42101
KY,county,,PRECINCT 114 36 DISTRICT,HIGHVIEW BAPT CH EAST CAMPUS,15201 SHELBYVILLE RD LOUISVILLE KY 40245
KY,county,,CHURCH STREET,PARKER BENNETT CURRY ELEMENTARY,165 WEBB DR BOWLING GREEN KY 42101
KY,county,,PRECINCT 121 36 DISTRICT,HIGHVIEW BAPT CH EAST CAMPUS,15201 SHELBYVILLE RD LOUISVILLE KY 40245
KY,county,,PRECINCT 125 36 DISTRICT,HIGHVIEW BAPT CH EAST CAMPUS,15201 SHELBYVILLE RD LOUISVILLE KY 40245
KY,county,,PRECINCT 115 28 DISTRICT,WILKERSON TRAD ELEM SCH GYM,5601 JOHNSONTOWN RD LOUISVILLE KY 40272
KY,county,,PRECINCT 131 36 DISTRICT,HIGHVIEW BAPT CH EAST CAMPUS,15201 SHELBYVILLE RD LOUISVILLE KY 40245
KY,county,,PRECINCT 105 35 DISTRICT,AMVETS POST #9,1567 S SHELBY ST LOUISVILLE KY 40217
KY,county,,GRAHAMVILLE,WEST MCCRACKEN FIRE DEPT,9340 OGDEN LANDING RD WEST PADUCAH KY 42086
KY,county,,PRECINCT 144 42 DISTRICT,AMVETS POST #9,1567 S SHELBY ST LOUISVILLE KY 40217
KY,county,,JENNINGS,HENRY F MOSS MIDDLE SCHOOL,2565 RUSSELLVILLE RD BOWLING GREEN KY 42101
KY,county,,PRECINCT 145 42 DISTRICT,AMVETS POST #9,1567 S SHELBY ST LOUISVILLE KY 40217
KY,county,,DELAFIELD,PARKER BENNETT CURRY ELEMENTARY,165 WEBB DR BOWLING GREEN KY 42101
KY,county,,PRECINCT 131 42 DISTRICT,AMVETS POST #9,1567 S SHELBY ST LOUISVILLE KY 40217
KY,county,,PRECINCT 159 42 DISTRICT,AMVETS POST #9,1567 S SHELBY ST LOUISVILLE KY 40217
KY,county,,PRECINCT 181 29 DISTRICT,WHEELER ELEM SCH GYM,5700 CYNTHIA DR LOUISVILLE KY 40291
