county_name,precinct_id,name,address,polling_place_type
Adams,01-39-01,Adams County Courthouse,"602 Adams Ave, Hettinger, ND, 58639",polling_place
Barnes,02-24-01,Valley City City Hall,"220 3rd St NE, Valley City, ND, 58072",polling_place
Barnes,02-24-02,V.C. Police Station,"216 2nd Ave, Valley City, ND, 58072",polling_place
Barnes,02-24-03,V.C. University,"101 College St SW, Valley City, ND, 58072",polling_place
Barnes,02-24-04,W.E. Osmon Field House,"730 8th Ave SW, Valley City, ND, 58072",polling_place
Barnes,02-24-05,Sheyenne Care Center,"979 Central Ave N, Valley City, ND, 58072",polling_place
Barnes,02-24-06,Sibley Sodbusters Club,"11922 14th St SE, Sibley, ND, 58429",polling_place
Barnes,02-24-07,Wimbledon Commu. Hall,"208 Central St, Wimbledon, ND, 58492",polling_place
Barnes,02-24-08,Edna Fire Hall,"244 2nd Ave, Leal, ND, 58479",polling_place
Barnes,02-24-09,Sanborn Commu. Hall,"604 5th Ave, Sanborn, ND, 58480",polling_place
Barnes,02-24-10,Barnes Co. Hwy. Department,"1525 12th St NW, Valley City, ND, 58072",polling_place
Barnes,02-24-11,Barnes Co. Courthouse,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,02-24-12,Oriska Public School,"502 2nd Ave, Oriska, ND, 58063",polling_place
Barnes,02-24-13,Fingal City Hall,"320 3rd St, Fingal, ND, 58031",polling_place
Barnes,02-24-14,Kathryn Fire Hall,"305 1st Ave, Kathryn, ND, 58049",polling_place
Barnes,02-24-15,Litchville Commu. Hall,"507 3rd Ave, Litchville, ND, 58461",polling_place
Benson,03-14-01,Benson County Courthouse,"311 B Ave S, Minnewaukan, ND, 58351",polling_place
Benson,03-14-02,Benson County Courthouse,"311 B Ave S, Minnewaukan, ND, 58351",polling_place
Benson,03-14-03,Benson County Courthouse,"311 B Ave S, Minnewaukan, ND, 58351",polling_place
Benson,03-14-04,Benson County Courthouse,"311 B Ave S, Minnewaukan, ND, 58351",polling_place
Benson,03-23-05,Benson County Courthouse,"311 B Ave S, Minnewaukan, ND, 58351",polling_place
Benson,03-23-06,Benson County Courthouse,"311 B Ave S, Minnewaukan, ND, 58351",polling_place
Benson,03-23-07,Precinct 7 - Ft. Totten Community Center,"816 3rd Ave. N, Fort Totten, ND, 58335",polling_place
Benson,03-23-08,Precinct 8 - Warwick Fire Hall,"215 Griffin St., Warwick, ND, 58381",polling_place
Billings,04-39-01,Medora Courthouse Courtroom,"495 4th St, Medora, ND, 58645",polling_place
Billings,04-39-02,Fairfield Firehall,"12825 20th St SW, Fairfield, ND, 58627",polling_place
Billings,04-39-03,Fryburg,"Billings County Fire Hall, Fryburg, ND, 58622",polling_place
Bottineau,,Bottineau County Courthouse,"314 W 5th St Bottineau, ND 58318",vote_center
Bottineau,,Gateway Hotel,"95 1st Ave W Westhope, ND 58793",vote_center
Bottineau,,Lansford Mall,"711 Main St Lansford, ND 58750",vote_center
Bowman,06-39-01,Bowman City # 1 - Bowman City Hall,"101 First St NE, Bowman, ND, 58623",polling_place
Bowman,06-39-02,South - Four Seasons # 2 - Bowman Four Seasons Bld,"12 Hwy 12 East, Bowman, ND, 58623",polling_place
Bowman,06-39-03,West - Rhame # 3 - Rhame American Legion Hall,"56 Main Street North, Rhame, ND, 58651",polling_place
Bowman,06-39-04,East - Scranton # 4 - Scranton Fire Hall,"103 Main Street, Scranton, ND, 58653",polling_place
Burke,07-02-01,Burke County Courthouse-Vote by Mail Polling Place,"103 Main St NW, Bowbells, ND, 58721",polling_place
Burke,07-02-02,Burke County Courthouse-Vote by Mail Polling Place,"103 Main St NW, Bowbells, ND, 58721",polling_place
Burke,07-02-03,Burke County Courthouse-Vote by Mail Polling Place,"103 Main St NW, Bowbells, ND, 58721",polling_place
Burke,07-02-04,Burke County Courthouse-Vote by Mail Polling Place,"103 Main St NW, Bowbells, ND, 58721",polling_place
Burke,07-02-05,Burke County Courthouse-Vote by Mail Polling Place,"103 Main St NW, Bowbells, ND, 58721",polling_place
Burke,07-02-06,Burke County Courthouse-Vote by Mail Polling Place,"103 Main St NW, Bowbells, ND, 58721",polling_place
Burleigh,08-07-01,First Evangelical,"205 43rd Ave NE, Bismarck, ND, 58503",polling_place
Burleigh,08-08-01,Wilton County Shop,"30300 93rd St NE, Wilton, ND, 58579",polling_place
Burleigh,08-28-01,Sterling School,"118 McKenzie St, Sterling, ND, 58572",polling_place
Burleigh,08-30-01,United Tribes Technical College,"3315 University Dr, Bismarck, ND, 58504",polling_place
Burleigh,08-32-01,Riverside School,"406 S Anderson St, Bismarck, ND, 58504",polling_place
Burleigh,08-35-01,Highland Acres School,"1200 Prairie Dr, Bismarck, ND, 58501",polling_place
Burleigh,08-47-01,Horizon Middle School,"500 Ash Coulee Dr, Bismarck, ND, 58503",polling_place
Burleigh,08-07-02,Evangel Assembly of God,"3225 N 14th St, Bismarck, ND, 58503",polling_place
Burleigh,08-08-02,Wilton County Shop,"30300 93rd St NE, Wilton, ND, 58579",polling_place
Burleigh,08-28-02,Menoken School,"412 Bismarck St N, Menoken, ND, 58558",polling_place
Burleigh,08-30-02,Senior Center,"315 N 20th St, Bismarck, ND, 58501",polling_place
Burleigh,08-32-02,Roosevelt School,"613 W Avenue B, Bismarck, ND, 58501",polling_place
Burleigh,08-35-02,State Capitol Building,"600 E Boulevard Ave, Bismarck, ND, 58501",polling_place
Burleigh,08-47-02,Gateway Mall,"2700 State St, Bismarck, ND, 58503",polling_place
Burleigh,08-07-03,The Element,"3220 N 19th Street, Bismarck, ND, 58503",polling_place
Burleigh,08-08-03,Wing Fire Hall,"2 2nd Ave W, Wing, ND, 58494",polling_place
Burleigh,08-28-03,Burleigh County 4H Building,"3715 E Bismarck Expressway, Bismarck, ND, 58501",polling_place
Burleigh,08-30-03,Lord of Life Lutheran Church,"1143 N 26th St, Bismarck, ND, 58501",polling_place
Burleigh,08-32-03,Bismarck Civic Center,"601 E Sweet Ave, Bismarck, ND, 58504",polling_place
Burleigh,08-35-03,Northridge School,"1727 N 3rd St, Bismarck, ND, 58501",polling_place
Burleigh,08-47-03,Grimsrud School,"716 W St Benedict Dr, Bismarck, ND, 58501",polling_place
Burleigh,08-07-04,Sunrise School,"3800 Nickerson Ave, Bismarck, ND, 58503",polling_place
Burleigh,08-08-04,Burleigh County 4H Building,"3715 E Bismarck Expressway, Bismarck, ND, 58501",polling_place
Burleigh,08-30-04,Solheim School,"325 Munich Dr, Bismarck, ND, 58504",polling_place
Burleigh,08-32-04,Bismarck Civic Center,"601 E Sweet Ave, Bismarck, ND, 58504",polling_place
Burleigh,08-35-04,Pioneer School,"1400 E Braman Ave, Bismarck, ND, 58501",polling_place
