county_name,precinct_id,name,address,polling_place_type
Adams,01,Adams County Courthouse,"602 Adams Ave, Hettinger, ND, 58639",polling_place
Adams,01,Adams County VBM Polling Place,"602 Adams Ave, Hettinger, ND, 58639",polling_place
Barnes,01,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,02,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,03,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,04,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,05,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,06,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,07,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,08,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,09,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,10,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,11,Barnes Co. Courthouse,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,12,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,13,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,14,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Barnes,15,Barnes Co. Courthouse 11,"230 4th St NW, Valley City, ND, 58072",polling_place
Benson,01,Precinct 1 & 2 - Benson County Courthouse,"311 B Ave S, Minnewaukan, ND, 58351",polling_place
Benson,02,Precinct 1 & 2 - Benson County Courthouse,"311 B Ave S, Minnewaukan, ND, 58351",polling_place
Benson,03,Precinct 3 - Ft. Totten Community Center,"816 3rd Ave. N, Fort Totten, ND, 58335",polling_place
Benson,04,Precinct 4 - Warwick Fire Hall,"215 Griffin St., Warwick, ND, 58381",polling_place
Billings,01,Medora Courthouse Courtroom,"495 4th St, Medora, ND, 58645",vote_center
Billings,02,Medora Courthouse Courtroom,"495 4th St, Medora, ND, 58645",vote_center
Billings,03,Medora Courthouse Courtroom,"495 4th St, Medora, ND, 58645",vote_center
Bottineau,01,04 Westhope City Hall,"Westhope City Hall, Westhope, ND, 58793",vote_center
Bottineau,01,10 Lansford Mall,"Lansford Mall, Lansford, ND, 58750",vote_center
Bottineau,01,Cobblestone Inn & Suites,"1109 11th St E, Bottineau, ND, 58318",vote_center
Bottineau,02,04 Westhope City Hall,"Westhope City Hall, Westhope, ND, 58793",vote_center
Bottineau,02,10 Lansford Mall,"Lansford Mall, Lansford, ND, 58750",vote_center
Bottineau,02,Cobblestone Inn & Suites,"1109 11th St E, Bottineau, ND, 58318",vote_center
