state,election_date,jurisdiction_type,county_name,precinct_name,name,address,polling_location_type
PA,2012-11-06,county,,OLEY TWP - 2ND PRECINCT,CHRIST LUTHERAN CHURCH,325 COVERED BRIDGE RD OLEY PA 19547,polling_location
PA,2012-11-06,county,,ERIE FIRST WARD 5TH DISTRICT,WAYNE SCHOOL,6TH AND EAST AVE ERIE PA 16503,polling_location
PA,2012-11-06,county,,CHELTENHAM 2-4,CHELTENHAM HIGH SCHOOL,500 RICES MILL RD WYNCOTE PA 19095,polling_location
PA,2012-11-06,county,,MT LEBANON 01 07,LINCOLN ELEMENTARY SCHOOL,2 RALSTON PL MT LEBANON PA,polling_location
PA,2012-11-06,county,,MCKEAN TOWNSHIP EAST DISTRICT,ST. FRANCIS XAVIER PARISH CENTER,8880 W MAIN RD MCKEAN PA 16426,polling_location
PA,2012-11-06,county,,YEADON BOROUGH 7TH PRECINCT,BELL AVENUE ELEMENTARY SCHOOL,1000 BELL AVE YEADON PA 19050,polling_location
PA,2012-11-06,county,,MIDDLETOWN TWP UPPER 7,MAPLE POINT MIDDLE SCHOOL,2250 LANGHORNE/YARDLEY RD LANGHORNE PA 19047,polling_location
PA,2012-11-06,county,,HORSHAM 2-2,SIMMONS ELEMENTARY SCHOOL,411 BABYLON RD HORSHAM PA 19044,polling_location
PA,2012-11-06,county,,FERNDALE(B)#2,"FERNDALE  HIGH SCHOOL, GYMNASIUM",600 HARLAN AVE JOHNSTOWN PA,polling_location
PA,2012-11-06,county,,EAST NORRITON 2-4,AUTOMOBILE DEALERS ASSN,3311 SWEDE RD NORRISTOWN PA 19401,polling_location
PA,2012-11-06,county,,CHELTENHAM 1-1,GLENSIDE ELEMENTARY SCHOOL,400 HARRISON AVE GLENSIDE PA 19038,polling_location
PA,2012-11-06,county,,PEN ARGYL BORO 3RD WARD,LOOKOUT FIRE COMPANY &amp;amp; MUNICIPAL BUILDING,11-13 N ROBINSON AVE  PA,polling_location
PA,2012-11-06,county,,EAST NORRITON 2-3,TEAMSTERS HALL,2910 HANNAH AVE NORRISTOWN PA 19403,polling_location
PA,2012-11-06,county,,BRISTOL TWP 4TH 3RD,MAPLE SHADE ELEMENTARY SCHOOL,2335 PROSPECT AVE CROYDON PA 19021,polling_location
PA,2012-11-06,county,,HORSHAM 3-5,HATBORO-HORSHAM HIGH SCHOOL,899 HORSHAM RD HORSHAM PA 19044,polling_location
PA,2012-11-06,county,,SALTILLO BOROUGH,SALTILLO BOROUGH COMMUNITY BUILDING,7645 MASTODON DR SALTILLO PA 17253,polling_location
PA,2012-11-06,county,,ASPINWALL 00 01,ASPINWALL NEW BORO BUILDING,217 COMMERCIAL AVE ASPINWALL PA,polling_location
PA,2012-11-06,county,,CHELTENHAM 5-1,GRATZ COLLEGE,7605 OLD YORK RD ELKINS PARK PA 19027,polling_location
PA,2012-11-06,county,,SUMMERHILL(B),SUMMERHILL BOROUGH MUNICIPAL BLDG.,524 MAIN ST SUMMERHILL PA,polling_location
PA,2012-11-06,county,,BRADFORD CITY - 2ND WD,THE FIRST PRESBYTERIAN CHURCH,54 E CORYDON ST BRADFORD PA 16701,polling_location
PA,2012-11-06,county,,CHELTENHAM 4-2,CHELTENHAM SCHOOL ADMIN BUILDING,1000 ASHBOURNE (&amp;amp; WASHINGTON LN) RD ELKINS PARK PA 19027,polling_location
PA,2012-11-06,county,,CHELTENHAM 3-1,ALL HALLOWS CHURCH,262 BENT RD WYNCOTE PA 19095,polling_location
PA,2012-11-06,county,,CHELTENHAM 7-2,BERACHAH CHURCH,400 ASHBOURNE RD CHELTENHAM PA 19012,polling_location
PA,2012-11-06,county,,TINICUM TOWNSHIP 5TH WARD,TINICUM SCHOOL,FIRST &amp;amp; SENECA STS ESSINGTON PA 19029,polling_location
PA,2012-11-06,county,,CHELTENHAM 6-3,ELKINS PARK SCHOOL,8149 NEW SECOND ST ELKINS PARK PA 19027,polling_location
PA,2012-11-06,county,,DUBOIS CITY - 2ND WARD,VOLUNTEER HOSE HOUSE,33 E PARK AVE DUB0IS PA 15801,polling_location
