state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
PA,2018-11-06,county,ALLEGHENY,1881016,PITTSBURGH 10 16,BROTHERS & SISTERS EMERGING,"5315 HILLCREST ST, PITTSBURGH, PA 15224"
PA,2018-11-06,county,ALLEGHENY,1881017,PITTSBURGH 10 17,THE THOMAS MERTON CENTER,"5129 PENN AVE, PITTSBURGH, PA 15224"
PA,2018-11-06,county,ALLEGHENY,1881018,PITTSBURGH 10 18,BETHESDA TEMPLE 1ST FLOOR HALL,"5000 DEARBORN ST, PITTSBURGH, PA 15224"
PA,2018-11-06,county,ALLEGHENY,1881019,PITTSBURGH 10 19,BROTHERS & SISTERS EMERGING,"5315 HILLCREST ST, PITTSBURGH, PA 15224"
PA,2018-11-06,county,ALLEGHENY,1881101,PITTSBURGH 11 01,FULTON SCH KINDERGARTEN ROOM #2,"5799 HAMPTON ST, PITTSBURGH, PA"
PA,2018-11-06,county,ALLEGHENY,1881102,PITTSBURGH 11 02,LAURENTIAN HALL,"5321 PENN AVE, PITTSBURGH, PA 15224"
PA,2018-11-06,county,ALLEGHENY,1881103,PITTSBURGH 11 03,EAST LIBERTY LUTHERAN CHURCH WOLF HALL,"5707 PENN AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881104,PITTSBURGH 11 04,LAURENTIAN HALL,"5321 PENN AVE, PITTSBURGH, PA 15224"
PA,2018-11-06,county,ALLEGHENY,1881105,PITTSBURGH 11 05,VALLEYVIEW PRESBYTERIAN CHURCH,"601 N AIKEN AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881106,PITTSBURGH 11 06,MT ARARAT COMMUNITY CENTER,"745 N NEGLEY AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881107,PITTSBURGH 11 07,FULTON SCH KINDERGARTEN ROOM #2,"5799 HAMPTON ST, PITTSBURGH, PA"
PA,2018-11-06,county,ALLEGHENY,1881108,PITTSBURGH 11 08,ST ANDREWS EPISCOPAL CHURCH,"5801 HAMPTON ST, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881109,PITTSBURGH 11 09,ST ANDREWS EPISCOPAL CHURCH,"5801 HAMPTON ST, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881110,PITTSBURGH 11 10,FARM HOUSE 1ST FLOOR,"1340 FARM HOUSE DR, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881111,PITTSBURGH 11 11,MT ARARAT COMMUNITY CENTER,"745 N NEGLEY AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881112,PITTSBURGH 11 12,DILLWORTH SCHOOL-GYM,"6200 STANTON AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881113,PITTSBURGH 11 13,DILLWORTH SCHOOL-GYM,"6200 STANTON AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881114,PITTSBURGH 11 14,DILLWORTH SCHOOL-GYM,"6200 STANTON AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881115,PITTSBURGH 11 15,PENTECOSTAL TEMPLE NARTHEX,"6300 E LIBERTY BLVD, PITTSBURGH, PA"
PA,2018-11-06,county,ALLEGHENY,1881116,PITTSBURGH 11 16,RODMAN STREET BAPTIST CHURCH,"6111 RODMAN ST, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881117,PITTSBURGH 11 17,MT ARARAT COMMUNITY CENTER,"745 N NEGLEY AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881118,PITTSBURGH 11 18,RODMAN STREET BAPTIST CHURCH,"6111 RODMAN ST, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881201,PITTSBURGH 12 01,"KINGSLEY HOUSE, PAULSON AVE EN","6435 FRANKSTOWN AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881202,PITTSBURGH 12 02,6TH MT ZION BAPT CH LINC AVE ENT,"6556 SHETLAND ST, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881203,PITTSBURGH 12 03,"KINGSLEY HOUSE, PAULSON AVE EN","6435 FRANKSTOWN AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881204,PITTSBURGH 12 04,"KINGSLEY HOUSE, PAULSON AVE EN","6435 FRANKSTOWN AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881205,PITTSBURGH 12 05,"KINGSLEY HOUSE, PAULSON AVE EN","6435 FRANKSTOWN AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881206,PITTSBURGH 12 06,"KINGSLEY HOUSE, PAULSON AVE EN","6435 FRANKSTOWN AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881207,PITTSBURGH 12 07,PAULSON RECREATION CENTER FIRST FL,"1201 PAULSON AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881208,PITTSBURGH 12 08,HOMEWOOD/BRUSHTON YWCA MULTI PR RM,"6907 FRANKSTOWN AVE, PITTSBURGH, PA"
PA,2018-11-06,county,ALLEGHENY,1881209,PITTSBURGH 12 09,HOMEWOOD/BRUSHTON YWCA MULTI PR RM,"6907 FRANKSTOWN AVE, PITTSBURGH, PA"
PA,2018-11-06,county,ALLEGHENY,1881210,PITTSBURGH 12 10,PAULSON RECREATION CENTER,"1201 PAULSON AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881211,PITTSBURGH 12 11,#15 ENGINE HOUSE,"7024 LEMINGTON AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881212,PITTSBURGH 12 12,#15 ENGINE HOUSE,"7024 LEMINGTON AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881213,PITTSBURGH 12 13,#15 ENGINE HOUSE,"7024 LEMINGTON AVE, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881214,PITTSBURGH 12 14,CHADWICK RECREATION CENTER,"1462 OBERLIN ST, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881215,PITTSBURGH 12 15,CHADWICK RECREATION CENTER,"1462 OBERLIN ST, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881216,PITTSBURGH 12 16,CHADWICK RECREATION CENTER,"1462 OBERLIN ST, PITTSBURGH, PA 15206"
PA,2018-11-06,county,ALLEGHENY,1881301,PITTSBURGH 13 01,CARNEGIE LIBRARY OF PGH,"7101 HAMILTON AVE, PITTSBURGH, PA 15208"
PA,2018-11-06,county,ALLEGHENY,1881302,PITTSBURGH 13 02,HOMEWOOD HOUSE COM RM SIDE ENT,"7130 FRANKSTOWN AVE, PITTSBURGH, PA"
PA,2018-11-06,county,ALLEGHENY,1881303,PITTSBURGH 13 03,LINCOLN INTERMEDIATE SCHOOL,"7109 HERMITAGE ST, PITTSBURGH, PA"
PA,2018-11-06,county,ALLEGHENY,1881304,PITTSBURGH 13 04,LINCOLN INTERMEDIATE SCHOOL,"7109 HERMITAGE ST, PITTSBURGH, PA"
