precinct_id,electoral_district_id
77160001,991
77160002,991
77160003,991
77160007,991
77160008,991
77160009,991
77160011,991
77160013,991
77160014,991
77160015,991
77160017,991
77160019,991
77160020,991
77160021,991
77160025,991
77160026,991
77160027,991
77160029,991
77160030,991
77160031,991
77160032,991
77160033,991
77160034,991
77160035,991
77160036,991
77160037,991
77160038,991
77160039,991
77160040,991
77160041,991
77160042,991
77160043,991
77160045,991
77160046,991
77160048,991
77160049,991
77160050,991
77160051,991
77160053,991
77170001,991
77170003,991
77170004,991
77170005,991
77170007,991
77170008,991
77170009,991
77170010,991
77170011,991
77340001,991
77340002,991
77340003,991
77340004,991
77340005,991
77340006,991
77340007,991
77340008,991
77340009,991
77340010,991
77690001,991
77690003,991
77690004,991
77690008,991
77690012,991
77690013,991
77690014,991
77690015,991
77690016,991
77690019,991
77690032,991
77690033,991
77690041,991
77690049,991
77690050,991
77690051,991
77690052,991
77690053,991
77690054,991
77690055,991
77690056,991
77690057,991
77690058,991
77690059,991
77690060,991
77690061,991
77690062,991
77690063,991
77550001,992
77550002,992
77550003,992
77550004,992
77550005,992
77550006,992
77550007,992
77550008,992
77550009,992
77550010,992
77550011,992
77550012,992
77550013,992
77550014,992
77550015,992
77550016,992
77550017,992
77550018,992
77550019,992
77550020,992
77550021,992
77550022,992
77550023,992
77550024,992
77550025,992
77550026,992
77550027,992
77550028,992
77550029,992
77550030,992
77550031,992
77550032,992
77550033,992
77550034,992
77550035,992
77550036,992
77550037,992
77550038,992
77550039,992
77550040,992
77550041,992
77550042,992
77550043,992
77550044,992
77550045,992
77550046,992
77550047,992
77550048,992
77550049,992
77550050,992
77550051,992
77550052,992
77550053,992
77550054,992
77550055,992
77550056,992
77550057,992
77550058,992
77550059,992
77550060,992
77550061,992
77550062,992
77550063,992
77550064,992
77550065,992
77550066,992
77550067,992
77550068,992
77550069,992
77550070,992
77550071,992
77550072,992
77550073,992
77550074,992
77550075,992
77550076,992
77550077,992
77550078,992
77550079,992
77550080,992
77550081,992
77550082,992
77550083,992
77550084,992
77550085,992
77550086,992
77550087,992
77550088,992
77550089,992
77550090,992
77550091,992
77550092,992
77550093,992
77550094,992
77550095,992
77550096,992
77550097,992
77550098,992
77550099,992
77550100,992
77550101,992
77550102,992
77550103,992
77550104,992
77550105,992
77550106,992
77550107,992
77550108,992
77550109,992
77550110,992
77550111,992
77550112,992
77550113,992
77550114,992
77550115,992
77550116,992
77550117,992
77550118,992
77550119,992
77550120,992
77550121,992
77550122,992
77550123,992
77550124,992
77550125,992
77550126,992
77550127,992
77550128,992
77550129,992
77550130,992
77550131,992
77550132,992
77550133,992
77550134,992
77550135,992
77550136,992
77550137,992
77550138,992
77550139,992
77550140,992
77550141,992
77550142,992
77550143,992
77550144,992
77550145,992
77550146,992
77550147,992
77550148,992
77550149,992
77550150,992
77550151,992
77550152,992
77550153,992
77550154,992
77550155,992
77550156,992
