address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,polling_hours,photo_url,id
"DAHLONEGAH SCHOOL","DAHLONEGAH SCHOOL","RT 1 BOX 351",,"STILWELL",OK,74960,,7:00 AM - 7:00 PM,,8811612
"PROCTOR COMMUNITY BUILDING","PROCTOR COMMUNITY BUILDING","P.O. BOX 193",,"PROCTOR",OK,74457,,7:00 AM - 7:00 PM,,8811614
"FOUR CORNER CHURCH OF CHRIST","FOUR CORNERS CHURCH OF CHRIST","HWY 100 EAST",,"STILWELL",OK,74960,,7:00 AM - 7:00 PM,,8811622
"WARDVILLE COMMUNITY CENTER","100 N. MAIN STREET","",,"WARDVILLE",OK,74576,,7:00 AM - 7:00 PM,,8823706
"CANTON COMMUNITY CENTER","301 NORTH GARFIELD","",,"CANTON",OK,73724,,7:00 AM - 7:00 PM,,8811610
"MEAD BAPTIST CHURCH","321 SOUTH CHURCH STREET","",,"MEAD",OK,73449,,7:00 AM - 7:00 PM,,8811256
"FIRST BAPTIST CHURCH","700 W. PETREE ROAD","PETREE AND MISSION",,"ANADARKO",OK,73005,,7:00 AM - 7:00 PM,,8811266
"TRINITY BAPTIST CHURCH YUKON","620 N CEMETERY RD","(NORTH ENTRANCE)",,"YUKON",OK,73099,,7:00 AM - 7:00 PM,,8832892
"MUSTANG NAZARENE CHURCH","700 E HIGHWAY 152","",,"MUSTANG",OK,73064,,7:00 AM - 7:00 PM,,8811297
"PIEDMONT UNITED METHODIST CHUR","2525 N PIEDMONT ROAD","",,"PIEDMONT",OK,73078,,7:00 AM - 7:00 PM,,8811420
"PIEDMONT FIRST BAPTIST CHURCH ","15 JACKSON AVE NW","",,"PIEDMONT",OK,73078,,7:00 AM - 7:00 PM,,8811421
"HFV WILSON COMMUNITY CENTER","625 E. MAIN","",,"ARDMORE",OK,73401,,7:00 AM - 7:00 PM,,8811424
"LONE GROVE COMMUNITY CENTER","32 LILAC STREET","",,"LONE GROVE",OK,73443,,7:00 AM - 7:00 PM,,8811437
"ARMORY MUNICIPAL CENTER","100 N WATER AVE","",,"TAHLEQUAH",OK,74464,,7:00 AM - 7:00 PM,,8811447
"WESLEY UNITED METHODIST CHURCH","504 SOUTH F ST.","",,"HUGO",OK,74743,,7:00 AM - 7:00 PM,,8828550
"FORT TOWSON CITY HALL","112 E VALLIANT","US-70 HWY & SE 1ST ST",,"FORT TOWSON",OK,74735,,7:00 AM - 7:00 PM,,8811475
"LIBRARY","102 S.ELLIS AVE","",,"BOISE CITY",OK,73933,,7:00 AM - 7:00 PM,,8811479
"CALVARY FWB CHURCH","3730 N PORTER","",,"NORMAN",OK,73069,,7:00 AM - 7:00 PM,,8835300
"ST. JOHN'S EPISCOPAL CHURCH","235 W DUFFY","",,"NORMAN",OK,73069,,7:00 AM - 7:00 PM,,8811489
"CALVARY CHAPEL OF NORMAN","1401 W BOYD ST","",,"NORMAN",OK,73069,,7:00 AM - 7:00 PM,,8811492
"HEAVENLY HEIGHTS BAPT. CHURCH","3600 SE 89 ST","",,"OKLAHOMA CITY",OK,73135,,7:00 AM - 7:00 PM,,8811497
"GOODRICH MEM UNITED METHODIST ","200 W HAYES","",,"NORMAN",OK,73069,,7:00 AM - 7:00 PM,,8811192
