state,county_name,municipality,precinct_id,name,address
RI,,COVENTRY,0615,COVENTRY HIGH SCHOOL,"40 RESERVOIR RD, COVENTRY, RI 00000"
RI,,COVENTRY,0616,HOPKINS HILL SCHOOL,"95 JOHNSON BLVD, COVENTRY, RI 00000"
RI,,COVENTRY,0617,SUMMIT BAPTIST CHURCH,"1176 VICTORY HWY, COVENTRY, RI 00000"
RI,,COVENTRY,0618,WESTERN COVENTRY SCHOOL,"4588 FLAT RIVER RD, COVENTRY, RI 00000"
RI,,COVENTRY,0619,COVENTRY TOWN HALL - LIMITED BALLOTS,"1670 FLAT RIVER RD, COVENTRY, RI 00000"
RI,,CRANSTON,0701,ARLINGTON MANOR,"50 BIRCH ST, CRANSTON, RI 00000"
RI,,CRANSTON,0702,ARLINGTON SCHOOL - CAFETERIA,"155 PRINCESS AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0703,SANTA MARIA DIPRATA SOCIETY,"29 WALNUT GROVE AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0704,CRANSTON SENIOR CENTER,"1070 CRANSTON ST, CRANSTON, RI 00000"
RI,,CRANSTON,0705,STADIUM ELEMENTARY SCHOOL,"100 CRESCENT AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0706,CRANSTON CHRISTIAN FELLOWSHIP CHURCH,"1114 SCITUATE AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0707,HOPE HIGHLANDS ELEMENTARY SCHOOL (GYM),"300 HOPE RD, CRANSTON, RI 00000"
RI,,CRANSTON,0708,OAKLAWN SCHOOL (CAFETERIA - BACK LOWER LEVEL),"28 STONEHAM ST, CRANSTON, RI 00000"
RI,,CRANSTON,0709,SCHOFIELD ARMORY,"705 NEW LONDON AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0710,DANIEL WATERMAN ELEMENTARY SCHOOL,"722 PONTIAC AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0711,WESTERN HILLS MIDDLE SCHOOL,"400 PHENIX AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0712,GLEN HILLS SCHOOL,"50 GLEN HILLS DR, CRANSTON, RI 00000"
RI,,CRANSTON,0713,GARDEN CITY SCHOOL,"70 PLANTATION DR, CRANSTON, RI 00000"
RI,,CRANSTON,0714,CRANSTON PORTUGUESE CLUB,"20 2ND AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0715,BUDLONG MANOR - COMMUNITY ROOM,"100 ARTHUR ST, CRANSTON, RI 00000"
RI,,CRANSTON,0716,GEORGE J PETERS SCHOOL,"15 MAYBERRY ST, CRANSTON, RI 00000"
RI,,CRANSTON,0717,EDEN PARK SCHOOL - USE CHESTNUT ST ENTRANCE,"180 OAKLAND AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0718,HORTON SCHOOL,"1196 PARK AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0719,WOODRIDGE ELEMENTARY SCHOOL,"401 BUDLONG RD, CRANSTON, RI 00000"
RI,,CRANSTON,0720,ST DAVID'S ON THE HILL CHURCH,"200 MESHANTICUT VALLEY PKWY, CRANSTON, RI 00000"
RI,,CRANSTON,0721,CRANSTON HIGH SCHOOL EAST (GYM),"899 PARK AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0722,HUGH B. BAIN SCHOOL - USE DUCKWORTH ST ENTRANCE,"135 GANSETT AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0723,EDGEWOOD HIGHLAND ELEMENTARY SCHOOL,"160 PAWTUXET AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0724,WILLIAM HALL LIBRARY,"1825 BROAD ST, CRANSTON, RI 00000"
RI,,CRANSTON,0725,PARK VIEW MIDDLE SCHOOL,"25 PARK VIEW BLVD, CRANSTON, RI 00000"
RI,,CRANSTON,0726,AMERICAN LEGION AUBURN POST 20,"7 LEGION WAY, CRANSTON, RI 00000"
RI,,CRANSTON,0727,SCOTTISH RITE MASONIC CENTER,"2115 BROAD ST, CRANSTON, RI 00000"
RI,,CRANSTON,0728,SCHOFIELD ARMORY,"705 NEW LONDON AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0730,ORCHARD FARMS ELEMENTARY SCHOOL,"1555 SCITUATE AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0731,KELLEY & GAZZERRO VFW POST,"1418 PLAINFIELD PIKE, CRANSTON, RI 00000"
RI,,CRANSTON,0732,CITY HALL - LIMITED,"869 PARK AVE, CRANSTON, RI 00000"
RI,,CUMBERLAND,0801,CHIMNEY HILL APARTMENTS,"2065 MENDON RD, CUMBERLAND, RI 00000"
RI,,CUMBERLAND,0802,CUMBERLAND HIGH SCHOOL,"2600 MENDON RD, CUMBERLAND, RI 00000"
RI,,CUMBERLAND,0803,JOHN J MCLAUGHLIN CUMBERLAND HILL SCHOOL,"205 MANVILLE HILL RD, CUMBERLAND, RI 00000"
RI,,CUMBERLAND,0804,MERCYMOUNT COUNTRY DAY SCHOOL,"35 WRENTHAM RD, CUMBERLAND, RI 00000"
RI,,CUMBERLAND,0805,JOSEPH L MCCOURT MIDDLE SCHOOL,"45 HIGHLAND AVE, CUMBERLAND, RI 00000"
RI,,CUMBERLAND,0806,BEAR HILL VILLAGE,"156 BEAR HILL RD, CUMBERLAND, RI 00000"
RI,,CUMBERLAND,0807,COMMUNITY SCHOOL,"15 ARNOLD MILLS RD, CUMBERLAND, RI 00000"
RI,,CUMBERLAND,0808,DIAMOND HILL SKI LODGE,"4125 DIAMOND HILL RD, CUMBERLAND, RI 00000"
RI,,CUMBERLAND,0809,EMMANUEL EPISCOPAL CHURCH-PARISH HALL,"120 NATE WHIPPLE HWY, CUMBERLAND, RI 00000"
RI,,CUMBERLAND,0810,FATIMA PARISH HALL,"1 FATIMA DR, CUMBERLAND, RI 00000"
RI,,CUMBERLAND,0811,ONE MENDON RD. HOUSING,"1 MENDON RD, CUMBERLAND, RI 00000"
RI,,CUMBERLAND,0812,CUMBERLAND LIBRARY - HAYDEN CENTER,"1464 DIAMOND HILL RD, CUMBERLAND, RI 00000"
RI,,CUMBERLAND,0813,CUMBERLAND HILL FIRE STATION,"3502 MENDON RD, CUMBERLAND, RI 00000"
RI,,CUMBERLAND,0814,TOWN HALL - LIMITED,"45 BROAD ST, CUMBERLAND, RI 00000"
RI,,EAST GREENWICH,0901,EAST GREENWICH HIGH SCHOOL,"300 AVENGER DR, EAST GREENWICH, RI 00000"
RI,,EAST GREENWICH,0902,GEORGE HANAFORD SCHOOL- GYM,"200 MIDDLE RD, EAST GREENWICH, RI 00000"
RI,,EAST GREENWICH,0903,SWIFT COMMUNITY CENTER,"121 PEIRCE ST, EAST GREENWICH, RI 00000"
RI,,EAST GREENWICH,0904,ARCHIE COLE JR. HIGH,"100 CEDAR AVE, EAST GREENWICH, RI 00000"
RI,,EAST GREENWICH,0905,FRENCHTOWN SCHOOL #0908-GYMNASIUM,"1100 FRENCHTOWN RD, EAST GREENWICH, RI 00000"
RI,,EAST GREENWICH,0906,TOWN HALL - LIMITED,"125 MAIN ST, EAST GREENWICH, RI 00000"
