state,county_name,municipality,precinct_id,name,address
RI,,BARRINGTON,101,BARRINGTON HIGH SCHOOL,"220 LINCOLN AVE, BARRINGTON, RI 02806"
RI,,BARRINGTON,102,MIDDLE SCHOOL,"261 MIDDLE HWY, BARRINGTON, RI 02806"
RI,,BARRINGTON,103,NAYATT SCHOOL,"400 NAYATT RD, BARRINGTON, RI 02806"
RI,,BARRINGTON,104,HAMPDEN MEADOWS SCHOOL,"297 NEW MEADOW RD, BARRINGTON, RI 02806"
RI,,BARRINGTON,105,SOWAMS SCHOOL,"364 SOWAMS RD, BARRINGTON, RI 02806"
RI,,BARRINGTON,106,TOWN HALL - LIMITED,"283 COUNTY RD, BARRINGTON, RI 02806"
RI,,BARRINGTON,107,TOWN HALL - PRESIDENT ONLY,"283 COUNTY RD, BARRINGTON, RI 02806"
RI,,BRISTOL,201,ROCKWELL SCHOOL,"1225 HOPE ST, BRISTOL, RI 02809"
RI,,BRISTOL,202,BURNSIDE BUILDING,"400 HOPE ST, BRISTOL, RI 02809"
RI,,BRISTOL,203,QUINTA-GAMELIN CENTER,"101 ASYLUM RD, BRISTOL, RI 02809"
RI,,BRISTOL,204,MOUNT HOPE HIGH SCHOOL,"199 CHESTNUT ST, BRISTOL, RI 02809"
RI,,BRISTOL,205,FIRE DEPARTMENT HEADQUARTERS,"4 ANNAWAMSCUTT DR, BRISTOL, RI 02809"
RI,,BRISTOL,206,RHODE ISLAND VETERANS HOME,"480 METACOM AVE, BRISTOL, RI 02809"
RI,,BRISTOL,207,ROGER WILLIAMS UNIVERSITY NORTH DORMITORY,"1 OLD FERRY RD, BRISTOL, RI 02809"
RI,,BRISTOL,208,FRANKLIN COURT,"150 FRANKLIN ST, BRISTOL, RI 02809"
RI,,BRISTOL,209,ST. ELIZABETH AUDITORIUM,"577 WOOD ST, BRISTOL, RI 02809"
RI,,BRISTOL,210,TOWN HALL - LIMITED,"10 COURT ST, BRISTOL, RI 02809"
RI,,BRISTOL,211,TOWN HALL - PRESIDENT ONLY,"10 COURT ST, BRISTOL, RI 02809"
RI,,BURRILLVILLE,301,STEERE FARM ELEMENTARY SCHOOL,"915 STEERE FARM RD, BURRILLVILLE, RI 02859"
RI,,BURRILLVILLE,302,BECKWITH-BRUCKSHAW MEMORIAL LODGE,"50 LODGE RD, BURRILLVILLE, RI 02859"
RI,,BURRILLVILLE,303,BURRILLVILLE HIGH SCHOOL,"425 EAST AVE, BURRILLVILLE, RI 02830"
