state,jurisdiction_type,county_name,municipality,name,address,polling_place_type,election_date
NM,county,Bernalillo,Albuquerque,VCC 35 - Hayes Middle School,"1100 Texas St NE, Albuquerque, NM, 87110",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 12 - Los Altos Plaza,"4200 Wyoming Blvd NE, Suite B-2, Albuquerque, NM, 87111",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 68 - West Mesa High School,"6701 Fortuna Rd NW, Albuquerque, NM, 87121",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 52 - Onate Elementary School,"12415 Brentwood Hills Blvd NE, Albuquerque, NM, 87112",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,ED - SPARE 01,"SPARE, Albuquerque, NM, 87102",vote_center,11/06/2018
NM,county,Bernalillo,Tijeras,VCC 20 - A Montoya Elementary School,"24 Public School Rd, Tijeras, NM, 87059",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 41 - Jefferson Middle School,"712 Girard Blvd NE, Albuquerque, NM, 87106",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 61 - Valle Vista Elementary School,"1700 Mae Ave SW, Albuquerque, NM, 87105",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,ED - SPARE 08,"SPARE, Albuquerque, NM, 87102",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 26 - Chaparral Elementary School,"6325 Milne Rd NW, Albuquerque, NM, 87120",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 47 - Manzano High School,"12200 Lomas Blvd NE, Albuquerque, NM, 87112",vote_center,11/06/2018
NM,county,Bernalillo,Tijeras,VCC 33 - Forest Meadow Baptist Church,"54 Hwy 217, Tijeras, NM, 87059",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 56 - Rio Grande High School,"2300 Arenal Rd SW, Albuquerque, NM, 87105",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 64 - Ventana Ranch Elementary School,"6801 Ventana Village Rd NW, Albuquerque, NM, 87114",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 24 - Bandelier Elementary School,"3309 Pershing Ave SE, Albuquerque, NM, 87106",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 45 - Lyndon B Johnson Middle School,"6811 Taylor Ranch Rd NW, Albuquerque, NM, 87120",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 54 - Polk Middle School,"2220 Raymac Rd SW, Albuquerque, NM, 87105",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 22 - Albuquerque High School,"800 Odelia Rd NE, Albuquerque, NM, 87102",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 02 - Alameda West,"10131 Coors Rd NW, Suite C-02, Albuquerque, NM, 87114",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,ED - SPARE 06,"SPARE, Albuquerque, NM, 87102",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 31 - Eisenhower Middle School,"11001 Camero Rd NE, Albuquerque, NM, 87111",vote_center,11/06/2018
NM,county,Bernalillo,Sandia Park,VCC 65 - Vista Grande Community Center,"15 La Madera Rd, Sandia Park, NM, 87047",vote_center,11/06/2018
