"PVD* ","NAME ","ADDRESS ","CITY ","ZIP ",
"12-29 ","STATE FIRE SCHOOL ","1461 CHESTNUT GROVE RD ","DOVER ","19904 ",
"13-29 ","NELLIE H STOKES ELEM SCHOOL ","3874 UPPER KING RD ","DOVER ","19904 ",
"01-30 ","WILLOW GROVE CHURCH OF GOD ","90 HONEYSUCKLE RD ","CAM-WYO ","19934 ",
"02-30 ","RURITAN CLUB VIOLA ","29 RURITAN LN ","VIOLA ","19979 ",
"03-30 ","FELTON FIRE HALL ","9 E MAIN ST ","FELTON ","19943 ",
"04-30 ","FELTON FIRE HALL ","9 E MAIN ST ","FELTON ","19943 ",
"05-30 ","LAKE FOREST HIGH SCHOOL ","5407 KILLENS POND RD ","FELTON ","19943 ",
"06-30 ","LAKE FOREST HIGH SCHOOL ","5407 KILLENS POND RD ","FELTON ","19943 ",
"07-30 ","HARRINGTON FIRE HALL ","20 CLARK ST ","HARRINGTON ","19952 ",
"08-30 ","HARRINGTON FIRE HALL ","20 CLARK ST ","HARRINGTON ","19952 ",
"09-30 ","HARRINGTON FIRE HALL ","20 CLARK ST ","HARRINGTON ","19952 ",
"10-30 ","HOUSTON FIRE HALL ","143 BROAD ST ","HOUSTON ","19954 ",
"11-30 ","FARMINGTON FIRE HALL ","20920 S DUPONT HWY ","FARMINGTON ","19950 ",
"12-30 ","FARMINGTON FIRE HALL ","20920 S DUPONT HWY ","FARMINGTON ","19950 ",
"01-31 ","DEL TECH CORP TRAINING CNTR ","400 CAMPUS DR ","DOVER ","19904 ",
"02-31 ","STATE FIRE SCHOOL ","1461 CHESTNUT GROVE RD ","DOVER ","19904 ",
"03-31 ","BPOE #1903 ELKS ","200 S SAULSBURY RD ","DOVER ","19904 ",
"04-31 ","NORTH DOVER ELEM SCHOOL ","855 COLLEGE RD ","DOVER ","19904 ",
"05-31 ","BPOE #1903 ELKS ","200 S SAULSBURY RD ","DOVER ","19904 ",
"06-31 ","WILLIAM HENRY MIDDLE SCHOOL ","65 CARVER RD ","DOVER ","19904 ",
"07-31 ","JOHN W PITTS REC CENTER ","10 ELECTRIC AVE ","DOVER ","19904 ",
"08-31 ","BPOE #1903 ELKS ","200 S SAULSBURY RD ","DOVER ","19904 ",
"09-31 ","FAIRVIEW ELEM SCHOOL ","700 WALKER RD ","DOVER ","19904 ",
"10-31 ","SOUTH DOVER ELEM SCHOOL ","955 S STATE ST ","DOVER ","19901 ",
"11-31 ","JOHN W PITTS REC CENTER ","10 ELECTRIC AVE ","DOVER ","19904 ",
"16-31** ","FEDERAL VOTING DISTRICT-KENT ","100 ENTERPRISE PL STE 5 ","DOVER ","19904 ",
"01-32 ","EAST DOVER ELEM SCHOOL ","852 S LITTLE CREEK RD ","DOVER ","19901 ",
"02-32 ","SOUTH DOVER ELEM SCHOOL ","955 S STATE ST ","DOVER ","19901 ",
"03-32 ","W REILY BROWN ELEM SCHOOL ","360 WEBBS LN ","DOVER ","19901 ",
"04-32 ","W B SIMPSON ELEM SCHOOL ","5 OLD NORTH RD ","CAM-WYO ","19934 ",
"05-32 ","W REILY BROWN ELEM SCHOOL ","360 WEBBS LN ","DOVER ","19901 ",
