county_name,municipality,precinct_id,name,address
BERKELEY,MARTINSBURG,35,VALLEY VIEW ELEMENTARY SCHOOL,"140 NADENBOUSCH LANE, MARTINSBURG, WV 25405"
BERKELEY,BUNKER HILL,36,BUNKER HILL ELEMENTARY SCHOOL,"58 HAPPY SCHOOL AVENUE, BUNKER HILL, WV 25413"
BERKELEY,MARTINSBURG,38,TUSCARORA ELEMENTARY  SCHOOL,"2000 TAVERN ROAD, MARTINSBURG, WV 25401"
BERKELEY,MARTINSBURG,39,JAMES RUMSEY VO TECH,"3274 HEDGESVILLE ROAD, MARTINSBURG, WV 25403"
BERKELEY,MARTINSBURG,40,JAMES RUMSEY VO TECH,"3274 HEDGESVILLE ROAD, MARTINSBURG, WV 25403"
BERKELEY,HEDGESVILLE,41,TOMAHAWK RURITAN CLUB,"12680 BACK CREEK VALLEY ROAD, HEDGESVILLE, WV 25427"
BERKELEY,HEDGESVILLE,42,TOMAHAWK INTERMEDIATE SCHOOL,"6665 HEDGESVILLE ROAD, HEDGESVILLE, WV 25427"
BERKELEY,GERRARDSTOWN,43,GERRARDSTOWN ELEMENTARY SCHOOL,"15 DOMINION ROAD, GERRARDSTOWN, WV 25420"
BERKELEY,HEDGESVILLE,44,MASONIC HALL,"303 NORTH MARY STREET, HEDGESVILLE, WV 25427"
BERKELEY,HEDGESVILLE,45,BACK CREEK VALLEY ELEMENTARY SCHOOL,"1962 BACK CREEK VALLEY ROAD, HEDGESVILLE, WV 25427"
BERKELEY,MARTINSBURG,46,SPRING MILLS PRIMARY SCHOOL,"401 CAMPUS DRIVE, MARTINSBURG, WV 25404"
BERKELEY,HEDGESVILLE,47,BACK CREEK VALLEY ELEMENTARY SCHOOL,"1962 BACK CREEK VALLEY ROAD, HEDGESVILLE, WV 25427"
BERKELEY,HEDGESVILLE,48,THE WOODS RESORT,"1732 THE WOODS ROAD, HEDGESVILLE, WV 25427"
BERKELEY,MARTINSBURG,49,SPRING MILLS PRIMARY SCHOOL,"401 CAMPUS DRIVE, MARTINSBURG, WV 25404"
BERKELEY,MARTINSBURG,50,BEDINGTON ELEMENTARY SCHOOL,"149 BEDINGTON ROAD, MARTINSBURG, WV 25404"
BERKELEY,BUNKER HILL,51,RIDGEWAY COMMUNITY CENTER,"41 SPECKS RUN ROAD, BUNKER HILL, WV 25413"
BERKELEY,HEDGESVILLE,52,HEDGESVILLE ELEMENTARY SCHOOL,"88 SCHOOLHOUSE DRIVE, HEDGESVILLE, WV 25427"
BERKELEY,MARTINSBURG,53,EAGLE SCHOOL INTERMEDIATE,"730 EAGLE SCHOOL ROAD, MARTINSBURG, WV 25404"
BERKELEY,BUNKER HILL,54,MILL CREEK INTERMEDIATE SCHOOL,"8785 WINCHESTER AVENUE, BUNKER HILL, WV 25413"
BERKELEY,MARTINSBURG,55,JAMES RUMSEY VO TECH,"3274 HEDGESVILLE ROAD, MARTINSBURG, WV 25403"
