state,election_date,jurisdiction_type,municipality,precinct_name,name,address
NH,2014-11-04,municipality,NORTHFIELD,,Pines Community Center,61 Summer St Northfield NH 03276
NH,2014-11-04,municipality,NORTHUMBERLAND,,Northumberland Town Hall,10 Station Square St Northumberland NH 03582
NH,2014-11-04,municipality,NORTHWOOD,,St. Joseph's Parish Hall,844 1St Nh Tpke Northwood NH 03261
NH,2014-11-04,municipality,NOTTINGHAM,,Community Center,139 Stage Rd Nottingham NH 03290
NH,2014-11-04,municipality,ORANGE,,Orange Town House,8 Townhouse Rd Orange NH 03741
NH,2014-11-04,municipality,ORFORD,,Rivendell School,1 School Dr Orford NH 03777
NH,2014-11-04,municipality,OSSIPEE,,Ossipee Town Hall,55 Main St Ossipee NH 03814
NH,2014-11-04,municipality,PELHAM,,Pelham High School,85 Marsh Rd Pelham NH 03076
NH,2014-11-04,municipality,PEMBROKE,,Pembroke Three Rivers,School 243 Academy Rd Pembroke NH 03275
NH,2014-11-04,municipality,PETERBOROUGH,,Peterborough Town House,1 Grove St Peterborough NH 03458
NH,2014-11-04,municipality,PIERMONT,,Old Church Building,129 Route 10 Piermont NH 03779
NH,2014-11-04,municipality,PINKHAM'S GRANT,,Gorham Town Hall,20 Park St Pinkham's Grant NH 03581
NH,2014-11-04,municipality,PITTSBURG,,Pittsburg School,12 School St Pittsburg NH 03592
NH,2014-11-04,municipality,PITTSFIELD,,Pittsfield Town Hall,85 Main St Pittsfield NH 03263
NH,2014-11-04,municipality,PLAINFIELD,,Plainfield Elementary School,92 Bonner Rd Plainfield NH 03770
NH,2014-11-04,municipality,PLAISTOW,,Pollard School Gym,120 Main St Plaistow NH 03865
NH,2014-11-04,municipality,PLYMOUTH,,Plymouth Elementary School,43 Old Ward Bridge Rd Plymouth NH 03264
NH,2014-11-04,municipality,PORTSMOUTH ,WARD 01,WARD 01 - New Franklin,School 1 Franklin Dr Portsmouth NH 03801
NH,2014-11-04,municipality,PORTSMOUTH ,WARD 02,WARD 02 - Middle School,155 Parrott Ave Portsmouth NH 03801
NH,2014-11-04,municipality,PORTSMOUTH ,WARD 03,WARD 03 - Robert J. Lister,Academy 35 Sherburne Rd Portsmouth NH 03801
NH,2014-11-04,municipality,PORTSMOUTH ,WARD 04,WARD 04 - Dondero School,32 Van Buren Ave Portsmouth NH 03801
NH,2014-11-04,municipality,PORTSMOUTH ,WARD 05,WARD 05 - Little Harbour,School 50 Clough Dr Portsmouth NH 03801
NH,2014-11-04,municipality,RANDOLPH,,Randolph Town Hall,130 Durand Rd Randolph NH 03593
NH,2014-11-04,municipality,RAYMOND,,Iber Holmes Gove Middle,School 1 Stephen K Batchelder Pkwy Raymond NH 03077
NH,2014-11-04,municipality,RICHMOND,,Veterans Memorial Hall,150 Old Homestead Hwy Richmond NH 03470
NH,2014-11-04,municipality,RINDGE,,Rindge Memorial School,58 School St Rindge NH 03461
NH,2014-11-04,municipality,ROCHESTER ,WARD 01,WARD 01 - Vfw Post 1772,43 Highland St Rochester NH 03868
NH,2014-11-04,municipality,ROCHESTER ,WARD 02,WARD 02 - Saint Mary's,Parish Center 71 Lowell St Rochester NH 03867
NH,2014-11-04,municipality,ROCHESTER ,WARD 03,WARD 03 - Briar Ridge,Estates - Function Room - F/K/A Lilac City Estates 2 Roseberry Ln Rochester NH 03867
NH,2014-11-04,municipality,ROCHESTER ,WARD 04,WARD 04 - Rochester Home,Depot 280 North Main St Rochester NH 03867
NH,2014-11-04,municipality,ROCHESTER ,WARD 05,WARD 05 - Rochester,Community Center - Chestnut Hill Road Entrance 150 Wakefield St Rochester NH 03867
NH,2014-11-04,municipality,ROCHESTER ,WARD 06,WARD 06 - Elks Lodge 1393,41 Columbus Ave Rochester NH 03867
NH,2014-11-04,municipality,ROLLINSFORD,,Rollinsford Town Hall,668 Main St Rollinsford NH 03869
