state,election_date,jurisdiction_type,municipality,precinct_name,name,address
NH,2016-11-08,municipality,ACWORTH,,Acworth Town Hall,13 Town Hall Rd Acworth NH 03601
NH,2016-11-08,municipality,ALBANY,,Albany Town Hall,1972 Route 16 Albany NH 03818
NH,2016-11-08,municipality,ALEXANDRIA,,Old Town Hall,45 Washburn Rd Alexandria NH 03222
NH,2016-11-08,municipality,ALLENSTOWN,,St Jean The Baptist Parish,Hall 10 School St Allenstown NH 03275
NH,2016-11-08,municipality,ALSTEAD,,Town Hall,9 Main St Alstead NH 03602
NH,2016-11-08,municipality,ALTON,,Pearson Road Community &,Senior Center 7 Pearson Rd Alton NH 03809
NH,2016-11-08,municipality,AMHERST,,Souhegan High School,412 Boston Post Rd Amherst NH 03031
NH,2016-11-08,municipality,ANDOVER,,Andover Elementary Middle,School 20 School St Andover NH 03216
NH,2016-11-08,municipality,ANTRIM,,Antrim Town Hall,66 Main St Antrim NH 03440
NH,2016-11-08,municipality,ASHLAND,,William J. Tirone Gymnasium,27 Highland St Ashland NH 03217
NH,2016-11-08,municipality,ATKINSON,,Atkinson Community Center,4 Main St Atkinson NH 03811
NH,2016-11-08,municipality,AUBURN,,Auburn Village School,11 Eaton Hill Rd Auburn NH 03032
NH,2016-11-08,municipality,BARNSTEAD,,Barnstead Town Hall,108 S Barnstead Rd Barnstead NH 03225
NH,2016-11-08,municipality,BARRINGTON,,Barrington Middle School,51 Haley Dr Barrington NH 03825
NH,2016-11-08,municipality,BARTLETT,,Bartlett Town Hall,56 Town Hall Rd Bartlett NH 03845
NH,2016-11-08,municipality,BATH,,Bath Village School,61 Lisbon Rd Bath NH 03740
NH,2016-11-08,municipality,BEDFORD,,Bedford High School,47 Nashua Rd Bedford NH 03110
NH,2016-11-08,municipality,BELMONT,,Belmont High School,255 Seavey Rd Belmont NH 03220
NH,2016-11-08,municipality,BENNINGTON,,Pierce School,19 Main St Bennington NH 03442
NH,2016-11-08,municipality,BENTON,,Benton Town Building,221 Coventry Rd Benton NH 03785
NH,2016-11-08,municipality,BERLIN ,WARD 01,WARD 01 - Precinct 1 - Berlin,Recreation Center - First Avenue Entrance 672 First Ave Berlin NH 03570
NH,2016-11-08,municipality,BERLIN ,WARD 02,WARD 02 - New: Precinct 3 -,St Anne Hall - 304 School Street Entrance 304 School St Berlin NH 03570
NH,2016-11-08,municipality,BERLIN ,WARD 04,WARD 04 - Precinct 4 -,Community Bible Church - Sullivan Street Entrance 593 Sullivan St Berlin NH 03570
NH,2016-11-08,municipality,BETHLEHEM,,Bethlehem Town Hall,2155 Main St Bethlehem NH 03574
NH,2016-11-08,municipality,BOSCAWEN,,Boscawen Town Hall,12 High St Boscawen NH 03303
NH,2016-11-08,municipality,BOW,,Bow Memorial School,20 Bow Center Rd Bow NH 03304
NH,2016-11-08,municipality,BRADFORD,,Bradford Town Hall,75 West Main St Bradford NH 03221
NH,2016-11-08,municipality,BRENTWOOD,,Brentwood Recreation Center,190 Rte 125 Brentwood NH 03833
NH,2016-11-08,municipality,BRIDGEWATER,,Bridgewater Town Hall,297 Mayhew Tpke Bridgewater NH 03222
NH,2016-11-08,municipality,BRISTOL,,Marian Center,17 West Shore Rd Bristol NH 03222
NH,2016-11-08,municipality,BROOKFIELD,,Brookfield Town House,267 Wentworth Rd Brookfield NH 03872
NH,2016-11-08,municipality,BROOKLINE,,Captain Samuel Douglas,Academy 24 Townsend Hill Rd Brookline NH 03033
NH,2016-11-08,municipality,CAMBRIDGE,,Errol Town Hall,33 Main St Cambridge NH 03579
NH,2016-11-08,municipality,CAMPTON,,Campton Municipal Building,12 Gearty Way Campton NH 03223
NH,2016-11-08,municipality,CANAAN,,Canaan Hall,18 Orange Rd Canaan NH 03741
NH,2016-11-08,municipality,CANDIA,,Henry W Moore School,12 Deerfield Rd Candia NH 03034
NH,2016-11-08,municipality,CANTERBURY,,Old Town Hall,11 Center Rd Canterbury NH 03224
NH,2016-11-08,municipality,CARROLL,,Carroll Town Hall/Twin,Mountain 92 School St Carroll NH 03595
