state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,name,address
IL,Adams,Adams County,city/county,10001,CLAYTON PCT 1,CLAYTON AMERICAN LEGION,"111 S PARK ST, CLAYTON, IL, 62324"
IL,Adams,Adams County,city/county,20001,NORTHEAST PCT 1,GOLDEN COMMUNITY CENTER,"307 QUINCY ST, GOLDEN, IL, 62339"
IL,Adams,Adams County,city/county,30001,CAMP POINT PCT 1,ST THOMAS CHURCH PARISH HALL,"105 E SPRING ST, CAMP POINT, IL, 62320"
IL,Adams,Adams County,city/county,30002,CAMP POINT PCT 2,ST THOMAS CHURCH PARISH HALL,"105 E SPRING ST, CAMP POINT, IL, 62320"
IL,Adams,Adams County,city/county,40001,HOUSTON PCT 1,HOUSTON TOWN HALL,"2599 E 2200TH ST, GOLDEN, IL, 62339"
IL,Adams,Adams County,city/county,50001,HONEY CREEK PCT 1,PALOMA COMMUNITY BLDG,"1825 E 1635TH ST, PALOMA, IL, 62359"
IL,Adams,Adams County,city/county,60001,KEENE PCT 1,KEENE TOWN HALL,"108 E SOUTH ST, LORAINE, IL"
IL,Adams,Adams County,city/county,70001,MENDON PCT 1,MENDON TOWN HALL,"139 E SOUTH ST, MENDON, IL, 62351"
IL,Adams,Adams County,city/county,70002,MENDON PCT 2,MENDON TOWN HALL,"139 E SOUTH ST, MENDON, IL, 62351"
IL,Adams,Adams County,city/county,80001,LIMA PCT 1,LIMA TOWN HALL,"502 S RANGE LINE, LIMA, IL, 62348"
IL,Adams,Adams County,city/county,90001,URSA PCT 1,URSA TOWN HALL,"109 S WARSAW ST, URSA, IL, 62376"
IL,Adams,Adams County,city/county,100001,CONCORD PCT 1,CONCORD TOWN HALL,"2718 N 1503RD LN, CLAYTON, IL, 62324"
IL,Adams,Adams County,city/county,110001,MCKEE PCT 1,MCKEE TOWN HALL,"1176 E 2873RD LN, CLAYTON, IL, 62324"
IL,Adams,Adams County,city/county,120001,BEVERLY PCT 1,BEVERLY TOWN HALL,"2690 N 250TH AVE, LIBERTY, IL, 62347"
IL,Adams,Adams County,city/county,130001,COLUMBUS PCT 1,COLUMBUS SHELTER HOUSE,"113 E LIBERTY ST, COLUMBUS, IL, 62328"
IL,Adams,Adams County,city/county,140001,LIBERTY PCT 1,LIBERTY TOWNSHIP HALL,"600 DUDLEY ST, LIBERTY, IL, 62347"
IL,Adams,Adams County,city/county,150001,RICHFIELD PCT 1,RICHFIELD METHODIST CH,"397 E 2050TH ST, PLAINVILLE, IL, 62365"
