Pike,(08) Fernwood School,(08)FERNWOOD SCHOOL,1093 OAK AVE FERNWOOD MS 39635
Pike,(09) Magnolia Comm Ctr.,(09)MAGNOLIA COMM CTR.,235 S CHERRY ST MAGNOLIA MS 39652
Pike,(10) Braswell Education Complex,(10)BRASWELL EDUCATION COMPLEX,1010 HWY 48 E MAGNOLIA MS 39652
Pike,(11) Leggett Community,(11)LEGGETT COMMUNITY,2036 OLD 24 EXT MAGNOLIA MS 39652
Pike,(12) Mepa Bldg. Hwy 98 East,(12)MEPA BLDG. HWY 98 EAST,3012 HWY 98 E MCCOMB MS 39648
Pike,(13) Holmesville Comm.,(13)HOLMESVILLE COMM.,1016 TENNESSEE ST MCCOMB MS 39648
Pike,(14) Calvary Baptist Church,(14)CALVARY BAPTIST CHURCH,1009 PRICEDALE DR SUMMIT MS 39666
Pike,(15) Old Jones School,(15)OLD JONES SCHOOL,1041 FRIENDSHIP CIR MCCOMB MS 39648
Pike,(16) Summit City Hall,(16)SUMMIT CITY HALL,706 W RAILROAD AVE SUMMIT MS 39666
Pike,(17) Southwest BSU Bldg.,(17)SOUTHWEST BSU BLDG.,1063 LAKESIDE DR SUMMIT MS 39666
Pike,(18) Johnston Chapel Meth. Church,(18)JOHNSTON CHAPEL METH. CH,2093 CHAPEL DR SUMMIT MS 39666
Pike,(19) Pisgah Methodist Church,(19)PISGAH METHODIST CHURCH,2048 HWY 570 W SUMMIT MS 39666
Pike,(20) Pike Co. Nat. Bank,(20)PIKE CO.NAT.BANK,350 RAWLS DRIVE MCCOMB MS 39648
Pike,(21) Unity Missionary Baptist Church,(21)UNITY MISSIONARY BAPT CH,1192 MAG-PROGRESS RD MCCOMB MS 39648
Pike,(22) Church of Christ,(22)CHURCH OF CHRIST,PARK LANE RD MCCOMB MS 39648
Pike,(23) West McComb Bapt. Church,(23)WEST MCCOMB BAPT. CHURCH,4016 HWY 24 W MCCOMB MS 39648
Pike,(24) St. Mary of the Pines,(24) ST. MARY OF THE PINES,3167 OLD 51 S OSYKA MS 39657
